Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
ALBEF,flickr30k,Txt-Txt,Pos,0.977814
ALBEF,flickr30k,Txt-Txt,Pos,0.9807363
ALBEF,flickr30k,Txt-Txt,Pos,0.9663871
ALBEF,flickr30k,Txt-Txt,Pos,0.9846929
ALBEF,flickr30k,Txt-Txt,Pos,0.98941594
ALBEF,flickr30k,Txt-Txt,Pos,0.98615986
ALBEF,flickr30k,Txt-Txt,Pos,0.978907
ALBEF,flickr30k,Txt-Txt,Pos,0.9815772
ALBEF,flickr30k,Txt-Txt,Pos,0.98135835
ALBEF,flickr30k,Txt-Txt,Pos,0.98458296
ALBEF,flickr30k,Txt-Txt,Pos,0.9689159
ALBEF,flickr30k,Txt-Txt,Pos,0.97045577
ALBEF,flickr30k,Txt-Txt,Pos,0.98719144
ALBEF,flickr30k,Txt-Txt,Pos,0.96172744
ALBEF,flickr30k,Txt-Txt,Pos,0.9848403
ALBEF,flickr30k,Txt-Txt,Pos,0.98588276
ALBEF,flickr30k,Txt-Txt,Pos,0.98711646
ALBEF,flickr30k,Txt-Txt,Pos,0.98862094
ALBEF,flickr30k,Txt-Txt,Pos,0.98077774
ALBEF,flickr30k,Txt-Txt,Pos,0.9849644
ALBEF,flickr30k,Txt-Txt,Pos,0.976096
ALBEF,flickr30k,Txt-Txt,Pos,0.9609257
ALBEF,flickr30k,Txt-Txt,Pos,0.9896631
ALBEF,flickr30k,Txt-Txt,Pos,0.99184936
ALBEF,flickr30k,Txt-Txt,Pos,0.98398983
ALBEF,flickr30k,Txt-Txt,Pos,0.9851285
ALBEF,flickr30k,Txt-Txt,Pos,0.9306842
ALBEF,flickr30k,Txt-Txt,Pos,0.9903012
ALBEF,flickr30k,Txt-Txt,Pos,0.96913064
ALBEF,flickr30k,Txt-Txt,Pos,0.98553723
ALBEF,flickr30k,Txt-Txt,Pos,0.97572666
ALBEF,flickr30k,Txt-Txt,Pos,0.96656173
ALBEF,flickr30k,Txt-Txt,Pos,0.9739877
ALBEF,flickr30k,Txt-Txt,Pos,0.97821426
ALBEF,flickr30k,Txt-Txt,Pos,0.9915688
ALBEF,flickr30k,Txt-Txt,Pos,0.97981554
ALBEF,flickr30k,Txt-Txt,Pos,0.981285
ALBEF,flickr30k,Txt-Txt,Pos,0.98228455
ALBEF,flickr30k,Txt-Txt,Pos,0.9813684
ALBEF,flickr30k,Txt-Txt,Pos,0.96159595
ALBEF,flickr30k,Txt-Txt,Pos,0.9755932
ALBEF,flickr30k,Txt-Txt,Pos,0.97949517
ALBEF,flickr30k,Txt-Txt,Pos,0.9812204
ALBEF,flickr30k,Txt-Txt,Pos,0.9901974
ALBEF,flickr30k,Txt-Txt,Pos,0.92786294
ALBEF,flickr30k,Txt-Txt,Pos,0.98016095
ALBEF,flickr30k,Txt-Txt,Pos,0.9784204
ALBEF,flickr30k,Txt-Txt,Pos,0.9668874
ALBEF,flickr30k,Txt-Txt,Pos,0.9722623
ALBEF,flickr30k,Txt-Txt,Pos,0.98617476
