x,y,modality,category
-0.00,-0.10,image,879
-0.05,-0.01,image,879
-0.04,0.04,image,879
-0.03,0.13,image,879
-0.03,0.07,image,879
-0.00,0.06,image,879
0.04,0.05,image,879
0.00,0.02,image,879
-0.02,-0.03,image,879
-0.01,-0.03,image,879
-0.04,0.03,image,879
0.05,0.11,image,879
-0.01,0.01,image,879
-0.02,-0.02,image,879
0.03,0.06,image,879
-0.02,0.02,image,879
0.00,-0.02,image,879
0.01,-0.01,image,879
0.05,-0.02,image,879
-0.05,0.00,image,879
-0.00,0.02,image,879
-0.01,0.07,image,879
-0.02,0.11,image,879
0.02,-0.03,image,879
-0.02,0.01,image,879
0.06,0.06,image,879
-0.00,-0.08,image,879
-0.00,0.03,image,879
-0.02,0.05,image,879
0.06,-0.02,image,879
-0.00,0.01,image,879
0.01,-0.07,image,879
0.02,0.06,image,879
0.01,0.05,image,879
-0.02,0.07,image,879
0.03,0.04,image,879
-0.03,-0.04,image,879
0.06,0.02,image,879
-0.02,-0.03,image,879
0.02,0.02,image,879
-0.02,0.10,image,879
-0.01,-0.02,image,879
0.01,0.08,image,879
0.04,0.02,image,879
-0.01,-0.01,image,879
0.03,-0.01,image,879
0.05,-0.01,image,879
0.04,0.01,image,879
0.03,-0.01,image,879
-0.08,-0.02,image,879
-0.01,-0.01,image,433
-0.02,-0.03,image,433
0.01,-0.02,image,433
-0.11,0.02,image,433
0.03,0.02,image,433
0.05,0.02,image,433
0.02,-0.01,image,433
-0.02,0.07,image,433
0.02,-0.10,image,433
-0.04,-0.02,image,433
-0.02,-0.05,image,433
0.02,0.10,image,433
-0.04,-0.01,image,433
-0.02,-0.02,image,433
-0.04,-0.04,image,433
0.07,-0.09,image,433
0.02,-0.00,image,433
-0.01,-0.07,image,433
0.01,0.00,image,433
-0.02,-0.04,image,433
-0.13,-0.01,image,433
-0.01,-0.01,image,433
0.01,-0.03,image,433
-0.04,-0.05,image,433
-0.04,-0.01,image,433
-0.02,-0.08,image,433
0.02,-0.08,image,433
0.07,-0.05,image,433
0.01,-0.03,image,433
0.04,-0.04,image,433
-0.05,0.01,image,433
0.05,-0.07,image,433
0.05,-0.03,image,433
-0.01,-0.03,image,433
0.02,-0.01,image,433
-0.03,-0.05,image,433
-0.04,-0.00,image,433
-0.01,-0.05,image,433
-0.04,-0.03,image,433
-0.01,0.02,image,433
-0.04,-0.06,image,433
-0.00,-0.01,image,433
-0.02,-0.01,image,433
0.03,-0.05,image,433
-0.10,-0.04,image,433
-0.03,-0.00,image,433
-0.01,-0.01,image,433
-0.10,0.06,image,433
-0.05,0.01,image,433
0.01,-0.00,image,433
0.03,-0.01,image,805
0.01,0.02,image,805
0.04,0.04,image,805
0.04,0.02,image,805
0.01,0.00,image,805
0.01,0.05,image,805
0.05,-0.01,image,805
0.07,0.05,image,805
0.04,-0.01,image,805
-0.04,0.07,image,805
0.04,-0.02,image,805
0.06,-0.04,image,805
0.04,0.05,image,805
0.00,0.08,image,805
-0.00,0.02,image,805
-0.00,0.00,image,805
0.04,0.05,image,805
0.03,0.00,image,805
0.04,0.12,image,805
0.02,0.04,image,805
0.02,-0.01,image,805
0.01,-0.02,image,805
0.05,0.03,image,805
0.01,-0.01,image,805
0.04,0.00,image,805
-0.02,0.05,image,805
-0.04,0.09,image,805
0.01,-0.02,image,805
0.01,-0.02,image,805
0.04,0.03,image,805
0.02,-0.05,image,805
0.04,-0.09,image,805
0.09,0.06,image,805
-0.01,-0.04,image,805
0.04,-0.01,image,805
0.04,-0.06,image,805
0.14,-0.02,image,805
0.10,0.04,image,805
0.09,-0.04,image,805
-0.02,0.00,image,805
0.01,0.01,image,805
0.04,0.06,image,805
-0.00,-0.09,image,805
-0.00,0.05,image,805
0.07,-0.01,image,805
-0.01,-0.00,image,805
0.07,0.03,image,805
0.04,-0.03,image,805
0.04,0.03,image,805
-0.01,0.05,image,805
-0.04,0.01,image,768
0.04,0.07,image,768
-0.07,0.01,image,768
0.01,-0.05,image,768
-0.04,-0.05,image,768
0.04,0.04,image,768
0.00,0.01,image,768
-0.03,-0.05,image,768
0.01,-0.08,image,768
0.02,0.04,image,768
