Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
ALIGN,flickr30k,Txt-Txt,Pos,0.7811296
ALIGN,flickr30k,Txt-Txt,Pos,0.7301887
ALIGN,flickr30k,Txt-Txt,Pos,0.6807707
ALIGN,flickr30k,Txt-Txt,Pos,0.71519566
ALIGN,flickr30k,Txt-Txt,Pos,0.80276895
ALIGN,flickr30k,Txt-Txt,Pos,0.7053107
ALIGN,flickr30k,Txt-Txt,Pos,0.70826685
ALIGN,flickr30k,Txt-Txt,Pos,0.7407077
ALIGN,flickr30k,Txt-Txt,Pos,0.7427193
ALIGN,flickr30k,Txt-Txt,Pos,0.8352021
ALIGN,flickr30k,Txt-Txt,Pos,0.7060611
ALIGN,flickr30k,Txt-Txt,Pos,0.7356404
ALIGN,flickr30k,Txt-Txt,Pos,0.7925047
ALIGN,flickr30k,Txt-Txt,Pos,0.6902053
ALIGN,flickr30k,Txt-Txt,Pos,0.7552137
ALIGN,flickr30k,Txt-Txt,Pos,0.7677735
ALIGN,flickr30k,Txt-Txt,Pos,0.781987
ALIGN,flickr30k,Txt-Txt,Pos,0.7226754
ALIGN,flickr30k,Txt-Txt,Pos,0.8917032
ALIGN,flickr30k,Txt-Txt,Pos,0.8374156
ALIGN,flickr30k,Txt-Txt,Pos,0.75424725
ALIGN,flickr30k,Txt-Txt,Pos,0.7063021
ALIGN,flickr30k,Txt-Txt,Pos,0.87804806
ALIGN,flickr30k,Txt-Txt,Pos,0.91001904
ALIGN,flickr30k,Txt-Txt,Pos,0.68201756
ALIGN,flickr30k,Txt-Txt,Pos,0.82138795
ALIGN,flickr30k,Txt-Txt,Pos,0.6847151
ALIGN,flickr30k,Txt-Txt,Pos,0.8408523
ALIGN,flickr30k,Txt-Txt,Pos,0.87279165
ALIGN,flickr30k,Txt-Txt,Pos,0.8254328
ALIGN,flickr30k,Txt-Txt,Pos,0.59972847
ALIGN,flickr30k,Txt-Txt,Pos,0.7376325
ALIGN,flickr30k,Txt-Txt,Pos,0.666544
ALIGN,flickr30k,Txt-Txt,Pos,0.7113815
