Model,Dataset,x,y,modality,category
ALIGN,flickr30k,-29.34,-10.36,image,umbrella
ALIGN,flickr30k,-24.85,-8.78,image,umbrella
ALIGN,flickr30k,-21.60,-8.43,image,umbrella
ALIGN,flickr30k,-28.34,-8.12,image,umbrella
ALIGN,flickr30k,-25.40,-10.56,image,umbrella
ALIGN,flickr30k,-25.68,-14.20,image,umbrella
ALIGN,flickr30k,-30.05,-10.70,image,umbrella
ALIGN,flickr30k,-11.75,11.11,image,umbrella
ALIGN,flickr30k,-31.60,-10.93,image,umbrella
ALIGN,flickr30k,-28.59,-11.34,image,umbrella
ALIGN,flickr30k,-29.28,-11.46,image,umbrella
ALIGN,flickr30k,-26.59,-6.27,image,umbrella
ALIGN,flickr30k,-29.69,-9.91,image,umbrella
ALIGN,flickr30k,-28.36,-6.14,image,umbrella
ALIGN,flickr30k,-22.54,-8.74,image,umbrella
ALIGN,flickr30k,-25.45,-10.20,image,umbrella
ALIGN,flickr30k,-27.93,-11.44,image,umbrella
ALIGN,flickr30k,-29.98,-8.56,image,umbrella
ALIGN,flickr30k,-23.97,-12.27,image,umbrella
ALIGN,flickr30k,-26.21,-14.71,image,umbrella
ALIGN,flickr30k,-26.11,-10.70,image,umbrella
ALIGN,flickr30k,-23.61,-11.05,image,umbrella
ALIGN,flickr30k,-30.80,-7.70,image,umbrella
ALIGN,flickr30k,-27.01,-8.93,image,umbrella
ALIGN,flickr30k,-22.44,-8.68,image,umbrella
ALIGN,flickr30k,-26.81,-8.09,image,umbrella
ALIGN,flickr30k,-25.93,-14.28,image,umbrella
ALIGN,flickr30k,-28.07,-9.10,image,umbrella
ALIGN,flickr30k,-24.33,-12.65,image,umbrella
ALIGN,flickr30k,-25.03,-15.13,image,umbrella
ALIGN,flickr30k,-26.89,-11.16,image,umbrella
ALIGN,flickr30k,-29.25,-3.45,image,umbrella
ALIGN,flickr30k,-28.49,-14.33,image,umbrella
ALIGN,flickr30k,-27.62,-10.41,image,umbrella
ALIGN,flickr30k,-27.00,-11.09,image,umbrella
ALIGN,flickr30k,-24.65,-8.94,image,umbrella
ALIGN,flickr30k,-29.72,-9.81,image,umbrella
ALIGN,flickr30k,-31.15,-9.58,image,umbrella
ALIGN,flickr30k,-28.31,-12.63,image,umbrella
ALIGN,flickr30k,-27.39,-12.02,image,umbrella
ALIGN,flickr30k,-26.77,-9.44,image,umbrella
ALIGN,flickr30k,-28.79,-14.24,image,umbrella
ALIGN,flickr30k,-26.31,-12.58,image,umbrella
ALIGN,flickr30k,-24.38,-15.71,image,umbrella
ALIGN,flickr30k,-27.09,-12.76,image,umbrella
ALIGN,flickr30k,-28.71,-11.54,image,umbrella
ALIGN,flickr30k,-29.45,-9.07,image,umbrella
ALIGN,flickr30k,-28.10,-10.07,image,umbrella
ALIGN,flickr30k,-30.20,-11.65,image,umbrella
ALIGN,flickr30k,-30.51,-13.42,image,umbrella
ALIGN,flickr30k,3.01,32.57,image,off-roader
ALIGN,flickr30k,3.61,32.54,image,off-roader
ALIGN,flickr30k,-0.23,32.06,image,off-roader
ALIGN,flickr30k,1.61,34.45,image,off-roader
ALIGN,flickr30k,3.62,33.30,image,off-roader
ALIGN,flickr30k,1.26,29.56,image,off-roader
ALIGN,flickr30k,4.86,34.02,image,off-roader
ALIGN,flickr30k,1.33,33.07,image,off-roader
ALIGN,flickr30k,1.84,32.55,image,off-roader
ALIGN,flickr30k,0.79,28.89,image,off-roader
ALIGN,flickr30k,2.39,32.18,image,off-roader
ALIGN,flickr30k,2.37,31.48,image,off-roader
ALIGN,flickr30k,3.83,29.04,image,off-roader
ALIGN,flickr30k,4.79,31.91,image,off-roader
ALIGN,flickr30k,4.02,31.50,image,off-roader
ALIGN,flickr30k,2.83,33.29,image,off-roader
ALIGN,flickr30k,-1.91,33.32,image,off-roader
ALIGN,flickr30k,-0.15,35.56,image,off-roader
ALIGN,flickr30k,2.96,31.55,image,off-roader
