Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
ALIGN,mscoco,Txt-Txt,Pos,0.6256278
ALIGN,mscoco,Txt-Txt,Pos,0.75055325
ALIGN,mscoco,Txt-Txt,Pos,0.7493638
ALIGN,mscoco,Txt-Txt,Pos,0.81590116
ALIGN,mscoco,Txt-Txt,Pos,0.86105144
ALIGN,mscoco,Txt-Txt,Pos,0.62129664
ALIGN,mscoco,Txt-Txt,Pos,0.82569945
ALIGN,mscoco,Txt-Txt,Pos,0.8224502
ALIGN,mscoco,Txt-Txt,Pos,0.8490063
ALIGN,mscoco,Txt-Txt,Pos,0.70350695
ALIGN,mscoco,Txt-Txt,Pos,0.89563406
ALIGN,mscoco,Txt-Txt,Pos,0.7810209
ALIGN,mscoco,Txt-Txt,Pos,0.892979
ALIGN,mscoco,Txt-Txt,Pos,0.6107701
ALIGN,mscoco,Txt-Txt,Pos,0.71459556
ALIGN,mscoco,Txt-Txt,Pos,0.7639632
ALIGN,mscoco,Txt-Txt,Pos,0.7656775
ALIGN,mscoco,Txt-Txt,Pos,0.70589167
ALIGN,mscoco,Txt-Txt,Pos,0.65591216
ALIGN,mscoco,Txt-Txt,Pos,0.7841417
ALIGN,mscoco,Txt-Txt,Pos,0.7602754
ALIGN,mscoco,Txt-Txt,Pos,0.77964884
ALIGN,mscoco,Txt-Txt,Pos,0.7278234
ALIGN,mscoco,Txt-Txt,Pos,0.8399818
ALIGN,mscoco,Txt-Txt,Pos,0.88864213
ALIGN,mscoco,Txt-Txt,Pos,0.72812676
ALIGN,mscoco,Txt-Txt,Pos,0.7853667
ALIGN,mscoco,Txt-Txt,Pos,0.69648474
ALIGN,mscoco,Txt-Txt,Pos,0.85758007
ALIGN,mscoco,Txt-Txt,Pos,0.7653712
ALIGN,mscoco,Txt-Txt,Pos,0.72843057
ALIGN,mscoco,Txt-Txt,Pos,0.8168872
ALIGN,mscoco,Txt-Txt,Pos,0.83975405
ALIGN,mscoco,Txt-Txt,Pos,0.68710685
ALIGN,mscoco,Txt-Txt,Pos,0.7177442
ALIGN,mscoco,Txt-Txt,Pos,0.7776403
ALIGN,mscoco,Txt-Txt,Pos,0.6372472
ALIGN,mscoco,Txt-Txt,Pos,0.6000371
ALIGN,mscoco,Txt-Txt,Pos,0.6735294
ALIGN,mscoco,Txt-Txt,Pos,0.535827
ALIGN,mscoco,Txt-Txt,Pos,0.67387193
ALIGN,mscoco,Txt-Txt,Pos,0.72458035
ALIGN,mscoco,Txt-Txt,Pos,0.6988849
ALIGN,mscoco,Txt-Txt,Pos,0.7794504
ALIGN,mscoco,Txt-Txt,Pos,0.7797611
ALIGN,mscoco,Txt-Txt,Pos,0.8072699
ALIGN,mscoco,Txt-Txt,Pos,0.75347835
ALIGN,mscoco,Txt-Txt,Pos,0.54005677
ALIGN,mscoco,Txt-Txt,Pos,0.84660995
ALIGN,mscoco,Txt-Txt,Pos,0.85428476
ALIGN,mscoco,Txt-Txt,Pos,0.81026846
ALIGN,mscoco,Txt-Txt,Pos,0.65720296
ALIGN,mscoco,Txt-Txt,Pos,0.8637324
ALIGN,mscoco,Txt-Txt,Pos,0.7761029
ALIGN,mscoco,Txt-Txt,Pos,0.85922694
ALIGN,mscoco,Txt-Txt,Pos,0.80335736
ALIGN,mscoco,Txt-Txt,Pos,0.807691
ALIGN,mscoco,Txt-Txt,Pos,0.79556274
ALIGN,mscoco,Txt-Txt,Pos,0.8514537
ALIGN,mscoco,Txt-Txt,Pos,0.8009951
ALIGN,mscoco,Txt-Txt,Pos,0.50989217
ALIGN,mscoco,Txt-Txt,Pos,0.7237271
ALIGN,mscoco,Txt-Txt,Pos,0.7091925
ALIGN,mscoco,Txt-Txt,Pos,0.7777292
ALIGN,mscoco,Txt-Txt,Pos,0.900862
ALIGN,mscoco,Txt-Txt,Pos,0.7577218
ALIGN,mscoco,Txt-Txt,Pos,0.7565305
ALIGN,mscoco,Txt-Txt,Pos,0.64333946
ALIGN,mscoco,Txt-Txt,Pos,0.72820956
ALIGN,mscoco,Txt-Txt,Pos,0.7967851
ALIGN,mscoco,Txt-Txt,Pos,0.7234775
ALIGN,mscoco,Txt-Txt,Pos,0.6568706
ALIGN,mscoco,Txt-Txt,Pos,0.53166205
ALIGN,mscoco,Txt-Txt,Pos,0.7259808
ALIGN,mscoco,Txt-Txt,Pos,0.7739283
ALIGN,mscoco,Txt-Txt,Pos,0.916651
ALIGN,mscoco,Txt-Txt,Pos,0.6519169
ALIGN,mscoco,Txt-Txt,Pos,0.72853786
ALIGN,mscoco,Txt-Txt,Pos,0.62473226
ALIGN,mscoco,Txt-Txt,Pos,0.6028879
ALIGN,mscoco,Txt-Txt,Pos,0.66074973
ALIGN,mscoco,Txt-Txt,Pos,0.7809964
ALIGN,mscoco,Txt-Txt,Pos,0.65335536
ALIGN,mscoco,Txt-Txt,Pos,0.87938476
ALIGN,mscoco,Txt-Txt,Pos,0.85858464
ALIGN,mscoco,Txt-Txt,Pos,0.8094006
ALIGN,mscoco,Txt-Txt,Pos,0.6467675
ALIGN,mscoco,Txt-Txt,Pos,0.671319
ALIGN,mscoco,Txt-Txt,Pos,0.6856485
ALIGN,mscoco,Txt-Txt,Pos,0.7512457
ALIGN,mscoco,Txt-Txt,Pos,0.70601493
ALIGN,mscoco,Txt-Txt,Pos,0.7104787
ALIGN,mscoco,Txt-Txt,Pos,0.73465455
ALIGN,mscoco,Txt-Txt,Pos,0.6637305
ALIGN,mscoco,Txt-Txt,Pos,0.8446254
ALIGN,mscoco,Txt-Txt,Pos,0.93243325
ALIGN,mscoco,Txt-Txt,Pos,0.65883607
ALIGN,mscoco,Txt-Txt,Pos,0.7050793
ALIGN,mscoco,Txt-Txt,Pos,0.81039345
ALIGN,mscoco,Txt-Txt,Pos,0.865478
ALIGN,mscoco,Txt-Txt,Pos,0.8579505
ALIGN,mscoco,Txt-Txt,Pos,0.7557255
ALIGN,mscoco,Txt-Txt,Pos,0.8895414
ALIGN,mscoco,Txt-Txt,Pos,0.8208167
ALIGN,mscoco,Txt-Txt,Pos,0.8434111
ALIGN,mscoco,Txt-Txt,Pos,0.5654886
ALIGN,mscoco,Txt-Txt,Pos,0.5751376
ALIGN,mscoco,Txt-Txt,Pos,0.8114267
ALIGN,mscoco,Txt-Txt,Pos,0.76529866
ALIGN,mscoco,Txt-Txt,Pos,0.60930425
ALIGN,mscoco,Txt-Txt,Pos,0.6809363
ALIGN,mscoco,Txt-Txt,Pos,0.7461162
ALIGN,mscoco,Txt-Txt,Pos,0.6812659
ALIGN,mscoco,Txt-Txt,Pos,0.6533298
ALIGN,mscoco,Txt-Txt,Pos,0.7405671
ALIGN,mscoco,Txt-Txt,Pos,0.8090617
ALIGN,mscoco,Txt-Txt,Pos,0.7963834
ALIGN,mscoco,Txt-Txt,Pos,0.6989608
ALIGN,mscoco,Txt-Txt,Pos,0.6810798
ALIGN,mscoco,Txt-Txt,Pos,0.68864167
ALIGN,mscoco,Txt-Txt,Pos,0.7110012
ALIGN,mscoco,Txt-Txt,Pos,0.8265228
ALIGN,mscoco,Txt-Txt,Pos,0.78566337
ALIGN,mscoco,Txt-Txt,Pos,0.8577571
ALIGN,mscoco,Txt-Txt,Pos,0.73402
ALIGN,mscoco,Txt-Txt,Pos,0.76662886
ALIGN,mscoco,Txt-Txt,Pos,0.5786798
ALIGN,mscoco,Txt-Txt,Pos,0.6010685
ALIGN,mscoco,Txt-Txt,Pos,0.90360713
ALIGN,mscoco,Txt-Txt,Pos,0.9110535
ALIGN,mscoco,Txt-Txt,Pos,0.6336498
ALIGN,mscoco,Txt-Txt,Pos,0.6728681
ALIGN,mscoco,Txt-Txt,Pos,0.94813025
ALIGN,mscoco,Txt-Txt,Pos,0.6670243
ALIGN,mscoco,Txt-Txt,Pos,0.66758144
ALIGN,mscoco,Txt-Txt,Pos,0.85304224
ALIGN,mscoco,Txt-Txt,Pos,0.6401984
ALIGN,mscoco,Txt-Txt,Pos,0.837755
ALIGN,mscoco,Txt-Txt,Pos,0.7890938
ALIGN,mscoco,Txt-Txt,Pos,0.6547745
ALIGN,mscoco,Txt-Txt,Pos,0.6295252
ALIGN,mscoco,Txt-Txt,Pos,0.82490575
ALIGN,mscoco,Txt-Txt,Pos,0.8192452
ALIGN,mscoco,Txt-Txt,Pos,0.6956991
ALIGN,mscoco,Txt-Txt,Pos,0.8970225
ALIGN,mscoco,Txt-Txt,Pos,0.73785275
ALIGN,mscoco,Txt-Txt,Pos,0.658396
ALIGN,mscoco,Txt-Txt,Pos,0.7251
ALIGN,mscoco,Txt-Txt,Pos,0.7305462
ALIGN,mscoco,Txt-Txt,Pos,0.5729609
ALIGN,mscoco,Txt-Txt,Pos,0.65176845
ALIGN,mscoco,Txt-Txt,Pos,0.77651757
ALIGN,mscoco,Txt-Txt,Pos,0.73251855
ALIGN,mscoco,Txt-Txt,Pos,0.93460524
ALIGN,mscoco,Txt-Txt,Pos,0.85201
ALIGN,mscoco,Txt-Txt,Pos,0.64300174
ALIGN,mscoco,Txt-Txt,Pos,0.7536782
ALIGN,mscoco,Txt-Txt,Pos,0.6414651
ALIGN,mscoco,Txt-Txt,Pos,0.8831964
ALIGN,mscoco,Txt-Txt,Pos,0.5669584
ALIGN,mscoco,Txt-Txt,Pos,0.6941807
ALIGN,mscoco,Txt-Txt,Pos,0.6107892
ALIGN,mscoco,Txt-Txt,Pos,0.6485279
ALIGN,mscoco,Txt-Txt,Pos,0.671018
ALIGN,mscoco,Txt-Txt,Pos,0.71611655
ALIGN,mscoco,Txt-Txt,Pos,0.72196436
ALIGN,mscoco,Txt-Txt,Pos,0.68986136
ALIGN,mscoco,Txt-Txt,Pos,0.7158183
ALIGN,mscoco,Txt-Txt,Pos,0.6031939
ALIGN,mscoco,Txt-Txt,Pos,0.6136201
ALIGN,mscoco,Txt-Txt,Pos,0.84958947
ALIGN,mscoco,Txt-Txt,Pos,0.7344292
ALIGN,mscoco,Txt-Txt,Pos,0.65996325
ALIGN,mscoco,Txt-Txt,Pos,0.7289801
ALIGN,mscoco,Txt-Txt,Pos,0.73578143
ALIGN,mscoco,Txt-Txt,Pos,0.84092563
ALIGN,mscoco,Txt-Txt,Pos,0.7937281
ALIGN,mscoco,Txt-Txt,Pos,0.688049
ALIGN,mscoco,Txt-Txt,Pos,0.6121127
ALIGN,mscoco,Txt-Txt,Pos,0.6225285
ALIGN,mscoco,Txt-Txt,Pos,0.6879555
ALIGN,mscoco,Txt-Txt,Pos,0.7473829
ALIGN,mscoco,Txt-Txt,Pos,0.74590707
ALIGN,mscoco,Txt-Txt,Pos,0.61905915
ALIGN,mscoco,Txt-Txt,Pos,0.6142706
ALIGN,mscoco,Txt-Txt,Pos,0.7184255
ALIGN,mscoco,Txt-Txt,Pos,0.7042566
ALIGN,mscoco,Txt-Txt,Pos,0.7572456
ALIGN,mscoco,Txt-Txt,Pos,0.8891237
ALIGN,mscoco,Txt-Txt,Pos,0.64465886
ALIGN,mscoco,Txt-Txt,Pos,0.56338865
ALIGN,mscoco,Txt-Txt,Pos,0.7236393
ALIGN,mscoco,Txt-Txt,Pos,0.58269316
ALIGN,mscoco,Txt-Txt,Pos,0.75997
ALIGN,mscoco,Txt-Txt,Pos,0.7152987
ALIGN,mscoco,Txt-Txt,Pos,0.8010309
ALIGN,mscoco,Txt-Txt,Pos,0.6339066
ALIGN,mscoco,Txt-Txt,Pos,0.69767594
ALIGN,mscoco,Txt-Txt,Pos,0.6379376
ALIGN,mscoco,Txt-Txt,Pos,0.69386435
ALIGN,mscoco,Txt-Txt,Pos,0.76537913
ALIGN,mscoco,Txt-Txt,Pos,0.6176456
ALIGN,mscoco,Txt-Txt,Pos,0.67143524
ALIGN,mscoco,Txt-Txt,Pos,0.8199166
ALIGN,mscoco,Txt-Txt,Pos,0.7356577
ALIGN,mscoco,Txt-Txt,Pos,0.70716435
ALIGN,mscoco,Txt-Txt,Pos,0.6668036
ALIGN,mscoco,Txt-Txt,Pos,0.67084193
ALIGN,mscoco,Txt-Txt,Pos,0.73922634
ALIGN,mscoco,Txt-Txt,Pos,0.71711576
ALIGN,mscoco,Txt-Txt,Pos,0.64059174
ALIGN,mscoco,Txt-Txt,Pos,0.61671
ALIGN,mscoco,Txt-Txt,Pos,0.54319394
ALIGN,mscoco,Txt-Txt,Pos,0.7739977
ALIGN,mscoco,Txt-Txt,Pos,0.7613292
ALIGN,mscoco,Txt-Txt,Pos,0.7560086
ALIGN,mscoco,Txt-Txt,Pos,0.5921599
ALIGN,mscoco,Txt-Txt,Pos,0.84461063
ALIGN,mscoco,Txt-Txt,Pos,0.7620934
ALIGN,mscoco,Txt-Txt,Pos,0.83168936
ALIGN,mscoco,Txt-Txt,Pos,0.6978155
ALIGN,mscoco,Txt-Txt,Pos,0.7546081
ALIGN,mscoco,Txt-Txt,Pos,0.89890677
ALIGN,mscoco,Txt-Txt,Pos,0.70338386
ALIGN,mscoco,Txt-Txt,Pos,0.6407721
ALIGN,mscoco,Txt-Txt,Pos,0.6857422
ALIGN,mscoco,Txt-Txt,Pos,0.5507519
ALIGN,mscoco,Txt-Txt,Pos,0.7125915
ALIGN,mscoco,Txt-Txt,Pos,0.5251061
ALIGN,mscoco,Txt-Txt,Pos,0.65760005
ALIGN,mscoco,Txt-Txt,Pos,0.6468304
ALIGN,mscoco,Txt-Txt,Pos,0.7285536
ALIGN,mscoco,Txt-Txt,Pos,0.902688
ALIGN,mscoco,Txt-Txt,Pos,0.72103983
ALIGN,mscoco,Txt-Txt,Pos,0.7446625
ALIGN,mscoco,Txt-Txt,Pos,0.662856
ALIGN,mscoco,Txt-Txt,Pos,0.6658209
ALIGN,mscoco,Txt-Txt,Pos,0.7590591
ALIGN,mscoco,Txt-Txt,Pos,0.72699296
ALIGN,mscoco,Txt-Txt,Pos,0.7783639
ALIGN,mscoco,Txt-Txt,Pos,0.76324505
ALIGN,mscoco,Txt-Txt,Pos,0.419892
ALIGN,mscoco,Txt-Txt,Pos,0.686212
ALIGN,mscoco,Txt-Txt,Pos,0.83793527
ALIGN,mscoco,Txt-Txt,Pos,0.7257706
ALIGN,mscoco,Txt-Txt,Pos,0.8203975
ALIGN,mscoco,Txt-Txt,Pos,0.58429325
ALIGN,mscoco,Txt-Txt,Pos,0.8775346
ALIGN,mscoco,Txt-Txt,Pos,0.68822485
ALIGN,mscoco,Txt-Txt,Pos,0.83060557
ALIGN,mscoco,Txt-Txt,Pos,0.7891653
ALIGN,mscoco,Txt-Txt,Pos,0.82997614
ALIGN,mscoco,Txt-Txt,Pos,0.80949503
ALIGN,mscoco,Txt-Txt,Pos,0.6238364
ALIGN,mscoco,Txt-Txt,Pos,0.6260071
ALIGN,mscoco,Txt-Txt,Pos,0.67204463
ALIGN,mscoco,Txt-Txt,Pos,0.730003
ALIGN,mscoco,Txt-Txt,Pos,0.97296333
ALIGN,mscoco,Txt-Txt,Pos,0.7623448
ALIGN,mscoco,Txt-Txt,Pos,0.78025085
ALIGN,mscoco,Txt-Txt,Pos,0.71030474
ALIGN,mscoco,Txt-Txt,Pos,0.8499486
ALIGN,mscoco,Txt-Txt,Pos,0.72034335
ALIGN,mscoco,Txt-Txt,Pos,0.6742971
ALIGN,mscoco,Txt-Txt,Pos,0.67090625
ALIGN,mscoco,Txt-Txt,Pos,0.74484754
ALIGN,mscoco,Txt-Txt,Pos,0.9274421
ALIGN,mscoco,Txt-Txt,Pos,0.6790262
ALIGN,mscoco,Txt-Txt,Pos,0.69225496
ALIGN,mscoco,Txt-Txt,Pos,0.7189326
ALIGN,mscoco,Txt-Txt,Pos,0.69820356
ALIGN,mscoco,Txt-Txt,Pos,0.64735997
ALIGN,mscoco,Txt-Txt,Pos,0.5870378
ALIGN,mscoco,Txt-Txt,Pos,0.7509052
ALIGN,mscoco,Txt-Txt,Pos,0.6337048
ALIGN,mscoco,Txt-Txt,Pos,0.6656351
ALIGN,mscoco,Txt-Txt,Pos,0.6663687
ALIGN,mscoco,Txt-Txt,Pos,0.6456403
ALIGN,mscoco,Txt-Txt,Pos,0.8779703
ALIGN,mscoco,Txt-Txt,Pos,0.84712696
ALIGN,mscoco,Txt-Txt,Pos,0.8079177
ALIGN,mscoco,Txt-Txt,Pos,0.86517143
ALIGN,mscoco,Txt-Txt,Pos,0.70296943
ALIGN,mscoco,Txt-Txt,Pos,0.62667376
ALIGN,mscoco,Txt-Txt,Pos,0.8575144
ALIGN,mscoco,Txt-Txt,Pos,0.54679096
ALIGN,mscoco,Txt-Txt,Pos,0.8578368
ALIGN,mscoco,Txt-Txt,Pos,0.809739
ALIGN,mscoco,Txt-Txt,Pos,0.56595904
ALIGN,mscoco,Txt-Txt,Pos,0.7280278
ALIGN,mscoco,Txt-Txt,Pos,0.9182249
ALIGN,mscoco,Txt-Txt,Pos,0.7088948
ALIGN,mscoco,Txt-Txt,Pos,0.52261555
ALIGN,mscoco,Txt-Txt,Pos,0.72533685
ALIGN,mscoco,Txt-Txt,Pos,0.6721511
ALIGN,mscoco,Txt-Txt,Pos,0.69196784
ALIGN,mscoco,Txt-Txt,Pos,0.7729433
ALIGN,mscoco,Txt-Txt,Pos,0.5549973
ALIGN,mscoco,Txt-Txt,Pos,0.6534763
ALIGN,mscoco,Txt-Txt,Pos,0.66725737
ALIGN,mscoco,Txt-Txt,Pos,0.6805986
ALIGN,mscoco,Txt-Txt,Pos,0.82994103
ALIGN,mscoco,Txt-Txt,Pos,0.62971044
ALIGN,mscoco,Txt-Txt,Pos,0.80917597
ALIGN,mscoco,Txt-Txt,Pos,0.7837041
ALIGN,mscoco,Txt-Txt,Pos,0.79060376
ALIGN,mscoco,Txt-Txt,Pos,0.600058
ALIGN,mscoco,Txt-Txt,Pos,0.58499396
ALIGN,mscoco,Txt-Txt,Pos,0.8140543
ALIGN,mscoco,Txt-Txt,Pos,0.642088
ALIGN,mscoco,Txt-Txt,Pos,0.68688357
ALIGN,mscoco,Txt-Txt,Pos,0.7393565
ALIGN,mscoco,Txt-Txt,Pos,0.526452
ALIGN,mscoco,Txt-Txt,Pos,0.707269
ALIGN,mscoco,Txt-Txt,Pos,0.7241732
ALIGN,mscoco,Txt-Txt,Pos,0.7786757
ALIGN,mscoco,Txt-Txt,Pos,0.84344035
ALIGN,mscoco,Txt-Txt,Pos,0.60779834
ALIGN,mscoco,Txt-Txt,Pos,0.68149424
ALIGN,mscoco,Txt-Txt,Pos,0.84974056
ALIGN,mscoco,Txt-Txt,Pos,0.64131814
ALIGN,mscoco,Txt-Txt,Pos,0.80058527
ALIGN,mscoco,Txt-Txt,Pos,0.9156321
ALIGN,mscoco,Txt-Txt,Pos,0.7723744
ALIGN,mscoco,Txt-Txt,Pos,0.7793135
ALIGN,mscoco,Txt-Txt,Pos,0.5813656
ALIGN,mscoco,Txt-Txt,Pos,0.8608372
ALIGN,mscoco,Txt-Txt,Pos,0.73363554
ALIGN,mscoco,Txt-Txt,Pos,0.8421488
ALIGN,mscoco,Txt-Txt,Pos,0.5615391
ALIGN,mscoco,Txt-Txt,Pos,0.6499056
ALIGN,mscoco,Txt-Txt,Pos,0.6046678
ALIGN,mscoco,Txt-Txt,Pos,0.6865837
ALIGN,mscoco,Txt-Txt,Pos,0.65669763
ALIGN,mscoco,Txt-Txt,Pos,0.6386666
ALIGN,mscoco,Txt-Txt,Pos,0.6762372
ALIGN,mscoco,Txt-Txt,Pos,0.71869814
