Model,Dataset,x,y,modality,category
ALIGN,mscoco,-39.40,0.44,image,Acinonyx jubatus
ALIGN,mscoco,-44.33,-1.40,image,Acinonyx jubatus
ALIGN,mscoco,-43.53,1.42,image,Acinonyx jubatus
ALIGN,mscoco,-38.58,0.35,image,Acinonyx jubatus
ALIGN,mscoco,-42.65,-2.04,image,Acinonyx jubatus
ALIGN,mscoco,-41.60,-1.87,image,Acinonyx jubatus
ALIGN,mscoco,-38.42,1.10,image,Acinonyx jubatus
ALIGN,mscoco,-39.14,1.68,image,Acinonyx jubatus
ALIGN,mscoco,-45.41,0.56,image,Acinonyx jubatus
ALIGN,mscoco,-43.90,2.47,image,Acinonyx jubatus
ALIGN,mscoco,-43.02,0.38,image,Acinonyx jubatus
ALIGN,mscoco,-42.18,1.33,image,Acinonyx jubatus
ALIGN,mscoco,-42.76,0.88,image,Acinonyx jubatus
ALIGN,mscoco,-41.16,-1.47,image,Acinonyx jubatus
ALIGN,mscoco,-41.79,-1.43,image,Acinonyx jubatus
ALIGN,mscoco,-43.46,-1.31,image,Acinonyx jubatus
ALIGN,mscoco,-40.04,-1.98,image,Acinonyx jubatus
ALIGN,mscoco,-43.67,0.68,image,Acinonyx jubatus
ALIGN,mscoco,-38.32,0.50,image,Acinonyx jubatus
ALIGN,mscoco,-41.06,0.55,image,Acinonyx jubatus
ALIGN,mscoco,-40.01,1.27,image,Acinonyx jubatus
ALIGN,mscoco,-38.01,-1.35,image,Acinonyx jubatus
ALIGN,mscoco,-42.17,1.19,image,Acinonyx jubatus
ALIGN,mscoco,-42.29,-0.45,image,Acinonyx jubatus
ALIGN,mscoco,-44.78,-0.69,image,Acinonyx jubatus
ALIGN,mscoco,-43.78,0.62,image,Acinonyx jubatus
ALIGN,mscoco,-38.16,0.23,image,Acinonyx jubatus
ALIGN,mscoco,-38.93,-0.58,image,Acinonyx jubatus
ALIGN,mscoco,-43.61,1.43,image,Acinonyx jubatus
ALIGN,mscoco,-41.35,0.48,image,Acinonyx jubatus
ALIGN,mscoco,-39.37,-0.01,image,Acinonyx jubatus
ALIGN,mscoco,-38.06,-0.16,image,Acinonyx jubatus
ALIGN,mscoco,-38.82,-0.48,image,Acinonyx jubatus
ALIGN,mscoco,-40.06,-1.11,image,Acinonyx jubatus
ALIGN,mscoco,-43.97,1.44,image,Acinonyx jubatus
ALIGN,mscoco,-43.79,-2.94,image,Acinonyx jubatus
ALIGN,mscoco,-43.60,-0.34,image,Acinonyx jubatus
ALIGN,mscoco,-40.35,-0.28,image,Acinonyx jubatus
ALIGN,mscoco,-43.46,-0.96,image,Acinonyx jubatus
ALIGN,mscoco,-42.77,-1.64,image,Acinonyx jubatus
ALIGN,mscoco,-44.37,0.39,image,Acinonyx jubatus
ALIGN,mscoco,-40.41,0.71,image,Acinonyx jubatus
ALIGN,mscoco,-42.80,0.77,image,Acinonyx jubatus
ALIGN,mscoco,-43.45,-2.27,image,Acinonyx jubatus
ALIGN,mscoco,-42.90,-0.64,image,Acinonyx jubatus
ALIGN,mscoco,-44.91,0.21,image,Acinonyx jubatus
ALIGN,mscoco,-42.36,1.96,image,Acinonyx jubatus
ALIGN,mscoco,-44.09,-0.49,image,Acinonyx jubatus
ALIGN,mscoco,-42.76,-0.01,image,Acinonyx jubatus
ALIGN,mscoco,-44.47,-1.26,image,Acinonyx jubatus
ALIGN,mscoco,18.10,-12.12,image,eatery
ALIGN,mscoco,22.87,-5.27,image,eatery
ALIGN,mscoco,15.68,-11.58,image,eatery
ALIGN,mscoco,22.49,-6.63,image,eatery
ALIGN,mscoco,24.29,-5.20,image,eatery
ALIGN,mscoco,20.58,-7.80,image,eatery
ALIGN,mscoco,21.99,-9.58,image,eatery
ALIGN,mscoco,19.91,-8.02,image,eatery
ALIGN,mscoco,22.90,-3.46,image,eatery
ALIGN,mscoco,17.55,-11.98,image,eatery
ALIGN,mscoco,22.44,-7.26,image,eatery
ALIGN,mscoco,22.16,-8.90,image,eatery
ALIGN,mscoco,20.74,-4.52,image,eatery
ALIGN,mscoco,22.92,-6.01,image,eatery
ALIGN,mscoco,22.18,-4.85,image,eatery
ALIGN,mscoco,23.34,-9.00,image,eatery
ALIGN,mscoco,21.51,-10.50,image,eatery
ALIGN,mscoco,12.47,-9.31,image,eatery
ALIGN,mscoco,17.10,-12.67,image,eatery
ALIGN,mscoco,23.72,-3.94,image,eatery
ALIGN,mscoco,20.60,-7.77,image,eatery
ALIGN,mscoco,18.86,-12.80,image,eatery
ALIGN,mscoco,22.42,-4.60,image,eatery
ALIGN,mscoco,19.71,-6.03,image,eatery
ALIGN,mscoco,7.69,-14.18,image,eatery
ALIGN,mscoco,15.81,-11.64,image,eatery
ALIGN,mscoco,22.78,-4.09,image,eatery
ALIGN,mscoco,16.80,-10.47,image,eatery
ALIGN,mscoco,18.59,-11.21,image,eatery
ALIGN,mscoco,21.64,-9.51,image,eatery
ALIGN,mscoco,17.87,-11.60,image,eatery
ALIGN,mscoco,23.09,-9.85,image,eatery
ALIGN,mscoco,24.32,-5.35,image,eatery
ALIGN,mscoco,17.48,-10.79,image,eatery
ALIGN,mscoco,18.45,-9.50,image,eatery
ALIGN,mscoco,11.17,-8.65,image,eatery
ALIGN,mscoco,22.47,-7.11,image,eatery
ALIGN,mscoco,19.65,-13.32,image,eatery
ALIGN,mscoco,23.06,-5.52,image,eatery
ALIGN,mscoco,22.26,-8.44,image,eatery
ALIGN,mscoco,20.23,-9.55,image,eatery
ALIGN,mscoco,20.26,-9.54,image,eatery
ALIGN,mscoco,18.73,-7.04,image,eatery
ALIGN,mscoco,10.36,-5.82,image,eatery
ALIGN,mscoco,20.92,-5.02,image,eatery
ALIGN,mscoco,22.24,-10.25,image,eatery
ALIGN,mscoco,21.77,-6.54,image,eatery
ALIGN,mscoco,19.02,-12.95,image,eatery
ALIGN,mscoco,23.30,-7.67,image,eatery
ALIGN,mscoco,21.76,-9.70,image,eatery
ALIGN,mscoco,9.18,20.47,image,monocycle
ALIGN,mscoco,7.85,25.22,image,monocycle
ALIGN,mscoco,8.33,23.63,image,monocycle
ALIGN,mscoco,7.50,23.08,image,monocycle
ALIGN,mscoco,5.69,23.24,image,monocycle
ALIGN,mscoco,6.24,25.56,image,monocycle
ALIGN,mscoco,7.49,23.87,image,monocycle
ALIGN,mscoco,5.58,23.27,image,monocycle
ALIGN,mscoco,8.29,22.25,image,monocycle
ALIGN,mscoco,8.52,21.36,image,monocycle
ALIGN,mscoco,0.48,11.08,image,monocycle
ALIGN,mscoco,7.33,19.51,image,monocycle
ALIGN,mscoco,0.07,14.62,image,monocycle
ALIGN,mscoco,9.15,23.97,image,monocycle
ALIGN,mscoco,0.74,12.94,image,monocycle
ALIGN,mscoco,7.07,26.21,image,monocycle
ALIGN,mscoco,5.94,22.07,image,monocycle
ALIGN,mscoco,4.76,22.17,image,monocycle
ALIGN,mscoco,7.80,22.03,image,monocycle
ALIGN,mscoco,6.84,22.26,image,monocycle
ALIGN,mscoco,9.59,25.65,image,monocycle
ALIGN,mscoco,8.40,24.57,image,monocycle
ALIGN,mscoco,4.75,23.72,image,monocycle
ALIGN,mscoco,9.48,24.45,image,monocycle
ALIGN,mscoco,6.98,22.79,image,monocycle
ALIGN,mscoco,8.97,23.36,image,monocycle
ALIGN,mscoco,9.44,21.92,image,monocycle
ALIGN,mscoco,-2.20,1.02,image,monocycle
ALIGN,mscoco,9.81,23.30,image,monocycle
ALIGN,mscoco,8.50,21.18,image,monocycle
ALIGN,mscoco,4.23,14.89,image,monocycle
ALIGN,mscoco,0.26,12.45,image,monocycle
ALIGN,mscoco,-0.16,11.86,image,monocycle
ALIGN,mscoco,9.05,24.44,image,monocycle
ALIGN,mscoco,0.02,14.77,image,monocycle
ALIGN,mscoco,8.57,22.84,image,monocycle
ALIGN,mscoco,7.74,24.53,image,monocycle
ALIGN,mscoco,6.87,24.25,image,monocycle
ALIGN,mscoco,5.49,24.64,image,monocycle
ALIGN,mscoco,8.09,23.46,image,monocycle
ALIGN,mscoco,6.62,24.57,image,monocycle
ALIGN,mscoco,6.85,22.97,image,monocycle
ALIGN,mscoco,5.88,20.30,image,monocycle
ALIGN,mscoco,6.82,21.22,image,monocycle
ALIGN,mscoco,9.09,22.69,image,monocycle
ALIGN,mscoco,10.55,22.10,image,monocycle
ALIGN,mscoco,7.64,22.87,image,monocycle
ALIGN,mscoco,6.53,24.08,image,monocycle
ALIGN,mscoco,7.61,23.83,image,monocycle
ALIGN,mscoco,10.63,24.24,image,monocycle
ALIGN,mscoco,4.72,-25.88,image,wash-hand basin
ALIGN,mscoco,2.47,-21.23,image,wash-hand basin
ALIGN,mscoco,5.60,-26.17,image,wash-hand basin
ALIGN,mscoco,2.16,-20.08,image,wash-hand basin
ALIGN,mscoco,4.22,-26.09,image,wash-hand basin
ALIGN,mscoco,1.68,-23.40,image,wash-hand basin
ALIGN,mscoco,5.51,-24.89,image,wash-hand basin
ALIGN,mscoco,3.33,-22.77,image,wash-hand basin
ALIGN,mscoco,-0.35,-24.70,image,wash-hand basin
ALIGN,mscoco,3.27,-26.85,image,wash-hand basin
ALIGN,mscoco,4.63,-25.04,image,wash-hand basin
ALIGN,mscoco,0.32,-24.69,image,wash-hand basin
ALIGN,mscoco,5.17,-23.62,image,wash-hand basin
ALIGN,mscoco,3.05,-23.01,image,wash-hand basin
ALIGN,mscoco,6.51,-25.72,image,wash-hand basin
ALIGN,mscoco,3.60,-24.68,image,wash-hand basin
ALIGN,mscoco,2.85,-24.41,image,wash-hand basin
ALIGN,mscoco,5.28,-25.03,image,wash-hand basin
ALIGN,mscoco,-2.36,-19.40,image,wash-hand basin
ALIGN,mscoco,5.59,-25.46,image,wash-hand basin
ALIGN,mscoco,1.73,-23.91,image,wash-hand basin
ALIGN,mscoco,6.00,-24.50,image,wash-hand basin
ALIGN,mscoco,2.30,-20.97,image,wash-hand basin
ALIGN,mscoco,2.66,-24.13,image,wash-hand basin
ALIGN,mscoco,6.01,-23.05,image,wash-hand basin
ALIGN,mscoco,2.15,-21.73,image,wash-hand basin
ALIGN,mscoco,3.82,-25.28,image,wash-hand basin
ALIGN,mscoco,4.60,-25.22,image,wash-hand basin
ALIGN,mscoco,0.41,-24.10,image,wash-hand basin
ALIGN,mscoco,3.66,-25.96,image,wash-hand basin
ALIGN,mscoco,3.88,-20.11,image,wash-hand basin
ALIGN,mscoco,-2.37,-19.38,image,wash-hand basin
ALIGN,mscoco,0.65,-25.99,image,wash-hand basin
ALIGN,mscoco,6.04,-27.50,image,wash-hand basin
ALIGN,mscoco,-0.03,-27.10,image,wash-hand basin
ALIGN,mscoco,2.94,-20.53,image,wash-hand basin
ALIGN,mscoco,2.42,-22.80,image,wash-hand basin
ALIGN,mscoco,5.35,-21.29,image,wash-hand basin
ALIGN,mscoco,3.52,-22.84,image,wash-hand basin
ALIGN,mscoco,-2.38,-19.38,image,wash-hand basin
ALIGN,mscoco,1.30,-26.35,image,wash-hand basin
ALIGN,mscoco,0.44,-26.64,image,wash-hand basin
ALIGN,mscoco,6.09,-22.93,image,wash-hand basin
ALIGN,mscoco,1.45,-26.42,image,wash-hand basin
ALIGN,mscoco,-0.83,-23.97,image,wash-hand basin
ALIGN,mscoco,0.16,-24.99,image,wash-hand basin
ALIGN,mscoco,4.44,-26.93,image,wash-hand basin
ALIGN,mscoco,0.95,-23.02,image,wash-hand basin
ALIGN,mscoco,6.16,-25.76,image,wash-hand basin
ALIGN,mscoco,6.85,-26.77,image,wash-hand basin
ALIGN,mscoco,-20.08,22.17,image,crash helmet
ALIGN,mscoco,-17.46,23.63,image,crash helmet
ALIGN,mscoco,-18.59,22.91,image,crash helmet
ALIGN,mscoco,-17.73,23.36,image,crash helmet
ALIGN,mscoco,-19.00,22.48,image,crash helmet
ALIGN,mscoco,-14.86,21.48,image,crash helmet
ALIGN,mscoco,-13.40,19.82,image,crash helmet
ALIGN,mscoco,-20.59,23.28,image,crash helmet
ALIGN,mscoco,-18.47,23.65,image,crash helmet
ALIGN,mscoco,-16.33,21.29,image,crash helmet
ALIGN,mscoco,-19.39,24.58,image,crash helmet
ALIGN,mscoco,-14.69,23.13,image,crash helmet
ALIGN,mscoco,-14.11,21.90,image,crash helmet
ALIGN,mscoco,-17.81,19.20,image,crash helmet
ALIGN,mscoco,-14.80,22.94,image,crash helmet
ALIGN,mscoco,-18.53,21.60,image,crash helmet
ALIGN,mscoco,-17.14,23.13,image,crash helmet
ALIGN,mscoco,-13.86,21.85,image,crash helmet
ALIGN,mscoco,-18.80,23.44,image,crash helmet
ALIGN,mscoco,-19.70,23.91,image,crash helmet
ALIGN,mscoco,-17.29,25.68,image,crash helmet
ALIGN,mscoco,-17.66,20.08,image,crash helmet
ALIGN,mscoco,-18.79,19.88,image,crash helmet
ALIGN,mscoco,-19.22,23.01,image,crash helmet
ALIGN,mscoco,-17.99,23.63,image,crash helmet
ALIGN,mscoco,8.40,26.35,image,crash helmet
ALIGN,mscoco,-16.98,19.94,image,crash helmet
ALIGN,mscoco,-15.51,24.55,image,crash helmet
ALIGN,mscoco,-19.21,19.97,image,crash helmet
ALIGN,mscoco,-17.35,24.79,image,crash helmet
ALIGN,mscoco,-16.03,21.99,image,crash helmet
ALIGN,mscoco,-14.69,20.77,image,crash helmet
ALIGN,mscoco,-17.89,23.91,image,crash helmet
ALIGN,mscoco,-17.56,21.86,image,crash helmet
ALIGN,mscoco,-19.81,22.48,image,crash helmet
ALIGN,mscoco,-16.88,21.97,image,crash helmet
ALIGN,mscoco,-19.68,24.26,image,crash helmet
ALIGN,mscoco,-16.57,22.75,image,crash helmet
ALIGN,mscoco,-20.58,24.30,image,crash helmet
ALIGN,mscoco,-17.58,21.51,image,crash helmet
ALIGN,mscoco,-19.15,21.64,image,crash helmet
ALIGN,mscoco,-16.89,24.83,image,crash helmet
ALIGN,mscoco,-19.32,24.46,image,crash helmet
ALIGN,mscoco,-15.32,20.66,image,crash helmet
ALIGN,mscoco,-17.33,22.31,image,crash helmet
ALIGN,mscoco,-18.21,21.78,image,crash helmet
ALIGN,mscoco,-16.61,23.75,image,crash helmet
ALIGN,mscoco,-15.61,19.51,image,crash helmet
ALIGN,mscoco,-18.49,23.09,image,crash helmet
ALIGN,mscoco,-17.01,20.65,image,crash helmet
ALIGN,mscoco,-13.13,-7.96,text,Acinonyx jubatus
ALIGN,mscoco,-18.18,-8.81,text,Acinonyx jubatus
ALIGN,mscoco,-13.60,-6.13,text,Acinonyx jubatus
ALIGN,mscoco,-12.92,-9.07,text,Acinonyx jubatus
ALIGN,mscoco,-17.74,-6.75,text,Acinonyx jubatus
ALIGN,mscoco,-15.97,-8.26,text,Acinonyx jubatus
ALIGN,mscoco,-16.42,-8.68,text,Acinonyx jubatus
ALIGN,mscoco,-13.23,-8.08,text,Acinonyx jubatus
ALIGN,mscoco,-14.86,-7.72,text,Acinonyx jubatus
ALIGN,mscoco,-14.05,-5.13,text,Acinonyx jubatus
ALIGN,mscoco,-15.61,-8.84,text,Acinonyx jubatus
ALIGN,mscoco,-16.69,-5.02,text,Acinonyx jubatus
ALIGN,mscoco,-14.10,-6.82,text,Acinonyx jubatus
ALIGN,mscoco,-15.16,-8.54,text,Acinonyx jubatus
ALIGN,mscoco,-17.02,-4.52,text,Acinonyx jubatus
ALIGN,mscoco,-17.90,-7.51,text,Acinonyx jubatus
ALIGN,mscoco,-18.05,-9.29,text,Acinonyx jubatus
ALIGN,mscoco,-15.01,-6.27,text,Acinonyx jubatus
ALIGN,mscoco,-12.12,-8.02,text,Acinonyx jubatus
ALIGN,mscoco,-14.66,-6.09,text,Acinonyx jubatus
ALIGN,mscoco,-16.44,-6.78,text,Acinonyx jubatus
ALIGN,mscoco,-14.13,-10.17,text,Acinonyx jubatus
ALIGN,mscoco,-15.02,-4.87,text,Acinonyx jubatus
ALIGN,mscoco,-17.40,-6.10,text,Acinonyx jubatus
ALIGN,mscoco,-15.46,-7.40,text,Acinonyx jubatus
ALIGN,mscoco,-14.66,-7.34,text,Acinonyx jubatus
ALIGN,mscoco,-13.06,-7.92,text,Acinonyx jubatus
ALIGN,mscoco,-15.02,-9.28,text,Acinonyx jubatus
ALIGN,mscoco,-12.99,-5.88,text,Acinonyx jubatus
ALIGN,mscoco,-15.49,-5.85,text,Acinonyx jubatus
ALIGN,mscoco,-16.23,-5.39,text,Acinonyx jubatus
ALIGN,mscoco,-11.01,-6.98,text,Acinonyx jubatus
ALIGN,mscoco,-15.90,-6.33,text,Acinonyx jubatus
ALIGN,mscoco,-13.82,-8.92,text,Acinonyx jubatus
ALIGN,mscoco,-14.72,-6.43,text,Acinonyx jubatus
ALIGN,mscoco,-12.71,-9.84,text,Acinonyx jubatus
ALIGN,mscoco,-18.17,-7.39,text,Acinonyx jubatus
ALIGN,mscoco,-13.75,-6.94,text,Acinonyx jubatus
ALIGN,mscoco,-18.65,-7.14,text,Acinonyx jubatus
ALIGN,mscoco,-17.30,-9.57,text,Acinonyx jubatus
ALIGN,mscoco,-15.49,-8.60,text,Acinonyx jubatus
ALIGN,mscoco,-16.93,-9.91,text,Acinonyx jubatus
ALIGN,mscoco,-15.42,-6.36,text,Acinonyx jubatus
ALIGN,mscoco,-16.30,-7.76,text,Acinonyx jubatus
ALIGN,mscoco,-18.38,-7.60,text,Acinonyx jubatus
ALIGN,mscoco,-16.64,-6.81,text,Acinonyx jubatus
ALIGN,mscoco,-14.63,-5.59,text,Acinonyx jubatus
ALIGN,mscoco,-17.22,-8.12,text,Acinonyx jubatus
ALIGN,mscoco,-15.97,-8.24,text,Acinonyx jubatus
ALIGN,mscoco,-17.96,-5.58,text,Acinonyx jubatus
ALIGN,mscoco,13.91,-8.79,text,eatery
ALIGN,mscoco,15.72,-4.36,text,eatery
