Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7048258
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.60313
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.5358794
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.655687
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.82480466
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.567581
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.5996472
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7864481
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6090637
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.594393
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.5369669
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7003269
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7195636
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6631264
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.56153715
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.62526953
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6575741
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6490324
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.8247014
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.72535574
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6189142
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6169322
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7426696
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.851671
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6082559
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7487357
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.50363725
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7238924
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.71730655
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6624342
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.34714672
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.5500109
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.45965064
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.5796494
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.8854838
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.5821404
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.69132155
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6212932
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.45624423
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.70500857
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7538051
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.66623735
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6892072
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7974627
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.3955464
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.54207295
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.44797468
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.62822604
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.52738446
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.64718735
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.59552026
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.65760064
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.59357196
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.8418469
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.7249071
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.52975965
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.38865644
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.6818079
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.60460913
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.73768234
CLIP_RN50,flickr30k,Txt-Txt,Pos,0.5475015
