Model,Dataset,x,y,modality,category
CLIP_RN50,flickr30k,20.94,1.70,image,swing
CLIP_RN50,flickr30k,23.24,-0.65,image,swing
CLIP_RN50,flickr30k,19.78,0.18,image,swing
CLIP_RN50,flickr30k,19.79,2.63,image,swing
CLIP_RN50,flickr30k,24.06,-1.88,image,swing
CLIP_RN50,flickr30k,22.24,2.21,image,swing
CLIP_RN50,flickr30k,19.34,-0.11,image,swing
CLIP_RN50,flickr30k,20.80,-2.92,image,swing
CLIP_RN50,flickr30k,22.03,1.17,image,swing
CLIP_RN50,flickr30k,21.49,-0.19,image,swing
CLIP_RN50,flickr30k,20.91,-0.55,image,swing
CLIP_RN50,flickr30k,22.50,-0.69,image,swing
CLIP_RN50,flickr30k,22.93,-1.40,image,swing
CLIP_RN50,flickr30k,20.14,-0.46,image,swing
CLIP_RN50,flickr30k,21.21,1.02,image,swing
CLIP_RN50,flickr30k,18.56,1.26,image,swing
CLIP_RN50,flickr30k,21.80,2.75,image,swing
CLIP_RN50,flickr30k,21.50,-1.57,image,swing
CLIP_RN50,flickr30k,18.11,0.23,image,swing
CLIP_RN50,flickr30k,18.83,1.11,image,swing
CLIP_RN50,flickr30k,19.78,1.18,image,swing
CLIP_RN50,flickr30k,20.63,-4.01,image,swing
CLIP_RN50,flickr30k,21.59,0.30,image,swing
CLIP_RN50,flickr30k,21.96,-1.93,image,swing
CLIP_RN50,flickr30k,19.29,-1.45,image,swing
CLIP_RN50,flickr30k,23.94,1.17,image,swing
CLIP_RN50,flickr30k,17.48,-1.39,image,swing
CLIP_RN50,flickr30k,23.35,2.40,image,swing
CLIP_RN50,flickr30k,22.97,-3.37,image,swing
CLIP_RN50,flickr30k,22.07,-0.41,image,swing
CLIP_RN50,flickr30k,22.79,-2.09,image,swing
CLIP_RN50,flickr30k,22.45,-3.40,image,swing
CLIP_RN50,flickr30k,21.79,-2.04,image,swing
CLIP_RN50,flickr30k,19.68,-2.93,image,swing
CLIP_RN50,flickr30k,21.85,-2.77,image,swing
CLIP_RN50,flickr30k,19.83,-1.77,image,swing
CLIP_RN50,flickr30k,24.74,0.02,image,swing
CLIP_RN50,flickr30k,21.59,-2.59,image,swing
CLIP_RN50,flickr30k,22.43,-2.30,image,swing
CLIP_RN50,flickr30k,20.59,-1.69,image,swing
CLIP_RN50,flickr30k,22.67,0.33,image,swing
CLIP_RN50,flickr30k,21.76,-3.73,image,swing
CLIP_RN50,flickr30k,21.28,-1.47,image,swing
CLIP_RN50,flickr30k,19.26,-3.15,image,swing
CLIP_RN50,flickr30k,20.43,-1.75,image,swing
CLIP_RN50,flickr30k,19.39,1.90,image,swing
CLIP_RN50,flickr30k,19.39,0.16,image,swing
CLIP_RN50,flickr30k,22.64,2.08,image,swing
CLIP_RN50,flickr30k,22.14,0.98,image,swing
CLIP_RN50,flickr30k,21.89,-0.96,image,swing
CLIP_RN50,flickr30k,27.05,14.24,image,volleyball
CLIP_RN50,flickr30k,25.76,9.95,image,volleyball
CLIP_RN50,flickr30k,20.38,7.79,image,volleyball
CLIP_RN50,flickr30k,26.77,12.11,image,volleyball
CLIP_RN50,flickr30k,26.01,14.06,image,volleyball
