Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6474823
CLIP_RN50,mscoco,Txt-Txt,Pos,0.8133268
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5555124
CLIP_RN50,mscoco,Txt-Txt,Pos,0.68521595
CLIP_RN50,mscoco,Txt-Txt,Pos,0.8137431
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7693282
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7293557
CLIP_RN50,mscoco,Txt-Txt,Pos,0.764417
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6968993
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6123192
CLIP_RN50,mscoco,Txt-Txt,Pos,0.765642
CLIP_RN50,mscoco,Txt-Txt,Pos,0.67052364
CLIP_RN50,mscoco,Txt-Txt,Pos,0.8024381
CLIP_RN50,mscoco,Txt-Txt,Pos,0.2552648
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6042992
CLIP_RN50,mscoco,Txt-Txt,Pos,0.685623
CLIP_RN50,mscoco,Txt-Txt,Pos,0.62855524
CLIP_RN50,mscoco,Txt-Txt,Pos,0.65752566
CLIP_RN50,mscoco,Txt-Txt,Pos,0.41880125
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7255784
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7905844
CLIP_RN50,mscoco,Txt-Txt,Pos,0.4783999
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5946945
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5999828
CLIP_RN50,mscoco,Txt-Txt,Pos,0.74830204
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5624597
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7025584
CLIP_RN50,mscoco,Txt-Txt,Pos,0.5526174
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6408994
CLIP_RN50,mscoco,Txt-Txt,Pos,0.70807093
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6200977
CLIP_RN50,mscoco,Txt-Txt,Pos,0.8204385
CLIP_RN50,mscoco,Txt-Txt,Pos,0.7700846
CLIP_RN50,mscoco,Txt-Txt,Pos,0.75995606
CLIP_RN50,mscoco,Txt-Txt,Pos,0.76561356
CLIP_RN50,mscoco,Txt-Txt,Pos,0.6889517
