Model,Dataset,x,y,modality,category
CLIP_RN50,mscoco,1.66,19.53,image,school bus
CLIP_RN50,mscoco,2.95,20.86,image,school bus
CLIP_RN50,mscoco,1.83,20.89,image,school bus
CLIP_RN50,mscoco,-0.14,20.54,image,school bus
CLIP_RN50,mscoco,0.48,18.50,image,school bus
CLIP_RN50,mscoco,3.20,20.01,image,school bus
CLIP_RN50,mscoco,-2.39,19.66,image,school bus
CLIP_RN50,mscoco,0.85,18.46,image,school bus
CLIP_RN50,mscoco,1.77,18.32,image,school bus
CLIP_RN50,mscoco,2.79,18.90,image,school bus
CLIP_RN50,mscoco,-0.57,19.71,image,school bus
CLIP_RN50,mscoco,1.86,19.42,image,school bus
CLIP_RN50,mscoco,1.50,17.78,image,school bus
CLIP_RN50,mscoco,-1.98,21.04,image,school bus
CLIP_RN50,mscoco,2.52,16.53,image,school bus
CLIP_RN50,mscoco,-0.26,18.90,image,school bus
CLIP_RN50,mscoco,-2.83,16.51,image,school bus
CLIP_RN50,mscoco,3.22,21.13,image,school bus
CLIP_RN50,mscoco,1.17,15.72,image,school bus
CLIP_RN50,mscoco,-0.04,17.75,image,school bus
CLIP_RN50,mscoco,-0.34,18.84,image,school bus
CLIP_RN50,mscoco,-1.31,18.97,image,school bus
CLIP_RN50,mscoco,0.94,19.93,image,school bus
CLIP_RN50,mscoco,1.87,19.01,image,school bus
CLIP_RN50,mscoco,-2.13,16.75,image,school bus
CLIP_RN50,mscoco,1.55,17.01,image,school bus
CLIP_RN50,mscoco,-1.66,18.82,image,school bus
CLIP_RN50,mscoco,0.96,19.74,image,school bus
CLIP_RN50,mscoco,1.22,20.99,image,school bus
CLIP_RN50,mscoco,0.54,17.75,image,school bus
CLIP_RN50,mscoco,-1.15,20.58,image,school bus
CLIP_RN50,mscoco,0.59,16.85,image,school bus
CLIP_RN50,mscoco,0.94,19.24,image,school bus
CLIP_RN50,mscoco,0.16,20.37,image,school bus
CLIP_RN50,mscoco,2.91,17.97,image,school bus
CLIP_RN50,mscoco,-1.35,17.35,image,school bus
CLIP_RN50,mscoco,-0.40,15.99,image,school bus
CLIP_RN50,mscoco,-0.01,20.35,image,school bus
CLIP_RN50,mscoco,1.04,18.50,image,school bus
CLIP_RN50,mscoco,0.15,19.45,image,school bus
CLIP_RN50,mscoco,1.51,19.91,image,school bus
CLIP_RN50,mscoco,1.14,18.52,image,school bus
CLIP_RN50,mscoco,-0.70,18.56,image,school bus
CLIP_RN50,mscoco,0.55,21.15,image,school bus
CLIP_RN50,mscoco,1.95,22.09,image,school bus
CLIP_RN50,mscoco,-0.27,16.42,image,school bus
CLIP_RN50,mscoco,1.04,19.49,image,school bus
CLIP_RN50,mscoco,-0.45,21.75,image,school bus
CLIP_RN50,mscoco,-2.87,16.48,image,school bus
CLIP_RN50,mscoco,-0.32,18.31,image,school bus
CLIP_RN50,mscoco,0.78,22.71,image,fire truck
CLIP_RN50,mscoco,13.85,23.24,image,fire truck
CLIP_RN50,mscoco,12.18,21.47,image,fire truck
CLIP_RN50,mscoco,5.12,17.81,image,fire truck
CLIP_RN50,mscoco,3.78,21.73,image,fire truck
CLIP_RN50,mscoco,9.84,23.03,image,fire truck
CLIP_RN50,mscoco,5.47,22.62,image,fire truck
CLIP_RN50,mscoco,8.62,24.30,image,fire truck
CLIP_RN50,mscoco,13.49,22.62,image,fire truck
CLIP_RN50,mscoco,11.64,23.62,image,fire truck
CLIP_RN50,mscoco,11.98,24.44,image,fire truck
CLIP_RN50,mscoco,12.99,22.66,image,fire truck
CLIP_RN50,mscoco,8.91,21.49,image,fire truck
CLIP_RN50,mscoco,11.47,23.99,image,fire truck
CLIP_RN50,mscoco,10.14,24.10,image,fire truck
CLIP_RN50,mscoco,9.10,23.34,image,fire truck
CLIP_RN50,mscoco,10.39,25.88,image,fire truck
CLIP_RN50,mscoco,13.42,23.47,image,fire truck
CLIP_RN50,mscoco,11.10,22.82,image,fire truck
CLIP_RN50,mscoco,9.89,23.30,image,fire truck
CLIP_RN50,mscoco,12.55,25.34,image,fire truck
CLIP_RN50,mscoco,7.62,22.25,image,fire truck
CLIP_RN50,mscoco,12.07,24.87,image,fire truck
CLIP_RN50,mscoco,11.43,25.06,image,fire truck
CLIP_RN50,mscoco,9.89,23.80,image,fire truck
CLIP_RN50,mscoco,13.27,24.31,image,fire truck
CLIP_RN50,mscoco,11.67,26.65,image,fire truck
CLIP_RN50,mscoco,12.19,22.66,image,fire truck
CLIP_RN50,mscoco,7.01,23.23,image,fire truck
CLIP_RN50,mscoco,8.72,21.19,image,fire truck
CLIP_RN50,mscoco,10.72,23.34,image,fire truck
CLIP_RN50,mscoco,2.33,43.05,image,fire truck
CLIP_RN50,mscoco,12.63,25.35,image,fire truck
CLIP_RN50,mscoco,11.60,23.55,image,fire truck
CLIP_RN50,mscoco,12.60,23.84,image,fire truck
CLIP_RN50,mscoco,11.08,21.56,image,fire truck
CLIP_RN50,mscoco,9.02,22.12,image,fire truck
CLIP_RN50,mscoco,5.15,17.85,image,fire truck
CLIP_RN50,mscoco,10.77,24.58,image,fire truck
CLIP_RN50,mscoco,3.95,22.55,image,fire truck
CLIP_RN50,mscoco,12.80,23.80,image,fire truck
CLIP_RN50,mscoco,11.18,24.19,image,fire truck
CLIP_RN50,mscoco,10.15,20.31,image,fire truck
CLIP_RN50,mscoco,7.66,22.27,image,fire truck
CLIP_RN50,mscoco,5.18,17.94,image,fire truck
CLIP_RN50,mscoco,14.40,22.14,image,fire truck
CLIP_RN50,mscoco,11.34,25.00,image,fire truck
CLIP_RN50,mscoco,11.79,23.05,image,fire truck
CLIP_RN50,mscoco,13.54,25.05,image,fire truck
CLIP_RN50,mscoco,12.06,23.62,image,fire truck
CLIP_RN50,mscoco,-0.72,0.22,image,suit of clothes
CLIP_RN50,mscoco,-4.32,3.68,image,suit of clothes
CLIP_RN50,mscoco,-6.14,5.94,image,suit of clothes
CLIP_RN50,mscoco,-4.03,6.80,image,suit of clothes
CLIP_RN50,mscoco,-3.27,4.74,image,suit of clothes
CLIP_RN50,mscoco,-4.60,2.77,image,suit of clothes
CLIP_RN50,mscoco,-3.41,1.71,image,suit of clothes
CLIP_RN50,mscoco,-4.37,2.80,image,suit of clothes
CLIP_RN50,mscoco,-0.80,0.34,image,suit of clothes
CLIP_RN50,mscoco,-5.93,3.16,image,suit of clothes
CLIP_RN50,mscoco,-3.69,3.34,image,suit of clothes
CLIP_RN50,mscoco,-3.61,0.56,image,suit of clothes
CLIP_RN50,mscoco,-6.04,3.69,image,suit of clothes
CLIP_RN50,mscoco,-3.16,3.55,image,suit of clothes
CLIP_RN50,mscoco,-0.37,8.02,image,suit of clothes
CLIP_RN50,mscoco,-2.26,1.85,image,suit of clothes
CLIP_RN50,mscoco,-6.14,4.67,image,suit of clothes
CLIP_RN50,mscoco,-5.43,3.38,image,suit of clothes
CLIP_RN50,mscoco,-0.57,3.89,image,suit of clothes
CLIP_RN50,mscoco,-5.21,2.57,image,suit of clothes
CLIP_RN50,mscoco,-3.76,3.23,image,suit of clothes
CLIP_RN50,mscoco,-0.37,8.02,image,suit of clothes
CLIP_RN50,mscoco,-6.55,1.43,image,suit of clothes
CLIP_RN50,mscoco,-3.44,-0.19,image,suit of clothes
CLIP_RN50,mscoco,-3.52,3.83,image,suit of clothes
CLIP_RN50,mscoco,-4.95,5.68,image,suit of clothes
CLIP_RN50,mscoco,-3.58,0.48,image,suit of clothes
CLIP_RN50,mscoco,-5.35,4.81,image,suit of clothes
CLIP_RN50,mscoco,-1.06,4.29,image,suit of clothes
CLIP_RN50,mscoco,-0.94,4.53,image,suit of clothes
CLIP_RN50,mscoco,-2.63,5.45,image,suit of clothes
CLIP_RN50,mscoco,-5.28,4.02,image,suit of clothes
CLIP_RN50,mscoco,-4.86,3.49,image,suit of clothes
CLIP_RN50,mscoco,-3.55,2.74,image,suit of clothes
CLIP_RN50,mscoco,-7.65,2.95,image,suit of clothes
CLIP_RN50,mscoco,-7.38,4.36,image,suit of clothes
CLIP_RN50,mscoco,-5.34,4.54,image,suit of clothes
CLIP_RN50,mscoco,-2.70,5.38,image,suit of clothes
CLIP_RN50,mscoco,-2.36,1.89,image,suit of clothes
CLIP_RN50,mscoco,-4.30,4.44,image,suit of clothes
CLIP_RN50,mscoco,-2.62,0.98,image,suit of clothes
CLIP_RN50,mscoco,-4.73,2.06,image,suit of clothes
CLIP_RN50,mscoco,-4.59,5.29,image,suit of clothes
CLIP_RN50,mscoco,-6.64,2.83,image,suit of clothes
CLIP_RN50,mscoco,-3.43,2.46,image,suit of clothes
CLIP_RN50,mscoco,-2.66,3.13,image,suit of clothes
CLIP_RN50,mscoco,-1.81,1.98,image,suit of clothes
CLIP_RN50,mscoco,-5.66,3.66,image,suit of clothes
CLIP_RN50,mscoco,-5.31,0.53,image,suit of clothes
CLIP_RN50,mscoco,-5.90,1.91,image,suit of clothes
CLIP_RN50,mscoco,-23.30,2.80,image,broccoli
CLIP_RN50,mscoco,-24.18,4.44,image,broccoli
CLIP_RN50,mscoco,-20.40,0.22,image,broccoli
CLIP_RN50,mscoco,-22.44,0.01,image,broccoli
CLIP_RN50,mscoco,-20.46,1.55,image,broccoli
CLIP_RN50,mscoco,-22.11,2.14,image,broccoli
CLIP_RN50,mscoco,-21.66,1.17,image,broccoli
CLIP_RN50,mscoco,-23.01,1.03,image,broccoli
CLIP_RN50,mscoco,-22.44,1.74,image,broccoli
CLIP_RN50,mscoco,-25.10,2.85,image,broccoli
