Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.77398014
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.5428623
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.5135858
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.66446257
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.8604871
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.54314387
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.627939
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.8158323
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6216142
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.64282626
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.5658878
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6776012
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6916956
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.63693506
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.61771536
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.53810203
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.69851303
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6971742
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.8516977
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.73791075
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.58916247
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.63450956
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.7727639
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.8403519
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.64144653
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.69911516
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.5508467
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.7767049
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.75569797
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6534577
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.40089446
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6755436
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.5228338
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6229805
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.88329613
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.62145245
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.73522145
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.67404544
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.5194411
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6444726
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.75539136
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.61825335
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.66568613
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.79718554
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.35793144
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.58095765
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.50066274
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.50789475
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6265967
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.69950694
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6847949
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6903719
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.5921447
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.8722212
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.763986
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.5745115
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.41295975
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.71599936
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6893014
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.70209324
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.6476596
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.41910708
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.48720104
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.744156
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.7468733
CLIP_ViT-B32,flickr30k,Txt-Txt,Pos,0.71200144
