Model,Dataset,x,y,modality,category
CLIP_ViT-B32,flickr30k,0.26,-25.70,image,ski
CLIP_ViT-B32,flickr30k,-2.39,-27.67,image,ski
CLIP_ViT-B32,flickr30k,-3.65,-31.64,image,ski
CLIP_ViT-B32,flickr30k,1.35,-27.72,image,ski
CLIP_ViT-B32,flickr30k,-2.08,-28.85,image,ski
CLIP_ViT-B32,flickr30k,-1.34,-25.99,image,ski
CLIP_ViT-B32,flickr30k,0.69,-31.73,image,ski
CLIP_ViT-B32,flickr30k,-1.66,-27.35,image,ski
CLIP_ViT-B32,flickr30k,0.99,-29.94,image,ski
CLIP_ViT-B32,flickr30k,-0.49,-27.85,image,ski
CLIP_ViT-B32,flickr30k,-0.53,-28.74,image,ski
CLIP_ViT-B32,flickr30k,-3.71,-28.30,image,ski
CLIP_ViT-B32,flickr30k,-3.00,-31.62,image,ski
CLIP_ViT-B32,flickr30k,0.82,-25.54,image,ski
CLIP_ViT-B32,flickr30k,-0.99,-27.90,image,ski
CLIP_ViT-B32,flickr30k,-1.75,-29.40,image,ski
CLIP_ViT-B32,flickr30k,-2.86,-29.68,image,ski
CLIP_ViT-B32,flickr30k,3.54,-27.04,image,ski
CLIP_ViT-B32,flickr30k,-2.24,-29.17,image,ski
CLIP_ViT-B32,flickr30k,-3.83,-30.62,image,ski
CLIP_ViT-B32,flickr30k,-2.33,-30.49,image,ski
CLIP_ViT-B32,flickr30k,-0.89,-28.09,image,ski
CLIP_ViT-B32,flickr30k,-3.40,-29.12,image,ski
CLIP_ViT-B32,flickr30k,1.23,-25.64,image,ski
CLIP_ViT-B32,flickr30k,-0.15,-26.15,image,ski
CLIP_ViT-B32,flickr30k,-1.16,-26.63,image,ski
CLIP_ViT-B32,flickr30k,2.19,-30.01,image,ski
CLIP_ViT-B32,flickr30k,-0.48,-28.27,image,ski
CLIP_ViT-B32,flickr30k,-1.76,-31.14,image,ski
CLIP_ViT-B32,flickr30k,3.66,-28.01,image,ski
CLIP_ViT-B32,flickr30k,0.42,-26.85,image,ski
CLIP_ViT-B32,flickr30k,-0.40,-29.20,image,ski
CLIP_ViT-B32,flickr30k,-0.59,-29.65,image,ski
CLIP_ViT-B32,flickr30k,1.31,-28.39,image,ski
CLIP_ViT-B32,flickr30k,3.59,-28.21,image,ski
CLIP_ViT-B32,flickr30k,-1.40,-30.11,image,ski
CLIP_ViT-B32,flickr30k,1.31,-26.12,image,ski
CLIP_ViT-B32,flickr30k,-2.37,-30.42,image,ski
CLIP_ViT-B32,flickr30k,2.51,-29.94,image,ski
CLIP_ViT-B32,flickr30k,0.72,-27.56,image,ski
CLIP_ViT-B32,flickr30k,-0.50,-30.40,image,ski
CLIP_ViT-B32,flickr30k,0.48,-28.78,image,ski
CLIP_ViT-B32,flickr30k,-1.50,-28.37,image,ski
CLIP_ViT-B32,flickr30k,0.49,-27.03,image,ski
CLIP_ViT-B32,flickr30k,0.98,-26.24,image,ski
CLIP_ViT-B32,flickr30k,-3.54,-29.58,image,ski
CLIP_ViT-B32,flickr30k,1.07,-30.09,image,ski
CLIP_ViT-B32,flickr30k,-1.76,-27.46,image,ski
CLIP_ViT-B32,flickr30k,1.76,-26.71,image,ski
CLIP_ViT-B32,flickr30k,0.63,-28.28,image,ski
CLIP_ViT-B32,flickr30k,21.80,-15.67,image,volleyball
CLIP_ViT-B32,flickr30k,24.74,-10.88,image,volleyball
CLIP_ViT-B32,flickr30k,26.00,-12.21,image,volleyball
CLIP_ViT-B32,flickr30k,22.68,-14.04,image,volleyball
CLIP_ViT-B32,flickr30k,19.30,-14.12,image,volleyball
CLIP_ViT-B32,flickr30k,23.05,-13.64,image,volleyball
CLIP_ViT-B32,flickr30k,25.53,-11.04,image,volleyball
CLIP_ViT-B32,flickr30k,26.27,-11.90,image,volleyball
CLIP_ViT-B32,flickr30k,24.28,-10.44,image,volleyball
CLIP_ViT-B32,flickr30k,26.90,-11.60,image,volleyball
CLIP_ViT-B32,flickr30k,21.15,-12.98,image,volleyball
CLIP_ViT-B32,flickr30k,25.93,-11.54,image,volleyball
CLIP_ViT-B32,flickr30k,20.72,-12.50,image,volleyball
CLIP_ViT-B32,flickr30k,19.82,-12.75,image,volleyball
CLIP_ViT-B32,flickr30k,24.89,-9.95,image,volleyball
CLIP_ViT-B32,flickr30k,24.02,-14.46,image,volleyball
CLIP_ViT-B32,flickr30k,24.84,-14.05,image,volleyball
CLIP_ViT-B32,flickr30k,25.67,-10.73,image,volleyball
CLIP_ViT-B32,flickr30k,27.52,-11.18,image,volleyball
CLIP_ViT-B32,flickr30k,22.76,-12.41,image,volleyball
CLIP_ViT-B32,flickr30k,20.97,-16.43,image,volleyball
CLIP_ViT-B32,flickr30k,23.29,-13.19,image,volleyball
CLIP_ViT-B32,flickr30k,26.78,-9.76,image,volleyball
CLIP_ViT-B32,flickr30k,24.65,-15.82,image,volleyball
CLIP_ViT-B32,flickr30k,24.51,-13.89,image,volleyball
CLIP_ViT-B32,flickr30k,23.48,-13.64,image,volleyball
CLIP_ViT-B32,flickr30k,27.18,-12.50,image,volleyball
CLIP_ViT-B32,flickr30k,12.89,-12.37,image,volleyball
CLIP_ViT-B32,flickr30k,24.22,-14.00,image,volleyball
CLIP_ViT-B32,flickr30k,21.66,-14.75,image,volleyball
CLIP_ViT-B32,flickr30k,25.21,-13.66,image,volleyball
CLIP_ViT-B32,flickr30k,24.22,-14.85,image,volleyball
CLIP_ViT-B32,flickr30k,23.89,-13.61,image,volleyball
CLIP_ViT-B32,flickr30k,4.40,-19.69,image,volleyball
CLIP_ViT-B32,flickr30k,22.67,-14.89,image,volleyball
CLIP_ViT-B32,flickr30k,24.42,-10.66,image,volleyball
CLIP_ViT-B32,flickr30k,22.77,-14.69,image,volleyball
CLIP_ViT-B32,flickr30k,25.34,-14.44,image,volleyball
CLIP_ViT-B32,flickr30k,25.26,-15.31,image,volleyball
CLIP_ViT-B32,flickr30k,20.65,-14.76,image,volleyball
CLIP_ViT-B32,flickr30k,20.96,-11.87,image,volleyball
CLIP_ViT-B32,flickr30k,20.98,-13.70,image,volleyball
CLIP_ViT-B32,flickr30k,21.41,-14.23,image,volleyball
CLIP_ViT-B32,flickr30k,6.90,-19.16,image,volleyball
CLIP_ViT-B32,flickr30k,24.25,-10.48,image,volleyball
CLIP_ViT-B32,flickr30k,26.58,-9.99,image,volleyball
CLIP_ViT-B32,flickr30k,26.35,-11.29,image,volleyball
CLIP_ViT-B32,flickr30k,12.81,-12.49,image,volleyball
CLIP_ViT-B32,flickr30k,27.22,-12.53,image,volleyball
CLIP_ViT-B32,flickr30k,20.01,-14.02,image,volleyball
