Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.65458584
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8083157
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6509266
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.749984
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.82898897
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7763474
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8473708
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.79396194
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6637979
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6342194
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.85227317
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6963864
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7840836
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.36534345
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5854237
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6956576
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6606067
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7096486
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4527363
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7419021
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7964444
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.50226206
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5463613
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6424864
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.80740327
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5858805
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.72407305
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5652413
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6341773
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7556828
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.64436364
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.85279715
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.75013816
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6899107
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7330797
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6386806
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.37396735
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.57746047
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.47527
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.536356
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6158111
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.66199046
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.43370408
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7475424
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.73660547
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.78241813
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7193053
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.58839536
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.848016
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6762252
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7142972
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.347921
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8706349
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.70882285
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6913825
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.67390025
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.76368225
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6378567
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.69014776
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.75216806
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.38972318
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6339959
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.61415064
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.81749403
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.80994725
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.676002
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.67893803
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5357317
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.47447622
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.75881517
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.5284176
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6469251
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.4282565
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.84739244
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.58491707
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8888287
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.61351156
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.6413362
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.69313943
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.49219108
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.42060035
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.65909314
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.72588515
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.873415
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7658508
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.72061867
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.39277568
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.54292023
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.504845
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.8898188
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.7840614
CLIP_ViT-B32,mscoco,Txt-Txt,Pos,0.664434
