Model,Dataset,x,y,modality,category
CLIP_ViT-B32,mscoco,-29.79,-9.16,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-28.59,-6.77,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.67,-7.26,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.01,-9.90,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-27.94,-6.35,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.70,-8.36,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.12,-9.32,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-27.99,-9.33,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.40,-5.39,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.66,-7.67,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.55,-4.81,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.05,-7.20,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.50,-6.21,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-27.40,-8.33,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.29,-6.25,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-28.76,-5.73,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-28.49,-8.72,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.50,-6.20,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.03,-9.56,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.29,-7.90,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-31.70,-8.13,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.18,-10.39,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.14,-6.87,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-30.85,-6.47,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.07,-5.76,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.41,-5.89,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-28.51,-10.36,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-28.48,-9.31,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.67,-7.11,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.00,-8.30,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.31,-9.04,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.74,-10.61,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-28.76,-9.28,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.69,-9.97,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.58,-6.61,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-28.82,-4.56,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.65,-5.68,image,Acinonyx jubatus
CLIP_ViT-B32,mscoco,-29.18,-8.64,image,Acinonyx jubatus
