Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CyCLIP,flickr30k,Txt-Txt,Pos,0.85112214
CyCLIP,flickr30k,Txt-Txt,Pos,0.84475434
CyCLIP,flickr30k,Txt-Txt,Pos,0.83846325
CyCLIP,flickr30k,Txt-Txt,Pos,0.8872202
CyCLIP,flickr30k,Txt-Txt,Pos,0.86114085
CyCLIP,flickr30k,Txt-Txt,Pos,0.85101384
CyCLIP,flickr30k,Txt-Txt,Pos,0.89793605
CyCLIP,flickr30k,Txt-Txt,Pos,0.8858049
CyCLIP,flickr30k,Txt-Txt,Pos,0.8684361
CyCLIP,flickr30k,Txt-Txt,Pos,0.86717016
CyCLIP,flickr30k,Txt-Txt,Pos,0.815167
CyCLIP,flickr30k,Txt-Txt,Pos,0.8771534
CyCLIP,flickr30k,Txt-Txt,Pos,0.83254063
CyCLIP,flickr30k,Txt-Txt,Pos,0.8627484
CyCLIP,flickr30k,Txt-Txt,Pos,0.8764297
CyCLIP,flickr30k,Txt-Txt,Pos,0.9096599
CyCLIP,flickr30k,Txt-Txt,Pos,0.9003143
CyCLIP,flickr30k,Txt-Txt,Pos,0.8776305
CyCLIP,flickr30k,Txt-Txt,Pos,0.9220581
CyCLIP,flickr30k,Txt-Txt,Pos,0.90668815
CyCLIP,flickr30k,Txt-Txt,Pos,0.85841346
CyCLIP,flickr30k,Txt-Txt,Pos,0.86597514
CyCLIP,flickr30k,Txt-Txt,Pos,0.9341696
CyCLIP,flickr30k,Txt-Txt,Pos,0.95911646
CyCLIP,flickr30k,Txt-Txt,Pos,0.82591003
CyCLIP,flickr30k,Txt-Txt,Pos,0.92497516
CyCLIP,flickr30k,Txt-Txt,Pos,0.8679137
CyCLIP,flickr30k,Txt-Txt,Pos,0.8989217
CyCLIP,flickr30k,Txt-Txt,Pos,0.934218
CyCLIP,flickr30k,Txt-Txt,Pos,0.8771613
CyCLIP,flickr30k,Txt-Txt,Pos,0.80940163
CyCLIP,flickr30k,Txt-Txt,Pos,0.86154294
CyCLIP,flickr30k,Txt-Txt,Pos,0.86030954
CyCLIP,flickr30k,Txt-Txt,Pos,0.8410491
CyCLIP,flickr30k,Txt-Txt,Pos,0.9116433
CyCLIP,flickr30k,Txt-Txt,Pos,0.8339565
CyCLIP,flickr30k,Txt-Txt,Pos,0.8842415
CyCLIP,flickr30k,Txt-Txt,Pos,0.8817289
CyCLIP,flickr30k,Txt-Txt,Pos,0.8686482
CyCLIP,flickr30k,Txt-Txt,Pos,0.90694165
CyCLIP,flickr30k,Txt-Txt,Pos,0.81890845
CyCLIP,flickr30k,Txt-Txt,Pos,0.9262192
CyCLIP,flickr30k,Txt-Txt,Pos,0.85133094
CyCLIP,flickr30k,Txt-Txt,Pos,0.9182958
CyCLIP,flickr30k,Txt-Txt,Pos,0.7823883
CyCLIP,flickr30k,Txt-Txt,Pos,0.8512807
CyCLIP,flickr30k,Txt-Txt,Pos,0.8310048
CyCLIP,flickr30k,Txt-Txt,Pos,0.8148154
CyCLIP,flickr30k,Txt-Txt,Pos,0.7801211
CyCLIP,flickr30k,Txt-Txt,Pos,0.8572271
CyCLIP,flickr30k,Txt-Txt,Pos,0.8468969
CyCLIP,flickr30k,Txt-Txt,Pos,0.8797175
CyCLIP,flickr30k,Txt-Txt,Pos,0.88297707
CyCLIP,flickr30k,Txt-Txt,Pos,0.9485834
CyCLIP,flickr30k,Txt-Txt,Pos,0.94847447
CyCLIP,flickr30k,Txt-Txt,Pos,0.82734716
CyCLIP,flickr30k,Txt-Txt,Pos,0.83054566
CyCLIP,flickr30k,Txt-Txt,Pos,0.92222744
CyCLIP,flickr30k,Txt-Txt,Pos,0.95690286
CyCLIP,flickr30k,Txt-Txt,Pos,0.90578663
CyCLIP,flickr30k,Txt-Txt,Pos,0.8119649
CyCLIP,flickr30k,Txt-Txt,Pos,0.8199787
CyCLIP,flickr30k,Txt-Txt,Pos,0.7859668
CyCLIP,flickr30k,Txt-Txt,Pos,0.8169335
CyCLIP,flickr30k,Txt-Txt,Pos,0.91275126
CyCLIP,flickr30k,Txt-Txt,Pos,0.9271263
CyCLIP,flickr30k,Txt-Txt,Pos,0.87072015
CyCLIP,flickr30k,Txt-Txt,Pos,0.83704233
CyCLIP,flickr30k,Txt-Txt,Pos,0.8197633
CyCLIP,flickr30k,Txt-Txt,Pos,0.82631695
CyCLIP,flickr30k,Txt-Txt,Pos,0.8110663
CyCLIP,flickr30k,Txt-Txt,Pos,0.91580963
CyCLIP,flickr30k,Txt-Txt,Pos,0.7521524
CyCLIP,flickr30k,Txt-Txt,Pos,0.8997615
CyCLIP,flickr30k,Txt-Txt,Pos,0.893397
CyCLIP,flickr30k,Txt-Txt,Pos,0.906639
CyCLIP,flickr30k,Txt-Txt,Pos,0.8195476
CyCLIP,flickr30k,Txt-Txt,Pos,0.81999063
CyCLIP,flickr30k,Txt-Txt,Pos,0.8644401
CyCLIP,flickr30k,Txt-Txt,Pos,0.8418477
CyCLIP,flickr30k,Txt-Txt,Pos,0.86086375
CyCLIP,flickr30k,Txt-Txt,Pos,0.86933774
CyCLIP,flickr30k,Txt-Txt,Pos,0.84939665
CyCLIP,flickr30k,Txt-Txt,Pos,0.8639283
CyCLIP,flickr30k,Txt-Txt,Pos,0.84950167
CyCLIP,flickr30k,Txt-Txt,Pos,0.91513014
CyCLIP,flickr30k,Txt-Txt,Pos,0.89175105
CyCLIP,flickr30k,Txt-Txt,Pos,0.80206394
CyCLIP,flickr30k,Txt-Txt,Pos,0.80870706
CyCLIP,flickr30k,Txt-Txt,Pos,0.80471575
CyCLIP,flickr30k,Txt-Txt,Pos,0.90678847
CyCLIP,flickr30k,Txt-Txt,Pos,0.806238
CyCLIP,flickr30k,Txt-Txt,Pos,0.8736368
CyCLIP,flickr30k,Txt-Txt,Pos,0.8549877
CyCLIP,flickr30k,Txt-Txt,Pos,0.82991636
CyCLIP,flickr30k,Txt-Txt,Pos,0.8481225
CyCLIP,flickr30k,Txt-Txt,Pos,0.89918137
CyCLIP,flickr30k,Txt-Txt,Pos,0.86192507
CyCLIP,flickr30k,Txt-Txt,Pos,0.8814368
CyCLIP,flickr30k,Txt-Txt,Pos,0.85751283
CyCLIP,flickr30k,Txt-Txt,Pos,0.84615725
CyCLIP,flickr30k,Txt-Txt,Pos,0.8819258
CyCLIP,flickr30k,Txt-Txt,Pos,0.911236
CyCLIP,flickr30k,Txt-Txt,Pos,0.9704154
CyCLIP,flickr30k,Txt-Txt,Pos,0.8723432
CyCLIP,flickr30k,Txt-Txt,Pos,0.8037456
CyCLIP,flickr30k,Txt-Txt,Pos,0.8996898
CyCLIP,flickr30k,Txt-Txt,Pos,0.9516901
CyCLIP,flickr30k,Txt-Txt,Pos,0.8849898
CyCLIP,flickr30k,Txt-Txt,Pos,0.7853228
CyCLIP,flickr30k,Txt-Txt,Pos,0.79538393
CyCLIP,flickr30k,Txt-Txt,Pos,0.88364375
CyCLIP,flickr30k,Txt-Txt,Pos,0.8077944
CyCLIP,flickr30k,Txt-Txt,Pos,0.82446194
CyCLIP,flickr30k,Txt-Txt,Pos,0.7826761
CyCLIP,flickr30k,Txt-Txt,Pos,0.86459434
CyCLIP,flickr30k,Txt-Txt,Pos,0.8524846
CyCLIP,flickr30k,Txt-Txt,Pos,0.8462998
CyCLIP,flickr30k,Txt-Txt,Pos,0.85510933
CyCLIP,flickr30k,Txt-Txt,Pos,0.85423887
CyCLIP,flickr30k,Txt-Txt,Pos,0.78774893
CyCLIP,flickr30k,Txt-Txt,Pos,0.8022438
CyCLIP,flickr30k,Txt-Txt,Pos,0.8039674
CyCLIP,flickr30k,Txt-Txt,Pos,0.8685986
CyCLIP,flickr30k,Txt-Txt,Pos,0.84499407
CyCLIP,flickr30k,Txt-Txt,Pos,0.83266187
CyCLIP,flickr30k,Txt-Txt,Pos,0.8080288
CyCLIP,flickr30k,Txt-Txt,Pos,0.8525237
CyCLIP,flickr30k,Txt-Txt,Pos,0.9074643
CyCLIP,flickr30k,Txt-Txt,Pos,0.9238199
CyCLIP,flickr30k,Txt-Txt,Pos,0.83897626
CyCLIP,flickr30k,Txt-Txt,Pos,0.9387789
CyCLIP,flickr30k,Txt-Txt,Pos,0.82424253
CyCLIP,flickr30k,Txt-Txt,Pos,0.8411
