Model,Dataset,x,y,modality,category
CyCLIP,flickr30k,-18.90,-10.24,image,baseball player
CyCLIP,flickr30k,-17.28,-12.12,image,baseball player
CyCLIP,flickr30k,-15.43,-16.36,image,baseball player
CyCLIP,flickr30k,-17.16,-15.24,image,baseball player
CyCLIP,flickr30k,-16.83,-10.50,image,baseball player
CyCLIP,flickr30k,-20.15,-2.78,image,baseball player
CyCLIP,flickr30k,-14.81,2.81,image,baseball player
CyCLIP,flickr30k,-14.57,-15.92,image,baseball player
CyCLIP,flickr30k,-17.47,-17.32,image,baseball player
CyCLIP,flickr30k,-16.07,-18.10,image,baseball player
CyCLIP,flickr30k,-19.62,-15.17,image,baseball player
CyCLIP,flickr30k,-17.47,-13.70,image,baseball player
CyCLIP,flickr30k,-16.47,-17.45,image,baseball player
CyCLIP,flickr30k,-20.44,-15.83,image,baseball player
CyCLIP,flickr30k,-15.86,-16.01,image,baseball player
CyCLIP,flickr30k,-16.15,-18.62,image,baseball player
CyCLIP,flickr30k,-19.12,-3.95,image,baseball player
CyCLIP,flickr30k,-20.31,-12.60,image,baseball player
CyCLIP,flickr30k,-15.83,-9.59,image,baseball player
CyCLIP,flickr30k,-17.36,0.47,image,baseball player
CyCLIP,flickr30k,-19.60,-16.19,image,baseball player
CyCLIP,flickr30k,-16.23,-13.98,image,baseball player
CyCLIP,flickr30k,-14.98,-11.32,image,baseball player
CyCLIP,flickr30k,-16.08,-9.90,image,baseball player
CyCLIP,flickr30k,-19.14,-16.59,image,baseball player
CyCLIP,flickr30k,-20.45,-1.55,image,baseball player
CyCLIP,flickr30k,-16.45,-16.21,image,baseball player
CyCLIP,flickr30k,-16.08,-15.22,image,baseball player
CyCLIP,flickr30k,-2.31,-10.59,image,baseball player
CyCLIP,flickr30k,-20.41,-1.93,image,baseball player
CyCLIP,flickr30k,-15.39,-15.47,image,baseball player
CyCLIP,flickr30k,-14.86,-18.35,image,baseball player
CyCLIP,flickr30k,-16.85,-18.03,image,baseball player
CyCLIP,flickr30k,-19.37,-1.21,image,baseball player
CyCLIP,flickr30k,-18.26,-0.29,image,baseball player
CyCLIP,flickr30k,-19.02,-4.05,image,baseball player
CyCLIP,flickr30k,-17.05,-16.56,image,baseball player
CyCLIP,flickr30k,-17.62,-15.44,image,baseball player
CyCLIP,flickr30k,-19.94,-2.08,image,baseball player
CyCLIP,flickr30k,-15.84,-13.47,image,baseball player
CyCLIP,flickr30k,-13.58,-16.80,image,baseball player
CyCLIP,flickr30k,-17.55,-11.72,image,baseball player
CyCLIP,flickr30k,-16.80,-14.38,image,baseball player
CyCLIP,flickr30k,-15.63,-12.17,image,baseball player
CyCLIP,flickr30k,-15.39,-17.02,image,baseball player
CyCLIP,flickr30k,-20.22,-1.10,image,baseball player
CyCLIP,flickr30k,-15.27,-14.57,image,baseball player
CyCLIP,flickr30k,-15.09,-13.19,image,baseball player
CyCLIP,flickr30k,-15.64,-13.07,image,baseball player
CyCLIP,flickr30k,-16.76,-13.26,image,baseball player
CyCLIP,flickr30k,25.74,5.90,image,fountain
CyCLIP,flickr30k,27.65,13.38,image,fountain
CyCLIP,flickr30k,23.85,13.03,image,fountain
CyCLIP,flickr30k,28.43,8.69,image,fountain
CyCLIP,flickr30k,21.41,12.25,image,fountain
CyCLIP,flickr30k,20.81,13.42,image,fountain
CyCLIP,flickr30k,24.16,11.65,image,fountain
CyCLIP,flickr30k,22.21,11.03,image,fountain
CyCLIP,flickr30k,24.16,10.92,image,fountain
CyCLIP,flickr30k,21.10,10.77,image,fountain
CyCLIP,flickr30k,26.19,12.88,image,fountain
CyCLIP,flickr30k,24.82,10.55,image,fountain
CyCLIP,flickr30k,28.22,7.57,image,fountain
CyCLIP,flickr30k,22.97,12.44,image,fountain
CyCLIP,flickr30k,25.82,9.03,image,fountain
CyCLIP,flickr30k,22.24,8.53,image,fountain
CyCLIP,flickr30k,26.09,13.72,image,fountain
CyCLIP,flickr30k,28.67,11.16,image,fountain
CyCLIP,flickr30k,22.22,13.95,image,fountain
CyCLIP,flickr30k,23.61,14.04,image,fountain
CyCLIP,flickr30k,26.37,7.57,image,fountain
CyCLIP,flickr30k,23.20,10.52,image,fountain
CyCLIP,flickr30k,29.27,7.15,image,fountain
CyCLIP,flickr30k,27.20,9.85,image,fountain
CyCLIP,flickr30k,25.12,16.10,image,fountain
CyCLIP,flickr30k,25.00,7.76,image,fountain
CyCLIP,flickr30k,20.55,-13.25,image,fountain
CyCLIP,flickr30k,22.52,13.14,image,fountain
CyCLIP,flickr30k,26.36,9.75,image,fountain
CyCLIP,flickr30k,26.35,12.42,image,fountain
CyCLIP,flickr30k,25.35,16.02,image,fountain
CyCLIP,flickr30k,21.60,10.50,image,fountain
CyCLIP,flickr30k,25.07,12.73,image,fountain
CyCLIP,flickr30k,21.73,14.77,image,fountain
CyCLIP,flickr30k,25.50,10.09,image,fountain
