Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
CyCLIP,mscoco,Txt-Txt,Pos,0.83448815
CyCLIP,mscoco,Txt-Txt,Pos,0.91292596
CyCLIP,mscoco,Txt-Txt,Pos,0.93558204
CyCLIP,mscoco,Txt-Txt,Pos,0.839803
CyCLIP,mscoco,Txt-Txt,Pos,0.9182229
CyCLIP,mscoco,Txt-Txt,Pos,0.91415346
CyCLIP,mscoco,Txt-Txt,Pos,0.8508471
CyCLIP,mscoco,Txt-Txt,Pos,0.9459001
CyCLIP,mscoco,Txt-Txt,Pos,0.88896894
CyCLIP,mscoco,Txt-Txt,Pos,0.81349367
CyCLIP,mscoco,Txt-Txt,Pos,0.93848586
CyCLIP,mscoco,Txt-Txt,Pos,0.87520576
CyCLIP,mscoco,Txt-Txt,Pos,0.9077707
CyCLIP,mscoco,Txt-Txt,Pos,0.81593955
CyCLIP,mscoco,Txt-Txt,Pos,0.90376204
CyCLIP,mscoco,Txt-Txt,Pos,0.87492865
CyCLIP,mscoco,Txt-Txt,Pos,0.90025055
CyCLIP,mscoco,Txt-Txt,Pos,0.8897921
CyCLIP,mscoco,Txt-Txt,Pos,0.85083354
CyCLIP,mscoco,Txt-Txt,Pos,0.87730736
CyCLIP,mscoco,Txt-Txt,Pos,0.873307
CyCLIP,mscoco,Txt-Txt,Pos,0.84869593
CyCLIP,mscoco,Txt-Txt,Pos,0.88227975
CyCLIP,mscoco,Txt-Txt,Pos,0.9122376
CyCLIP,mscoco,Txt-Txt,Pos,0.9711503
CyCLIP,mscoco,Txt-Txt,Pos,0.85030293
CyCLIP,mscoco,Txt-Txt,Pos,0.8908343
CyCLIP,mscoco,Txt-Txt,Pos,0.82258224
CyCLIP,mscoco,Txt-Txt,Pos,0.84837043
CyCLIP,mscoco,Txt-Txt,Pos,0.90832686
CyCLIP,mscoco,Txt-Txt,Pos,0.79811156
CyCLIP,mscoco,Txt-Txt,Pos,0.8764353
CyCLIP,mscoco,Txt-Txt,Pos,0.89877456
CyCLIP,mscoco,Txt-Txt,Pos,0.85777014
CyCLIP,mscoco,Txt-Txt,Pos,0.9130211
CyCLIP,mscoco,Txt-Txt,Pos,0.8875681
CyCLIP,mscoco,Txt-Txt,Pos,0.82110286
CyCLIP,mscoco,Txt-Txt,Pos,0.8220985
CyCLIP,mscoco,Txt-Txt,Pos,0.8612274
CyCLIP,mscoco,Txt-Txt,Pos,0.7678045
CyCLIP,mscoco,Txt-Txt,Pos,0.8643635
CyCLIP,mscoco,Txt-Txt,Pos,0.90526223
CyCLIP,mscoco,Txt-Txt,Pos,0.8670708
CyCLIP,mscoco,Txt-Txt,Pos,0.8986139
CyCLIP,mscoco,Txt-Txt,Pos,0.8714717
CyCLIP,mscoco,Txt-Txt,Pos,0.8967607
CyCLIP,mscoco,Txt-Txt,Pos,0.8894157
CyCLIP,mscoco,Txt-Txt,Pos,0.7986663
CyCLIP,mscoco,Txt-Txt,Pos,0.88870215
CyCLIP,mscoco,Txt-Txt,Pos,0.92213047
CyCLIP,mscoco,Txt-Txt,Pos,0.9058589
CyCLIP,mscoco,Txt-Txt,Pos,0.8293668
CyCLIP,mscoco,Txt-Txt,Pos,0.92822087
CyCLIP,mscoco,Txt-Txt,Pos,0.8738486
CyCLIP,mscoco,Txt-Txt,Pos,0.9465193
CyCLIP,mscoco,Txt-Txt,Pos,0.85292554
CyCLIP,mscoco,Txt-Txt,Pos,0.9524324
CyCLIP,mscoco,Txt-Txt,Pos,0.92399937
