Model,Dataset,x,y,modality,category
CyCLIP,mscoco,-9.66,-20.29,image,school bus
CyCLIP,mscoco,-7.41,-17.67,image,school bus
CyCLIP,mscoco,-10.41,-23.37,image,school bus
CyCLIP,mscoco,-12.07,-22.26,image,school bus
CyCLIP,mscoco,-10.45,-19.33,image,school bus
CyCLIP,mscoco,-10.27,-21.77,image,school bus
CyCLIP,mscoco,-10.07,-16.86,image,school bus
CyCLIP,mscoco,-8.35,-21.13,image,school bus
CyCLIP,mscoco,-8.40,-18.57,image,school bus
CyCLIP,mscoco,-8.54,-20.13,image,school bus
CyCLIP,mscoco,-9.34,-22.04,image,school bus
CyCLIP,mscoco,-10.08,-20.72,image,school bus
CyCLIP,mscoco,-8.69,-21.59,image,school bus
CyCLIP,mscoco,-11.40,-20.02,image,school bus
CyCLIP,mscoco,-12.12,-16.28,image,school bus
CyCLIP,mscoco,-12.19,-20.36,image,school bus
CyCLIP,mscoco,-4.16,-19.73,image,school bus
CyCLIP,mscoco,-6.74,-17.96,image,school bus
CyCLIP,mscoco,-12.48,-17.59,image,school bus
CyCLIP,mscoco,-6.93,-19.80,image,school bus
CyCLIP,mscoco,-6.35,-20.72,image,school bus
CyCLIP,mscoco,-9.20,-18.03,image,school bus
CyCLIP,mscoco,-9.27,-20.48,image,school bus
CyCLIP,mscoco,-9.47,-21.47,image,school bus
CyCLIP,mscoco,-5.26,-18.87,image,school bus
CyCLIP,mscoco,-13.66,-16.28,image,school bus
CyCLIP,mscoco,-4.72,-12.27,image,school bus
CyCLIP,mscoco,-11.96,-20.80,image,school bus
CyCLIP,mscoco,-11.27,-23.31,image,school bus
CyCLIP,mscoco,-11.96,-17.30,image,school bus
CyCLIP,mscoco,-9.36,-19.04,image,school bus
CyCLIP,mscoco,-8.60,-23.68,image,school bus
CyCLIP,mscoco,-9.61,-21.18,image,school bus
CyCLIP,mscoco,-11.07,-22.51,image,school bus
CyCLIP,mscoco,-10.38,-20.48,image,school bus
CyCLIP,mscoco,-4.69,-20.36,image,school bus
CyCLIP,mscoco,-7.85,-25.39,image,school bus
CyCLIP,mscoco,-11.33,-22.52,image,school bus
CyCLIP,mscoco,-9.57,-19.40,image,school bus
CyCLIP,mscoco,-11.13,-21.00,image,school bus
CyCLIP,mscoco,-10.30,-21.49,image,school bus
CyCLIP,mscoco,-9.80,-20.66,image,school bus
CyCLIP,mscoco,-6.10,-20.80,image,school bus
CyCLIP,mscoco,-11.69,-23.65,image,school bus
CyCLIP,mscoco,-12.71,-23.34,image,school bus
CyCLIP,mscoco,-8.59,-23.93,image,school bus
CyCLIP,mscoco,-9.07,-19.97,image,school bus
CyCLIP,mscoco,-10.78,-18.20,image,school bus
CyCLIP,mscoco,-4.24,-19.80,image,school bus
CyCLIP,mscoco,-6.96,-21.72,image,school bus
CyCLIP,mscoco,-7.33,-15.09,image,fire truck
CyCLIP,mscoco,-4.99,-11.78,image,fire truck
CyCLIP,mscoco,-5.08,-14.77,image,fire truck
CyCLIP,mscoco,-11.58,-18.93,image,fire truck
CyCLIP,mscoco,-7.57,-16.52,image,fire truck
CyCLIP,mscoco,-13.13,-8.11,image,fire truck
CyCLIP,mscoco,-8.25,-13.01,image,fire truck
CyCLIP,mscoco,-6.48,-10.66,image,fire truck
CyCLIP,mscoco,-8.05,-10.84,image,fire truck
CyCLIP,mscoco,-9.16,-14.74,image,fire truck
CyCLIP,mscoco,-9.56,-13.36,image,fire truck
CyCLIP,mscoco,-10.78,-10.73,image,fire truck
CyCLIP,mscoco,-14.12,-7.17,image,fire truck
CyCLIP,mscoco,-9.15,-16.94,image,fire truck
CyCLIP,mscoco,-6.97,-14.21,image,fire truck
CyCLIP,mscoco,-6.08,-14.58,image,fire truck
CyCLIP,mscoco,-5.45,-10.00,image,fire truck
CyCLIP,mscoco,-9.31,-8.24,image,fire truck
CyCLIP,mscoco,-8.38,-14.50,image,fire truck
CyCLIP,mscoco,-6.77,-14.87,image,fire truck
CyCLIP,mscoco,-5.69,-11.33,image,fire truck
CyCLIP,mscoco,-13.37,-8.50,image,fire truck
CyCLIP,mscoco,-6.90,-11.25,image,fire truck
CyCLIP,mscoco,-6.96,-12.63,image,fire truck
CyCLIP,mscoco,-7.00,-14.17,image,fire truck
CyCLIP,mscoco,-7.59,-10.68,image,fire truck
CyCLIP,mscoco,-12.36,-13.27,image,fire truck
CyCLIP,mscoco,-8.06,-12.30,image,fire truck
CyCLIP,mscoco,-13.76,-9.36,image,fire truck
CyCLIP,mscoco,-14.52,-7.25,image,fire truck
CyCLIP,mscoco,-9.47,-15.49,image,fire truck
CyCLIP,mscoco,-3.91,-13.40,image,fire truck
CyCLIP,mscoco,-7.03,-11.71,image,fire truck
CyCLIP,mscoco,-9.02,-12.12,image,fire truck
CyCLIP,mscoco,-9.84,-13.37,image,fire truck
CyCLIP,mscoco,-9.23,-9.69,image,fire truck
CyCLIP,mscoco,-13.17,-8.30,image,fire truck
CyCLIP,mscoco,-10.94,-11.00,image,fire truck
CyCLIP,mscoco,-9.33,-13.60,image,fire truck
CyCLIP,mscoco,-7.53,-14.33,image,fire truck
CyCLIP,mscoco,-7.82,-9.80,image,fire truck
CyCLIP,mscoco,-8.24,-12.04,image,fire truck
CyCLIP,mscoco,-9.21,-8.38,image,fire truck
CyCLIP,mscoco,-13.34,-8.49,image,fire truck
CyCLIP,mscoco,-11.07,-11.65,image,fire truck
CyCLIP,mscoco,-11.37,-14.78,image,fire truck
CyCLIP,mscoco,-6.94,-12.65,image,fire truck
CyCLIP,mscoco,-9.97,-11.57,image,fire truck
CyCLIP,mscoco,-10.18,-10.22,image,fire truck
CyCLIP,mscoco,-9.12,-11.04,image,fire truck
CyCLIP,mscoco,-22.74,18.92,image,suit of clothes
CyCLIP,mscoco,-21.55,21.91,image,suit of clothes
CyCLIP,mscoco,-17.64,21.41,image,suit of clothes
CyCLIP,mscoco,-16.73,23.52,image,suit of clothes
CyCLIP,mscoco,-19.45,22.90,image,suit of clothes
CyCLIP,mscoco,-21.32,23.64,image,suit of clothes
CyCLIP,mscoco,-25.09,18.95,image,suit of clothes
CyCLIP,mscoco,-23.89,24.28,image,suit of clothes
CyCLIP,mscoco,-21.89,18.67,image,suit of clothes
CyCLIP,mscoco,-21.97,22.66,image,suit of clothes
CyCLIP,mscoco,-24.25,22.52,image,suit of clothes
CyCLIP,mscoco,-25.16,17.95,image,suit of clothes
CyCLIP,mscoco,-22.79,21.63,image,suit of clothes
CyCLIP,mscoco,-24.66,24.25,image,suit of clothes
CyCLIP,mscoco,-16.75,21.49,image,suit of clothes
CyCLIP,mscoco,-22.87,19.38,image,suit of clothes
CyCLIP,mscoco,-20.88,21.38,image,suit of clothes
CyCLIP,mscoco,-21.61,23.20,image,suit of clothes
CyCLIP,mscoco,-23.48,18.60,image,suit of clothes
CyCLIP,mscoco,-22.14,20.92,image,suit of clothes
CyCLIP,mscoco,-25.33,23.36,image,suit of clothes
CyCLIP,mscoco,-17.07,21.90,image,suit of clothes
CyCLIP,mscoco,-17.86,20.05,image,suit of clothes
CyCLIP,mscoco,-24.19,20.66,image,suit of clothes
CyCLIP,mscoco,-23.84,24.31,image,suit of clothes
CyCLIP,mscoco,-18.92,20.80,image,suit of clothes
CyCLIP,mscoco,-25.25,17.97,image,suit of clothes
CyCLIP,mscoco,-20.17,22.35,image,suit of clothes
CyCLIP,mscoco,-21.75,20.35,image,suit of clothes
CyCLIP,mscoco,-16.21,21.48,image,suit of clothes
CyCLIP,mscoco,-17.72,22.31,image,suit of clothes
CyCLIP,mscoco,-20.72,22.13,image,suit of clothes
CyCLIP,mscoco,-20.89,22.76,image,suit of clothes
CyCLIP,mscoco,-25.25,23.28,image,suit of clothes
CyCLIP,mscoco,-16.65,20.66,image,suit of clothes
CyCLIP,mscoco,-15.88,21.94,image,suit of clothes
CyCLIP,mscoco,-21.23,20.61,image,suit of clothes
CyCLIP,mscoco,-22.96,22.53,image,suit of clothes
CyCLIP,mscoco,-23.57,19.86,image,suit of clothes
CyCLIP,mscoco,-22.14,24.27,image,suit of clothes
CyCLIP,mscoco,-24.25,19.59,image,suit of clothes
CyCLIP,mscoco,-23.06,23.23,image,suit of clothes
CyCLIP,mscoco,-19.21,21.57,image,suit of clothes
CyCLIP,mscoco,-22.74,21.53,image,suit of clothes
CyCLIP,mscoco,-23.81,21.62,image,suit of clothes
CyCLIP,mscoco,-19.88,23.61,image,suit of clothes
CyCLIP,mscoco,-22.63,19.52,image,suit of clothes
CyCLIP,mscoco,-21.70,21.84,image,suit of clothes
CyCLIP,mscoco,-25.23,21.85,image,suit of clothes
CyCLIP,mscoco,-18.88,20.50,image,suit of clothes
CyCLIP,mscoco,35.73,7.14,image,broccoli
CyCLIP,mscoco,36.60,8.78,image,broccoli
CyCLIP,mscoco,32.66,1.26,image,broccoli
CyCLIP,mscoco,32.12,6.62,image,broccoli
CyCLIP,mscoco,33.89,3.72,image,broccoli
CyCLIP,mscoco,35.12,8.87,image,broccoli
CyCLIP,mscoco,33.93,3.76,image,broccoli
CyCLIP,mscoco,37.83,6.89,image,broccoli
CyCLIP,mscoco,33.63,6.03,image,broccoli
CyCLIP,mscoco,36.08,8.24,image,broccoli
CyCLIP,mscoco,34.41,7.02,image,broccoli
CyCLIP,mscoco,38.83,7.58,image,broccoli
CyCLIP,mscoco,36.25,7.80,image,broccoli
CyCLIP,mscoco,34.83,7.46,image,broccoli
CyCLIP,mscoco,35.28,5.54,image,broccoli
CyCLIP,mscoco,34.57,8.25,image,broccoli
CyCLIP,mscoco,36.12,9.15,image,broccoli
CyCLIP,mscoco,32.48,0.06,image,broccoli
CyCLIP,mscoco,32.02,0.37,image,broccoli
CyCLIP,mscoco,34.47,8.73,image,broccoli
CyCLIP,mscoco,33.59,5.94,image,broccoli
CyCLIP,mscoco,36.48,10.62,image,broccoli
CyCLIP,mscoco,38.69,8.45,image,broccoli
CyCLIP,mscoco,36.61,10.10,image,broccoli
CyCLIP,mscoco,32.04,2.26,image,broccoli
CyCLIP,mscoco,36.30,6.92,image,broccoli
CyCLIP,mscoco,37.51,7.25,image,broccoli
CyCLIP,mscoco,38.02,8.30,image,broccoli
CyCLIP,mscoco,36.41,6.08,image,broccoli
CyCLIP,mscoco,33.82,2.48,image,broccoli
CyCLIP,mscoco,34.05,5.26,image,broccoli
CyCLIP,mscoco,38.92,7.05,image,broccoli
CyCLIP,mscoco,32.72,3.27,image,broccoli
CyCLIP,mscoco,31.36,0.17,image,broccoli
CyCLIP,mscoco,35.41,6.35,image,broccoli
CyCLIP,mscoco,37.44,9.43,image,broccoli
CyCLIP,mscoco,34.23,7.23,image,broccoli
CyCLIP,mscoco,31.87,4.45,image,broccoli
CyCLIP,mscoco,31.68,0.02,image,broccoli
CyCLIP,mscoco,38.78,9.73,image,broccoli
CyCLIP,mscoco,34.75,7.61,image,broccoli
CyCLIP,mscoco,33.22,1.93,image,broccoli
CyCLIP,mscoco,32.56,4.33,image,broccoli
CyCLIP,mscoco,36.66,7.10,image,broccoli
CyCLIP,mscoco,33.56,4.99,image,broccoli
CyCLIP,mscoco,35.04,5.27,image,broccoli
CyCLIP,mscoco,33.93,8.24,image,broccoli
CyCLIP,mscoco,36.20,10.54,image,broccoli
CyCLIP,mscoco,37.62,8.12,image,broccoli
CyCLIP,mscoco,35.44,9.72,image,broccoli
CyCLIP,mscoco,6.37,14.92,image,steam locomotive
CyCLIP,mscoco,2.76,15.41,image,steam locomotive
CyCLIP,mscoco,5.76,15.49,image,steam locomotive
CyCLIP,mscoco,7.55,15.87,image,steam locomotive
CyCLIP,mscoco,7.86,16.25,image,steam locomotive
CyCLIP,mscoco,5.30,14.52,image,steam locomotive
CyCLIP,mscoco,1.83,16.18,image,steam locomotive
CyCLIP,mscoco,2.60,16.46,image,steam locomotive
CyCLIP,mscoco,4.42,16.26,image,steam locomotive
CyCLIP,mscoco,4.22,15.72,image,steam locomotive
CyCLIP,mscoco,6.71,15.89,image,steam locomotive
CyCLIP,mscoco,3.43,16.93,image,steam locomotive
CyCLIP,mscoco,3.61,15.51,image,steam locomotive
CyCLIP,mscoco,3.26,16.54,image,steam locomotive
CyCLIP,mscoco,1.79,16.65,image,steam locomotive
CyCLIP,mscoco,7.71,17.65,image,steam locomotive
CyCLIP,mscoco,4.11,17.56,image,steam locomotive
CyCLIP,mscoco,2.92,18.11,image,steam locomotive
CyCLIP,mscoco,1.50,17.45,image,steam locomotive
CyCLIP,mscoco,5.76,17.91,image,steam locomotive
CyCLIP,mscoco,6.50,13.94,image,steam locomotive
CyCLIP,mscoco,5.20,17.06,image,steam locomotive
CyCLIP,mscoco,1.44,17.11,image,steam locomotive
CyCLIP,mscoco,3.16,14.43,image,steam locomotive
CyCLIP,mscoco,4.70,17.74,image,steam locomotive
CyCLIP,mscoco,1.00,16.78,image,steam locomotive
CyCLIP,mscoco,5.36,15.80,image,steam locomotive
CyCLIP,mscoco,4.04,14.56,image,steam locomotive
CyCLIP,mscoco,3.02,17.41,image,steam locomotive
CyCLIP,mscoco,2.14,13.08,image,steam locomotive
CyCLIP,mscoco,2.16,16.56,image,steam locomotive
CyCLIP,mscoco,0.95,15.50,image,steam locomotive
CyCLIP,mscoco,0.86,15.90,image,steam locomotive
CyCLIP,mscoco,1.26,18.11,image,steam locomotive
CyCLIP,mscoco,5.08,18.69,image,steam locomotive
CyCLIP,mscoco,7.41,15.34,image,steam locomotive
CyCLIP,mscoco,5.56,17.54,image,steam locomotive
CyCLIP,mscoco,4.17,13.62,image,steam locomotive
CyCLIP,mscoco,3.84,16.44,image,steam locomotive
CyCLIP,mscoco,2.04,14.26,image,steam locomotive
CyCLIP,mscoco,8.74,15.20,image,steam locomotive
CyCLIP,mscoco,3.91,18.08,image,steam locomotive
CyCLIP,mscoco,1.78,14.66,image,steam locomotive
CyCLIP,mscoco,2.88,13.53,image,steam locomotive
CyCLIP,mscoco,4.33,17.07,image,steam locomotive
CyCLIP,mscoco,6.19,16.77,image,steam locomotive
CyCLIP,mscoco,5.27,16.49,image,steam locomotive
CyCLIP,mscoco,2.37,17.53,image,steam locomotive
CyCLIP,mscoco,7.90,14.48,image,steam locomotive
CyCLIP,mscoco,4.27,15.32,image,steam locomotive
CyCLIP,mscoco,-1.03,-26.31,text,school bus
CyCLIP,mscoco,0.53,-24.44,text,school bus
CyCLIP,mscoco,2.90,-20.33,text,school bus
CyCLIP,mscoco,2.31,-20.70,text,school bus
CyCLIP,mscoco,0.26,-25.10,text,school bus
CyCLIP,mscoco,-4.45,-23.07,text,school bus
CyCLIP,mscoco,-12.16,-2.51,text,school bus
CyCLIP,mscoco,-1.58,-24.42,text,school bus
CyCLIP,mscoco,0.49,-23.88,text,school bus
CyCLIP,mscoco,-1.27,-25.21,text,school bus
CyCLIP,mscoco,-1.52,-23.95,text,school bus
CyCLIP,mscoco,1.27,-24.30,text,school bus
CyCLIP,mscoco,-2.32,-22.69,text,school bus
CyCLIP,mscoco,-4.13,-24.45,text,school bus
CyCLIP,mscoco,0.29,-23.02,text,school bus
CyCLIP,mscoco,-3.96,-10.02,text,school bus
CyCLIP,mscoco,-4.71,-25.50,text,school bus
CyCLIP,mscoco,0.06,-10.74,text,school bus
CyCLIP,mscoco,-17.44,13.38,text,school bus
CyCLIP,mscoco,1.53,-24.14,text,school bus
CyCLIP,mscoco,0.26,-25.10,text,school bus
CyCLIP,mscoco,-1.39,-23.31,text,school bus
CyCLIP,mscoco,2.24,-22.87,text,school bus
CyCLIP,mscoco,-0.69,-22.61,text,school bus
CyCLIP,mscoco,-1.25,-22.24,text,school bus
CyCLIP,mscoco,-14.36,-16.33,text,school bus
CyCLIP,mscoco,2.09,-25.86,text,school bus
CyCLIP,mscoco,-4.10,-24.22,text,school bus
CyCLIP,mscoco,3.15,-22.73,text,school bus
CyCLIP,mscoco,-4.27,-25.61,text,school bus
CyCLIP,mscoco,-0.54,-23.55,text,school bus
CyCLIP,mscoco,0.20,-22.36,text,school bus
CyCLIP,mscoco,-1.40,-24.93,text,school bus
CyCLIP,mscoco,1.91,-21.24,text,school bus
CyCLIP,mscoco,1.53,-25.18,text,school bus
CyCLIP,mscoco,-3.55,-21.94,text,school bus
CyCLIP,mscoco,-7.39,-25.67,text,school bus
CyCLIP,mscoco,1.99,-22.98,text,school bus
CyCLIP,mscoco,-0.11,-25.04,text,school bus
CyCLIP,mscoco,1.07,-21.43,text,school bus
CyCLIP,mscoco,0.98,-23.92,text,school bus
CyCLIP,mscoco,-2.94,-25.46,text,school bus
CyCLIP,mscoco,-1.09,-21.32,text,school bus
CyCLIP,mscoco,2.55,-20.37,text,school bus
CyCLIP,mscoco,2.70,-22.46,text,school bus
CyCLIP,mscoco,2.42,-24.17,text,school bus
CyCLIP,mscoco,-0.28,-24.16,text,school bus
CyCLIP,mscoco,-0.16,-21.31,text,school bus
CyCLIP,mscoco,0.44,-26.10,text,school bus
CyCLIP,mscoco,-1.92,-24.32,text,school bus
CyCLIP,mscoco,-7.21,-3.85,text,fire truck
CyCLIP,mscoco,-6.67,-1.74,text,fire truck
CyCLIP,mscoco,-11.37,-2.41,text,fire truck
CyCLIP,mscoco,-8.06,-4.26,text,fire truck
CyCLIP,mscoco,-0.13,-10.60,text,fire truck
CyCLIP,mscoco,-7.08,-7.47,text,fire truck
CyCLIP,mscoco,-2.60,-6.07,text,fire truck
CyCLIP,mscoco,-2.77,-11.11,text,fire truck
CyCLIP,mscoco,-5.36,-6.08,text,fire truck
CyCLIP,mscoco,-6.70,-4.59,text,fire truck
CyCLIP,mscoco,-7.61,-7.34,text,fire truck
CyCLIP,mscoco,-4.14,-5.95,text,fire truck
CyCLIP,mscoco,-14.12,-6.65,text,fire truck
CyCLIP,mscoco,-1.55,-6.12,text,fire truck
CyCLIP,mscoco,-3.04,-6.30,text,fire truck
CyCLIP,mscoco,-4.79,-7.85,text,fire truck
CyCLIP,mscoco,-4.72,-9.17,text,fire truck
CyCLIP,mscoco,-4.06,-4.98,text,fire truck
CyCLIP,mscoco,-5.94,-5.05,text,fire truck
CyCLIP,mscoco,-1.42,-6.67,text,fire truck
CyCLIP,mscoco,-2.86,-8.46,text,fire truck
CyCLIP,mscoco,-12.56,-5.94,text,fire truck
CyCLIP,mscoco,-4.48,-6.98,text,fire truck
CyCLIP,mscoco,-6.70,-1.77,text,fire truck
CyCLIP,mscoco,-3.63,-6.62,text,fire truck
CyCLIP,mscoco,-3.44,-7.87,text,fire truck
CyCLIP,mscoco,-12.63,-2.67,text,fire truck
CyCLIP,mscoco,-3.63,-7.59,text,fire truck
CyCLIP,mscoco,-0.53,-10.14,text,fire truck
CyCLIP,mscoco,-12.77,-4.27,text,fire truck
CyCLIP,mscoco,-6.32,-4.48,text,fire truck
CyCLIP,mscoco,9.87,5.33,text,fire truck
CyCLIP,mscoco,-5.59,-7.42,text,fire truck
CyCLIP,mscoco,-5.94,-5.43,text,fire truck
CyCLIP,mscoco,-3.81,-3.28,text,fire truck
CyCLIP,mscoco,-8.37,-7.22,text,fire truck
CyCLIP,mscoco,-3.85,-4.29,text,fire truck
CyCLIP,mscoco,-9.42,-5.55,text,fire truck
CyCLIP,mscoco,-2.79,-3.83,text,fire truck
CyCLIP,mscoco,2.41,-18.85,text,fire truck
CyCLIP,mscoco,-3.39,-3.86,text,fire truck
CyCLIP,mscoco,-4.68,-6.85,text,fire truck
CyCLIP,mscoco,-9.25,-5.97,text,fire truck
CyCLIP,mscoco,-12.42,-5.83,text,fire truck
CyCLIP,mscoco,-8.50,-4.87,text,fire truck
CyCLIP,mscoco,-4.03,-2.39,text,fire truck
CyCLIP,mscoco,-7.18,-7.33,text,fire truck
CyCLIP,mscoco,-6.59,-4.62,text,fire truck
CyCLIP,mscoco,-11.26,-8.68,text,fire truck
CyCLIP,mscoco,-6.29,-5.67,text,fire truck
CyCLIP,mscoco,-22.70,15.69,text,suit of clothes
CyCLIP,mscoco,-19.02,16.73,text,suit of clothes
CyCLIP,mscoco,-16.04,12.33,text,suit of clothes
CyCLIP,mscoco,-13.00,-1.50,text,suit of clothes
CyCLIP,mscoco,-17.26,9.43,text,suit of clothes
CyCLIP,mscoco,-18.72,17.53,text,suit of clothes
CyCLIP,mscoco,-16.14,14.96,text,suit of clothes
CyCLIP,mscoco,-18.87,17.39,text,suit of clothes
CyCLIP,mscoco,-16.45,17.30,text,suit of clothes
CyCLIP,mscoco,-20.50,16.13,text,suit of clothes
CyCLIP,mscoco,-21.67,13.81,text,suit of clothes
CyCLIP,mscoco,-23.91,15.39,text,suit of clothes
CyCLIP,mscoco,-19.56,15.39,text,suit of clothes
CyCLIP,mscoco,-22.68,12.90,text,suit of clothes
CyCLIP,mscoco,-17.74,16.37,text,suit of clothes
CyCLIP,mscoco,-14.63,-12.26,text,suit of clothes
CyCLIP,mscoco,-22.42,14.81,text,suit of clothes
CyCLIP,mscoco,-20.34,14.33,text,suit of clothes
CyCLIP,mscoco,-25.49,15.18,text,suit of clothes
CyCLIP,mscoco,-24.27,14.18,text,suit of clothes
CyCLIP,mscoco,-21.28,13.54,text,suit of clothes
CyCLIP,mscoco,-14.92,14.60,text,suit of clothes
CyCLIP,mscoco,-16.24,15.98,text,suit of clothes
CyCLIP,mscoco,-21.94,17.03,text,suit of clothes
CyCLIP,mscoco,-19.66,17.61,text,suit of clothes
CyCLIP,mscoco,-23.09,14.00,text,suit of clothes
CyCLIP,mscoco,-24.32,14.47,text,suit of clothes
CyCLIP,mscoco,-20.34,13.35,text,suit of clothes
CyCLIP,mscoco,-21.41,16.97,text,suit of clothes
CyCLIP,mscoco,-17.62,12.96,text,suit of clothes
CyCLIP,mscoco,-17.27,9.87,text,suit of clothes
CyCLIP,mscoco,-21.11,16.91,text,suit of clothes
CyCLIP,mscoco,-21.30,13.05,text,suit of clothes
CyCLIP,mscoco,-23.65,15.22,text,suit of clothes
CyCLIP,mscoco,-16.55,12.40,text,suit of clothes
CyCLIP,mscoco,-18.68,13.01,text,suit of clothes
CyCLIP,mscoco,-19.71,16.39,text,suit of clothes
CyCLIP,mscoco,-21.58,14.81,text,suit of clothes
CyCLIP,mscoco,-18.31,13.24,text,suit of clothes
CyCLIP,mscoco,-20.28,14.77,text,suit of clothes
CyCLIP,mscoco,-21.56,11.94,text,suit of clothes
CyCLIP,mscoco,-24.71,16.13,text,suit of clothes
CyCLIP,mscoco,-21.45,15.11,text,suit of clothes
CyCLIP,mscoco,-22.14,14.21,text,suit of clothes
CyCLIP,mscoco,-22.74,16.92,text,suit of clothes
CyCLIP,mscoco,-20.46,12.47,text,suit of clothes
CyCLIP,mscoco,-20.09,16.45,text,suit of clothes
CyCLIP,mscoco,-22.96,14.70,text,suit of clothes
CyCLIP,mscoco,-19.69,14.30,text,suit of clothes
CyCLIP,mscoco,-16.58,17.18,text,suit of clothes
CyCLIP,mscoco,39.13,1.14,text,broccoli
CyCLIP,mscoco,38.30,1.62,text,broccoli
CyCLIP,mscoco,35.67,-0.17,text,broccoli
