Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
FLAVA,flickr30k,Txt-Txt,Pos,0.60554594
FLAVA,flickr30k,Txt-Txt,Pos,0.64065313
FLAVA,flickr30k,Txt-Txt,Pos,0.6575616
FLAVA,flickr30k,Txt-Txt,Pos,0.7095998
FLAVA,flickr30k,Txt-Txt,Pos,0.74999356
FLAVA,flickr30k,Txt-Txt,Pos,0.56783926
FLAVA,flickr30k,Txt-Txt,Pos,0.742007
FLAVA,flickr30k,Txt-Txt,Pos,0.86747676
FLAVA,flickr30k,Txt-Txt,Pos,0.6112917
FLAVA,flickr30k,Txt-Txt,Pos,0.86009955
FLAVA,flickr30k,Txt-Txt,Pos,0.5644938
FLAVA,flickr30k,Txt-Txt,Pos,0.683891
FLAVA,flickr30k,Txt-Txt,Pos,0.6315886
FLAVA,flickr30k,Txt-Txt,Pos,0.51263666
FLAVA,flickr30k,Txt-Txt,Pos,0.8066437
FLAVA,flickr30k,Txt-Txt,Pos,0.7915123
FLAVA,flickr30k,Txt-Txt,Pos,0.71185637
FLAVA,flickr30k,Txt-Txt,Pos,0.7313366
FLAVA,flickr30k,Txt-Txt,Pos,0.72481334
FLAVA,flickr30k,Txt-Txt,Pos,0.62099016
FLAVA,flickr30k,Txt-Txt,Pos,0.72707117
FLAVA,flickr30k,Txt-Txt,Pos,0.7903484
FLAVA,flickr30k,Txt-Txt,Pos,0.9127774
FLAVA,flickr30k,Txt-Txt,Pos,0.79586434
FLAVA,flickr30k,Txt-Txt,Pos,0.59863335
FLAVA,flickr30k,Txt-Txt,Pos,0.7967779
FLAVA,flickr30k,Txt-Txt,Pos,0.5213076
FLAVA,flickr30k,Txt-Txt,Pos,0.7746707
FLAVA,flickr30k,Txt-Txt,Pos,0.81598794
FLAVA,flickr30k,Txt-Txt,Pos,0.70985013
FLAVA,flickr30k,Txt-Txt,Pos,0.54634905
FLAVA,flickr30k,Txt-Txt,Pos,0.6113782
FLAVA,flickr30k,Txt-Txt,Pos,0.44588858
FLAVA,flickr30k,Txt-Txt,Pos,0.6930538
FLAVA,flickr30k,Txt-Txt,Pos,0.8819912
FLAVA,flickr30k,Txt-Txt,Pos,0.7079241
FLAVA,flickr30k,Txt-Txt,Pos,0.79758227
FLAVA,flickr30k,Txt-Txt,Pos,0.5183653
FLAVA,flickr30k,Txt-Txt,Pos,0.56187445
FLAVA,flickr30k,Txt-Txt,Pos,0.72590953
FLAVA,flickr30k,Txt-Txt,Pos,0.5992791
FLAVA,flickr30k,Txt-Txt,Pos,0.6193861
FLAVA,flickr30k,Txt-Txt,Pos,0.33968002
FLAVA,flickr30k,Txt-Txt,Pos,0.6999979
FLAVA,flickr30k,Txt-Txt,Pos,0.17254324
FLAVA,flickr30k,Txt-Txt,Pos,0.72507495
FLAVA,flickr30k,Txt-Txt,Pos,0.4566775
FLAVA,flickr30k,Txt-Txt,Pos,0.60888326
FLAVA,flickr30k,Txt-Txt,Pos,0.36103547
FLAVA,flickr30k,Txt-Txt,Pos,0.7622194
FLAVA,flickr30k,Txt-Txt,Pos,0.63301265
FLAVA,flickr30k,Txt-Txt,Pos,0.5778173
FLAVA,flickr30k,Txt-Txt,Pos,0.7511374
FLAVA,flickr30k,Txt-Txt,Pos,0.7125304
FLAVA,flickr30k,Txt-Txt,Pos,0.914976
FLAVA,flickr30k,Txt-Txt,Pos,0.4815207
FLAVA,flickr30k,Txt-Txt,Pos,0.6431908
FLAVA,flickr30k,Txt-Txt,Pos,0.7921597
FLAVA,flickr30k,Txt-Txt,Pos,0.5757626
FLAVA,flickr30k,Txt-Txt,Pos,0.46217752
FLAVA,flickr30k,Txt-Txt,Pos,0.53023666
FLAVA,flickr30k,Txt-Txt,Pos,0.39842972
FLAVA,flickr30k,Txt-Txt,Pos,0.43826762
FLAVA,flickr30k,Txt-Txt,Pos,0.47424704
FLAVA,flickr30k,Txt-Txt,Pos,0.7695912
FLAVA,flickr30k,Txt-Txt,Pos,0.6283182
