Model,Dataset,x,y,modality,category
FLAVA,flickr30k,7.43,17.99,image,volleyball
FLAVA,flickr30k,20.36,-0.34,image,volleyball
FLAVA,flickr30k,4.15,3.21,image,volleyball
FLAVA,flickr30k,23.85,4.63,image,volleyball
FLAVA,flickr30k,22.66,4.62,image,volleyball
FLAVA,flickr30k,20.62,1.10,image,volleyball
FLAVA,flickr30k,20.71,0.62,image,volleyball
FLAVA,flickr30k,20.91,1.62,image,volleyball
FLAVA,flickr30k,18.92,-2.58,image,volleyball
FLAVA,flickr30k,23.60,4.03,image,volleyball
FLAVA,flickr30k,17.11,1.39,image,volleyball
FLAVA,flickr30k,22.25,-0.24,image,volleyball
FLAVA,flickr30k,19.07,0.16,image,volleyball
FLAVA,flickr30k,19.65,1.23,image,volleyball
FLAVA,flickr30k,25.06,1.92,image,volleyball
FLAVA,flickr30k,25.72,4.19,image,volleyball
FLAVA,flickr30k,20.74,3.40,image,volleyball
FLAVA,flickr30k,18.05,-0.41,image,volleyball
FLAVA,flickr30k,21.36,1.58,image,volleyball
FLAVA,flickr30k,13.59,-3.54,image,volleyball
FLAVA,flickr30k,26.67,2.65,image,volleyball
FLAVA,flickr30k,25.02,1.34,image,volleyball
FLAVA,flickr30k,21.71,0.76,image,volleyball
FLAVA,flickr30k,21.48,1.36,image,volleyball
FLAVA,flickr30k,23.20,4.38,image,volleyball
FLAVA,flickr30k,26.72,2.45,image,volleyball
FLAVA,flickr30k,20.45,1.91,image,volleyball
FLAVA,flickr30k,18.96,-0.17,image,volleyball
FLAVA,flickr30k,24.11,3.04,image,volleyball
FLAVA,flickr30k,17.33,1.63,image,volleyball
FLAVA,flickr30k,20.19,-1.48,image,volleyball
FLAVA,flickr30k,17.85,-0.49,image,volleyball
FLAVA,flickr30k,25.72,4.13,image,volleyball
FLAVA,flickr30k,17.94,2.51,image,volleyball
FLAVA,flickr30k,23.47,3.72,image,volleyball
FLAVA,flickr30k,16.14,-3.11,image,volleyball
FLAVA,flickr30k,23.79,-0.20,image,volleyball
FLAVA,flickr30k,16.97,-3.03,image,volleyball
FLAVA,flickr30k,19.24,0.33,image,volleyball
FLAVA,flickr30k,26.59,2.58,image,volleyball
FLAVA,flickr30k,-0.88,-1.65,image,volleyball
FLAVA,flickr30k,26.04,3.27,image,volleyball
FLAVA,flickr30k,20.54,0.07,image,volleyball
FLAVA,flickr30k,16.72,-3.03,image,volleyball
FLAVA,flickr30k,20.82,3.34,image,volleyball
FLAVA,flickr30k,23.98,3.08,image,volleyball
FLAVA,flickr30k,22.63,4.63,image,volleyball
FLAVA,flickr30k,24.93,3.32,image,volleyball
FLAVA,flickr30k,24.98,2.65,image,volleyball
FLAVA,flickr30k,21.24,1.98,image,volleyball
FLAVA,flickr30k,3.45,-21.41,image,swing
FLAVA,flickr30k,6.79,-21.68,image,swing
FLAVA,flickr30k,6.41,-25.26,image,swing
FLAVA,flickr30k,6.69,-23.78,image,swing
FLAVA,flickr30k,2.14,-14.92,image,swing
FLAVA,flickr30k,1.96,-21.44,image,swing
FLAVA,flickr30k,0.79,-13.27,image,swing
FLAVA,flickr30k,5.87,-23.90,image,swing
FLAVA,flickr30k,2.11,-23.42,image,swing
FLAVA,flickr30k,2.79,-24.66,image,swing
FLAVA,flickr30k,1.34,-22.23,image,swing
FLAVA,flickr30k,5.52,-26.81,image,swing
FLAVA,flickr30k,5.97,-25.26,image,swing
FLAVA,flickr30k,3.25,-25.48,image,swing
FLAVA,flickr30k,1.81,-20.05,image,swing
FLAVA,flickr30k,4.44,-22.19,image,swing
FLAVA,flickr30k,2.00,-25.37,image,swing
FLAVA,flickr30k,1.00,-10.46,image,swing
FLAVA,flickr30k,3.54,-15.41,image,swing
FLAVA,flickr30k,5.63,-23.75,image,swing
FLAVA,flickr30k,2.71,-22.87,image,swing
FLAVA,flickr30k,4.14,-24.04,image,swing
FLAVA,flickr30k,2.40,-23.69,image,swing
FLAVA,flickr30k,7.54,-21.18,image,swing
FLAVA,flickr30k,2.59,-20.35,image,swing
FLAVA,flickr30k,0.84,-17.31,image,swing
FLAVA,flickr30k,0.21,-21.36,image,swing
FLAVA,flickr30k,4.36,-17.23,image,swing
FLAVA,flickr30k,5.15,-19.06,image,swing
FLAVA,flickr30k,3.04,-26.50,image,swing
FLAVA,flickr30k,3.73,-21.37,image,swing
FLAVA,flickr30k,6.62,-21.92,image,swing
FLAVA,flickr30k,4.96,-25.52,image,swing
FLAVA,flickr30k,3.38,-25.29,image,swing
FLAVA,flickr30k,1.80,-25.22,image,swing
FLAVA,flickr30k,4.76,-20.99,image,swing
FLAVA,flickr30k,2.56,-22.42,image,swing
FLAVA,flickr30k,6.47,-23.15,image,swing
FLAVA,flickr30k,1.94,-21.24,image,swing
FLAVA,flickr30k,4.66,-23.89,image,swing
FLAVA,flickr30k,4.65,-22.15,image,swing
FLAVA,flickr30k,5.01,-21.99,image,swing
FLAVA,flickr30k,0.77,-23.58,image,swing
FLAVA,flickr30k,4.48,-25.53,image,swing
FLAVA,flickr30k,3.36,-22.64,image,swing
FLAVA,flickr30k,4.52,-25.12,image,swing
FLAVA,flickr30k,2.07,-18.73,image,swing
FLAVA,flickr30k,5.24,-19.94,image,swing
FLAVA,flickr30k,4.43,-23.68,image,swing
FLAVA,flickr30k,0.78,-19.29,image,swing
FLAVA,flickr30k,-22.35,5.12,image,off-roader
FLAVA,flickr30k,-26.09,6.99,image,off-roader
FLAVA,flickr30k,-27.35,7.17,image,off-roader
FLAVA,flickr30k,-29.24,3.99,image,off-roader
FLAVA,flickr30k,-23.37,4.23,image,off-roader
FLAVA,flickr30k,-26.95,4.12,image,off-roader
FLAVA,flickr30k,-27.20,5.38,image,off-roader
FLAVA,flickr30k,-28.30,5.59,image,off-roader
FLAVA,flickr30k,-23.18,3.78,image,off-roader
FLAVA,flickr30k,-19.64,1.37,image,off-roader
FLAVA,flickr30k,-26.49,4.68,image,off-roader
FLAVA,flickr30k,-25.11,5.78,image,off-roader
FLAVA,flickr30k,-27.24,4.99,image,off-roader
FLAVA,flickr30k,-24.78,4.77,image,off-roader
FLAVA,flickr30k,-29.94,6.03,image,off-roader
FLAVA,flickr30k,-23.88,3.92,image,off-roader
FLAVA,flickr30k,-25.10,2.34,image,off-roader
FLAVA,flickr30k,-29.64,4.30,image,off-roader
FLAVA,flickr30k,-23.20,5.20,image,off-roader
FLAVA,flickr30k,-22.73,5.40,image,off-roader
FLAVA,flickr30k,-26.54,6.10,image,off-roader
FLAVA,flickr30k,-26.54,6.02,image,off-roader
FLAVA,flickr30k,-27.16,3.14,image,off-roader
FLAVA,flickr30k,-28.98,5.46,image,off-roader
FLAVA,flickr30k,-23.52,8.15,image,off-roader
FLAVA,flickr30k,-18.54,6.70,image,off-roader
FLAVA,flickr30k,-27.71,4.08,image,off-roader
FLAVA,flickr30k,-25.28,3.77,image,off-roader
FLAVA,flickr30k,-25.92,6.82,image,off-roader
FLAVA,flickr30k,-23.17,7.26,image,off-roader
FLAVA,flickr30k,-22.40,1.60,image,off-roader
FLAVA,flickr30k,-22.08,7.03,image,off-roader
FLAVA,flickr30k,-25.24,3.55,image,off-roader
FLAVA,flickr30k,-22.52,2.49,image,off-roader
FLAVA,flickr30k,-27.53,6.50,image,off-roader
FLAVA,flickr30k,-28.99,4.86,image,off-roader
FLAVA,flickr30k,-28.59,7.25,image,off-roader
FLAVA,flickr30k,-23.82,6.15,image,off-roader
FLAVA,flickr30k,-21.28,4.60,image,off-roader
FLAVA,flickr30k,-29.84,4.36,image,off-roader
FLAVA,flickr30k,-26.47,3.76,image,off-roader
FLAVA,flickr30k,-24.29,7.25,image,off-roader
FLAVA,flickr30k,-28.17,6.17,image,off-roader
FLAVA,flickr30k,-25.98,5.49,image,off-roader
FLAVA,flickr30k,-25.09,1.67,image,off-roader
FLAVA,flickr30k,-20.32,6.25,image,off-roader
FLAVA,flickr30k,-26.32,8.20,image,off-roader
FLAVA,flickr30k,-29.34,6.33,image,off-roader
FLAVA,flickr30k,-19.59,1.36,image,off-roader
FLAVA,flickr30k,-25.93,4.97,image,off-roader
FLAVA,flickr30k,5.08,24.79,image,football helmet
FLAVA,flickr30k,5.36,26.54,image,football helmet
FLAVA,flickr30k,7.81,28.00,image,football helmet
FLAVA,flickr30k,8.45,28.50,image,football helmet
FLAVA,flickr30k,10.83,25.12,image,football helmet
FLAVA,flickr30k,8.08,27.37,image,football helmet
FLAVA,flickr30k,8.58,22.66,image,football helmet
FLAVA,flickr30k,11.40,26.43,image,football helmet
FLAVA,flickr30k,7.49,29.95,image,football helmet
FLAVA,flickr30k,5.33,27.56,image,football helmet
FLAVA,flickr30k,8.26,27.25,image,football helmet
FLAVA,flickr30k,7.07,25.48,image,football helmet
FLAVA,flickr30k,6.61,26.60,image,football helmet
FLAVA,flickr30k,11.08,25.71,image,football helmet
FLAVA,flickr30k,7.83,24.81,image,football helmet
FLAVA,flickr30k,7.79,20.96,image,football helmet
FLAVA,flickr30k,5.53,27.26,image,football helmet
FLAVA,flickr30k,8.13,28.22,image,football helmet
FLAVA,flickr30k,8.81,27.39,image,football helmet
FLAVA,flickr30k,10.74,24.72,image,football helmet
FLAVA,flickr30k,11.96,24.76,image,football helmet
FLAVA,flickr30k,8.45,29.24,image,football helmet
FLAVA,flickr30k,9.06,29.05,image,football helmet
FLAVA,flickr30k,9.18,24.02,image,football helmet
FLAVA,flickr30k,6.69,24.65,image,football helmet
FLAVA,flickr30k,9.30,27.88,image,football helmet
FLAVA,flickr30k,9.47,23.41,image,football helmet
FLAVA,flickr30k,10.84,22.36,image,football helmet
FLAVA,flickr30k,6.32,29.32,image,football helmet
FLAVA,flickr30k,8.59,25.88,image,football helmet
FLAVA,flickr30k,7.22,28.25,image,football helmet
FLAVA,flickr30k,5.79,26.17,image,football helmet
FLAVA,flickr30k,9.40,23.47,image,football helmet
FLAVA,flickr30k,7.85,25.68,image,football helmet
FLAVA,flickr30k,6.23,24.02,image,football helmet
FLAVA,flickr30k,11.41,26.44,image,football helmet
FLAVA,flickr30k,10.70,22.54,image,football helmet
FLAVA,flickr30k,7.40,28.85,image,football helmet
