Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
FLAVA,mscoco,Txt-Txt,Pos,0.761433
FLAVA,mscoco,Txt-Txt,Pos,0.69737136
FLAVA,mscoco,Txt-Txt,Pos,0.8339062
FLAVA,mscoco,Txt-Txt,Pos,0.84105873
FLAVA,mscoco,Txt-Txt,Pos,0.8528205
FLAVA,mscoco,Txt-Txt,Pos,0.67478675
FLAVA,mscoco,Txt-Txt,Pos,0.7845926
FLAVA,mscoco,Txt-Txt,Pos,0.67819995
FLAVA,mscoco,Txt-Txt,Pos,0.6590307
FLAVA,mscoco,Txt-Txt,Pos,0.5605327
FLAVA,mscoco,Txt-Txt,Pos,0.93641984
FLAVA,mscoco,Txt-Txt,Pos,0.81951284
FLAVA,mscoco,Txt-Txt,Pos,0.8218347
FLAVA,mscoco,Txt-Txt,Pos,0.71494436
FLAVA,mscoco,Txt-Txt,Pos,0.7820416
FLAVA,mscoco,Txt-Txt,Pos,0.8202294
FLAVA,mscoco,Txt-Txt,Pos,0.7488044
FLAVA,mscoco,Txt-Txt,Pos,0.8528723
FLAVA,mscoco,Txt-Txt,Pos,0.3595766
FLAVA,mscoco,Txt-Txt,Pos,0.6708201
FLAVA,mscoco,Txt-Txt,Pos,0.5684048
FLAVA,mscoco,Txt-Txt,Pos,0.70171875
FLAVA,mscoco,Txt-Txt,Pos,0.7801957
FLAVA,mscoco,Txt-Txt,Pos,0.72323185
FLAVA,mscoco,Txt-Txt,Pos,0.8832134
FLAVA,mscoco,Txt-Txt,Pos,0.71117306
FLAVA,mscoco,Txt-Txt,Pos,0.7279734
FLAVA,mscoco,Txt-Txt,Pos,0.6550948
FLAVA,mscoco,Txt-Txt,Pos,0.8998927
FLAVA,mscoco,Txt-Txt,Pos,0.6190964
FLAVA,mscoco,Txt-Txt,Pos,0.6531382
FLAVA,mscoco,Txt-Txt,Pos,0.82325494
FLAVA,mscoco,Txt-Txt,Pos,0.77424085
FLAVA,mscoco,Txt-Txt,Pos,0.6800523
FLAVA,mscoco,Txt-Txt,Pos,0.68391466
FLAVA,mscoco,Txt-Txt,Pos,0.67066896
FLAVA,mscoco,Txt-Txt,Pos,0.49802417
FLAVA,mscoco,Txt-Txt,Pos,0.5289532
FLAVA,mscoco,Txt-Txt,Pos,0.740281
FLAVA,mscoco,Txt-Txt,Pos,0.38488448
FLAVA,mscoco,Txt-Txt,Pos,0.57631564
FLAVA,mscoco,Txt-Txt,Pos,0.36357206
FLAVA,mscoco,Txt-Txt,Pos,0.7501648
FLAVA,mscoco,Txt-Txt,Pos,0.85876536
FLAVA,mscoco,Txt-Txt,Pos,0.75868785
FLAVA,mscoco,Txt-Txt,Pos,0.7417489
FLAVA,mscoco,Txt-Txt,Pos,0.8303766
FLAVA,mscoco,Txt-Txt,Pos,0.79918677
FLAVA,mscoco,Txt-Txt,Pos,0.93269694
FLAVA,mscoco,Txt-Txt,Pos,0.8717154
FLAVA,mscoco,Txt-Txt,Pos,0.7239709
FLAVA,mscoco,Txt-Txt,Pos,0.64850897
FLAVA,mscoco,Txt-Txt,Pos,0.85939085
FLAVA,mscoco,Txt-Txt,Pos,0.72594535
FLAVA,mscoco,Txt-Txt,Pos,0.8707882
FLAVA,mscoco,Txt-Txt,Pos,0.8033019
FLAVA,mscoco,Txt-Txt,Pos,0.734617
FLAVA,mscoco,Txt-Txt,Pos,0.7072095
FLAVA,mscoco,Txt-Txt,Pos,0.86505485
FLAVA,mscoco,Txt-Txt,Pos,0.8094636
FLAVA,mscoco,Txt-Txt,Pos,0.5849863
FLAVA,mscoco,Txt-Txt,Pos,0.77823323
FLAVA,mscoco,Txt-Txt,Pos,0.610466
FLAVA,mscoco,Txt-Txt,Pos,0.888616
FLAVA,mscoco,Txt-Txt,Pos,0.9015031
FLAVA,mscoco,Txt-Txt,Pos,0.70715165
FLAVA,mscoco,Txt-Txt,Pos,0.6532855
FLAVA,mscoco,Txt-Txt,Pos,0.6658588
FLAVA,mscoco,Txt-Txt,Pos,0.6481344
FLAVA,mscoco,Txt-Txt,Pos,0.80373263
FLAVA,mscoco,Txt-Txt,Pos,0.7619683
FLAVA,mscoco,Txt-Txt,Pos,0.55518866
FLAVA,mscoco,Txt-Txt,Pos,0.5030294
FLAVA,mscoco,Txt-Txt,Pos,0.9117985
FLAVA,mscoco,Txt-Txt,Pos,0.6846944
FLAVA,mscoco,Txt-Txt,Pos,0.9489634
FLAVA,mscoco,Txt-Txt,Pos,0.6570083
FLAVA,mscoco,Txt-Txt,Pos,0.6607654
FLAVA,mscoco,Txt-Txt,Pos,0.7367586
FLAVA,mscoco,Txt-Txt,Pos,0.46667337
FLAVA,mscoco,Txt-Txt,Pos,0.673861
FLAVA,mscoco,Txt-Txt,Pos,0.81045556
FLAVA,mscoco,Txt-Txt,Pos,0.89554566
FLAVA,mscoco,Txt-Txt,Pos,0.8760303
FLAVA,mscoco,Txt-Txt,Pos,0.78714645
FLAVA,mscoco,Txt-Txt,Pos,0.7320028
FLAVA,mscoco,Txt-Txt,Pos,0.6077839
FLAVA,mscoco,Txt-Txt,Pos,0.4894572
FLAVA,mscoco,Txt-Txt,Pos,0.6307181
FLAVA,mscoco,Txt-Txt,Pos,0.74049616
FLAVA,mscoco,Txt-Txt,Pos,0.85281825
FLAVA,mscoco,Txt-Txt,Pos,0.55705094
FLAVA,mscoco,Txt-Txt,Pos,0.78907347
FLAVA,mscoco,Txt-Txt,Pos,0.73289835
FLAVA,mscoco,Txt-Txt,Pos,0.7977923
FLAVA,mscoco,Txt-Txt,Pos,0.9466449
FLAVA,mscoco,Txt-Txt,Pos,0.46785015
FLAVA,mscoco,Txt-Txt,Pos,0.74396044
FLAVA,mscoco,Txt-Txt,Pos,0.6061473
FLAVA,mscoco,Txt-Txt,Pos,0.7487742
FLAVA,mscoco,Txt-Txt,Pos,0.80247426
FLAVA,mscoco,Txt-Txt,Pos,0.8394606
FLAVA,mscoco,Txt-Txt,Pos,0.88138163
FLAVA,mscoco,Txt-Txt,Pos,0.88548315
FLAVA,mscoco,Txt-Txt,Pos,0.8404254
FLAVA,mscoco,Txt-Txt,Pos,0.7994952
FLAVA,mscoco,Txt-Txt,Pos,0.715461
FLAVA,mscoco,Txt-Txt,Pos,0.7671502
FLAVA,mscoco,Txt-Txt,Pos,0.72304213
FLAVA,mscoco,Txt-Txt,Pos,0.53037477
FLAVA,mscoco,Txt-Txt,Pos,0.67251146
FLAVA,mscoco,Txt-Txt,Pos,0.96172917
