Model,Dataset,x,y,modality,category
FLAVA,mscoco,-1.94,26.49,image,broccoli
FLAVA,mscoco,-4.58,26.60,image,broccoli
FLAVA,mscoco,-5.21,25.48,image,broccoli
FLAVA,mscoco,-5.28,25.27,image,broccoli
FLAVA,mscoco,-4.71,29.94,image,broccoli
FLAVA,mscoco,-6.21,26.96,image,broccoli
FLAVA,mscoco,-15.45,24.82,image,broccoli
FLAVA,mscoco,-4.18,29.67,image,broccoli
FLAVA,mscoco,-1.31,25.45,image,broccoli
FLAVA,mscoco,-9.10,27.91,image,broccoli
FLAVA,mscoco,-7.51,28.13,image,broccoli
FLAVA,mscoco,-4.60,28.86,image,broccoli
FLAVA,mscoco,-15.58,24.46,image,broccoli
FLAVA,mscoco,-5.89,30.15,image,broccoli
FLAVA,mscoco,-4.37,31.67,image,broccoli
FLAVA,mscoco,-2.62,29.53,image,broccoli
FLAVA,mscoco,-15.88,24.25,image,broccoli
FLAVA,mscoco,-2.53,27.62,image,broccoli
FLAVA,mscoco,-2.90,21.13,image,broccoli
FLAVA,mscoco,-9.83,28.47,image,broccoli
FLAVA,mscoco,-8.13,29.79,image,broccoli
FLAVA,mscoco,-5.54,31.58,image,broccoli
FLAVA,mscoco,-10.23,25.99,image,broccoli
FLAVA,mscoco,-3.50,25.10,image,broccoli
FLAVA,mscoco,-6.22,30.26,image,broccoli
FLAVA,mscoco,-6.42,29.39,image,broccoli
FLAVA,mscoco,-15.16,23.31,image,broccoli
FLAVA,mscoco,-5.47,27.50,image,broccoli
FLAVA,mscoco,-3.17,27.66,image,broccoli
FLAVA,mscoco,-1.42,25.70,image,broccoli
FLAVA,mscoco,-6.11,28.19,image,broccoli
FLAVA,mscoco,-7.06,26.97,image,broccoli
FLAVA,mscoco,-5.35,27.39,image,broccoli
FLAVA,mscoco,-6.08,29.98,image,broccoli
FLAVA,mscoco,-2.26,26.70,image,broccoli
FLAVA,mscoco,-8.41,29.10,image,broccoli
FLAVA,mscoco,-3.48,29.58,image,broccoli
FLAVA,mscoco,-2.07,28.02,image,broccoli
FLAVA,mscoco,-12.58,24.35,image,broccoli
FLAVA,mscoco,-9.26,29.31,image,broccoli
FLAVA,mscoco,-3.09,30.25,image,broccoli
FLAVA,mscoco,-8.79,27.91,image,broccoli
FLAVA,mscoco,-3.23,30.83,image,broccoli
FLAVA,mscoco,-3.59,28.20,image,broccoli
FLAVA,mscoco,-9.54,29.36,image,broccoli
FLAVA,mscoco,-3.42,27.27,image,broccoli
FLAVA,mscoco,-6.35,28.60,image,broccoli
FLAVA,mscoco,-15.32,25.22,image,broccoli
FLAVA,mscoco,-8.48,25.92,image,broccoli
FLAVA,mscoco,-15.61,24.38,image,broccoli
FLAVA,mscoco,-12.46,3.89,image,beigel
FLAVA,mscoco,-14.69,4.38,image,beigel
FLAVA,mscoco,-14.68,9.01,image,beigel
FLAVA,mscoco,-14.89,7.99,image,beigel
FLAVA,mscoco,-16.35,-0.46,image,beigel
FLAVA,mscoco,-15.47,2.96,image,beigel
FLAVA,mscoco,-16.79,2.19,image,beigel
FLAVA,mscoco,-14.59,9.28,image,beigel
FLAVA,mscoco,-14.44,3.81,image,beigel
FLAVA,mscoco,-13.15,0.49,image,beigel
FLAVA,mscoco,-17.61,0.84,image,beigel
FLAVA,mscoco,-15.30,1.08,image,beigel
FLAVA,mscoco,-17.45,0.31,image,beigel
FLAVA,mscoco,-14.60,3.51,image,beigel
FLAVA,mscoco,-17.47,6.16,image,beigel
FLAVA,mscoco,-16.45,5.08,image,beigel
FLAVA,mscoco,-11.77,-0.79,image,beigel
FLAVA,mscoco,-14.73,7.13,image,beigel
