Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
ImageBind,flickr30k,Txt-Txt,Pos,0.4969753
ImageBind,flickr30k,Txt-Txt,Pos,0.39890382
ImageBind,flickr30k,Txt-Txt,Pos,0.30195743
ImageBind,flickr30k,Txt-Txt,Pos,0.48164365
ImageBind,flickr30k,Txt-Txt,Pos,0.60687566
ImageBind,flickr30k,Txt-Txt,Pos,0.43025973
ImageBind,flickr30k,Txt-Txt,Pos,0.42805633
ImageBind,flickr30k,Txt-Txt,Pos,0.67727476
ImageBind,flickr30k,Txt-Txt,Pos,0.4633337
ImageBind,flickr30k,Txt-Txt,Pos,0.675902
ImageBind,flickr30k,Txt-Txt,Pos,0.32687336
ImageBind,flickr30k,Txt-Txt,Pos,0.4658268
ImageBind,flickr30k,Txt-Txt,Pos,0.40083095
ImageBind,flickr30k,Txt-Txt,Pos,0.29239765
ImageBind,flickr30k,Txt-Txt,Pos,0.4746227
ImageBind,flickr30k,Txt-Txt,Pos,0.47567022
ImageBind,flickr30k,Txt-Txt,Pos,0.5502014
ImageBind,flickr30k,Txt-Txt,Pos,0.43444103
ImageBind,flickr30k,Txt-Txt,Pos,0.7127298
ImageBind,flickr30k,Txt-Txt,Pos,0.6046628
ImageBind,flickr30k,Txt-Txt,Pos,0.4127865
ImageBind,flickr30k,Txt-Txt,Pos,0.48126596
ImageBind,flickr30k,Txt-Txt,Pos,0.7081258
ImageBind,flickr30k,Txt-Txt,Pos,0.72241956
ImageBind,flickr30k,Txt-Txt,Pos,0.3515509
ImageBind,flickr30k,Txt-Txt,Pos,0.6224125
ImageBind,flickr30k,Txt-Txt,Pos,0.3296966
ImageBind,flickr30k,Txt-Txt,Pos,0.5392949
ImageBind,flickr30k,Txt-Txt,Pos,0.64592403
ImageBind,flickr30k,Txt-Txt,Pos,0.56883764
ImageBind,flickr30k,Txt-Txt,Pos,0.22393219
ImageBind,flickr30k,Txt-Txt,Pos,0.39282045
ImageBind,flickr30k,Txt-Txt,Pos,0.36050695
ImageBind,flickr30k,Txt-Txt,Pos,0.4265583
ImageBind,flickr30k,Txt-Txt,Pos,0.71999085
ImageBind,flickr30k,Txt-Txt,Pos,0.2568012
ImageBind,flickr30k,Txt-Txt,Pos,0.5005832
ImageBind,flickr30k,Txt-Txt,Pos,0.38863724
ImageBind,flickr30k,Txt-Txt,Pos,0.3257412
ImageBind,flickr30k,Txt-Txt,Pos,0.46509385
ImageBind,flickr30k,Txt-Txt,Pos,0.42040265
ImageBind,flickr30k,Txt-Txt,Pos,0.46033838
ImageBind,flickr30k,Txt-Txt,Pos,0.52816933
ImageBind,flickr30k,Txt-Txt,Pos,0.6742433
ImageBind,flickr30k,Txt-Txt,Pos,0.21390899
ImageBind,flickr30k,Txt-Txt,Pos,0.44391465
ImageBind,flickr30k,Txt-Txt,Pos,0.42005205
ImageBind,flickr30k,Txt-Txt,Pos,0.44533506
ImageBind,flickr30k,Txt-Txt,Pos,0.19751504
ImageBind,flickr30k,Txt-Txt,Pos,0.41505343
ImageBind,flickr30k,Txt-Txt,Pos,0.38252783
ImageBind,flickr30k,Txt-Txt,Pos,0.4942816
ImageBind,flickr30k,Txt-Txt,Pos,0.35686785
ImageBind,flickr30k,Txt-Txt,Pos,0.7419982
ImageBind,flickr30k,Txt-Txt,Pos,0.6761945
ImageBind,flickr30k,Txt-Txt,Pos,0.37609783
ImageBind,flickr30k,Txt-Txt,Pos,0.25692025
ImageBind,flickr30k,Txt-Txt,Pos,0.48156273
ImageBind,flickr30k,Txt-Txt,Pos,0.6086448
ImageBind,flickr30k,Txt-Txt,Pos,0.5117634
ImageBind,flickr30k,Txt-Txt,Pos,0.3268725
ImageBind,flickr30k,Txt-Txt,Pos,0.24709785
ImageBind,flickr30k,Txt-Txt,Pos,0.15362847
ImageBind,flickr30k,Txt-Txt,Pos,0.32485008
ImageBind,flickr30k,Txt-Txt,Pos,0.4157493
ImageBind,flickr30k,Txt-Txt,Pos,0.6744425
ImageBind,flickr30k,Txt-Txt,Pos,0.37610406
ImageBind,flickr30k,Txt-Txt,Pos,0.21968924
ImageBind,flickr30k,Txt-Txt,Pos,0.20690337
ImageBind,flickr30k,Txt-Txt,Pos,0.42702872
ImageBind,flickr30k,Txt-Txt,Pos,0.26572382
ImageBind,flickr30k,Txt-Txt,Pos,0.6196456
ImageBind,flickr30k,Txt-Txt,Pos,0.08224805
ImageBind,flickr30k,Txt-Txt,Pos,0.40207046
ImageBind,flickr30k,Txt-Txt,Pos,0.40153745
ImageBind,flickr30k,Txt-Txt,Pos,0.6873909
ImageBind,flickr30k,Txt-Txt,Pos,0.1667784
ImageBind,flickr30k,Txt-Txt,Pos,0.37198722
ImageBind,flickr30k,Txt-Txt,Pos,0.47365522
ImageBind,flickr30k,Txt-Txt,Pos,0.42367607
ImageBind,flickr30k,Txt-Txt,Pos,0.36480075
ImageBind,flickr30k,Txt-Txt,Pos,0.33802062
ImageBind,flickr30k,Txt-Txt,Pos,0.34512258
ImageBind,flickr30k,Txt-Txt,Pos,0.40871143
ImageBind,flickr30k,Txt-Txt,Pos,0.34457928
ImageBind,flickr30k,Txt-Txt,Pos,0.74628115
ImageBind,flickr30k,Txt-Txt,Pos,0.6462235
ImageBind,flickr30k,Txt-Txt,Pos,0.20821662
ImageBind,flickr30k,Txt-Txt,Pos,0.20628886
ImageBind,flickr30k,Txt-Txt,Pos,0.1974026
ImageBind,flickr30k,Txt-Txt,Pos,0.7336916
ImageBind,flickr30k,Txt-Txt,Pos,0.32662025
ImageBind,flickr30k,Txt-Txt,Pos,0.3800706
ImageBind,flickr30k,Txt-Txt,Pos,0.36421242
ImageBind,flickr30k,Txt-Txt,Pos,0.4204604
ImageBind,flickr30k,Txt-Txt,Pos,0.40045914
ImageBind,flickr30k,Txt-Txt,Pos,0.46412557
ImageBind,flickr30k,Txt-Txt,Pos,0.47697702
ImageBind,flickr30k,Txt-Txt,Pos,0.5065581
ImageBind,flickr30k,Txt-Txt,Pos,0.54102606
ImageBind,flickr30k,Txt-Txt,Pos,0.55132294
ImageBind,flickr30k,Txt-Txt,Pos,0.5965242
ImageBind,flickr30k,Txt-Txt,Pos,0.50985813
ImageBind,flickr30k,Txt-Txt,Pos,0.73400116
ImageBind,flickr30k,Txt-Txt,Pos,0.36498603
ImageBind,flickr30k,Txt-Txt,Pos,0.33273962
ImageBind,flickr30k,Txt-Txt,Pos,0.40458477
ImageBind,flickr30k,Txt-Txt,Pos,0.6640543
ImageBind,flickr30k,Txt-Txt,Pos,0.56652224
ImageBind,flickr30k,Txt-Txt,Pos,0.29198155
ImageBind,flickr30k,Txt-Txt,Pos,0.3504747
ImageBind,flickr30k,Txt-Txt,Pos,0.64241844
ImageBind,flickr30k,Txt-Txt,Pos,0.28242785
ImageBind,flickr30k,Txt-Txt,Pos,0.1732023
ImageBind,flickr30k,Txt-Txt,Pos,0.2586434
ImageBind,flickr30k,Txt-Txt,Pos,0.4760366
ImageBind,flickr30k,Txt-Txt,Pos,0.2918189
ImageBind,flickr30k,Txt-Txt,Pos,0.36902708
ImageBind,flickr30k,Txt-Txt,Pos,0.39565587
ImageBind,flickr30k,Txt-Txt,Pos,0.49403572
ImageBind,flickr30k,Txt-Txt,Pos,0.16342336
ImageBind,flickr30k,Txt-Txt,Pos,0.19883303
ImageBind,flickr30k,Txt-Txt,Pos,0.24310838
ImageBind,flickr30k,Txt-Txt,Pos,0.41971126
ImageBind,flickr30k,Txt-Txt,Pos,0.23939985
ImageBind,flickr30k,Txt-Txt,Pos,0.37612742
ImageBind,flickr30k,Txt-Txt,Pos,0.32962823
ImageBind,flickr30k,Txt-Txt,Pos,0.4498649
ImageBind,flickr30k,Txt-Txt,Pos,0.5230839
ImageBind,flickr30k,Txt-Txt,Pos,0.7856934
ImageBind,flickr30k,Txt-Txt,Pos,0.3670749
