Model,Dataset,x,y,modality,category
ImageBind,flickr30k,2.46,-9.00,image,volleyball
ImageBind,flickr30k,1.56,-2.58,image,volleyball
ImageBind,flickr30k,2.86,-8.16,image,volleyball
ImageBind,flickr30k,1.59,0.37,image,volleyball
ImageBind,flickr30k,0.60,0.19,image,volleyball
ImageBind,flickr30k,0.31,-1.96,image,volleyball
ImageBind,flickr30k,0.73,-3.06,image,volleyball
ImageBind,flickr30k,0.39,-2.00,image,volleyball
ImageBind,flickr30k,3.40,-2.21,image,volleyball
ImageBind,flickr30k,-0.08,0.80,image,volleyball
ImageBind,flickr30k,1.18,-4.00,image,volleyball
ImageBind,flickr30k,0.07,-4.16,image,volleyball
ImageBind,flickr30k,2.04,-1.75,image,volleyball
ImageBind,flickr30k,1.47,-1.58,image,volleyball
ImageBind,flickr30k,1.69,0.97,image,volleyball
ImageBind,flickr30k,2.69,2.75,image,volleyball
ImageBind,flickr30k,-0.86,-3.08,image,volleyball
ImageBind,flickr30k,2.19,-3.42,image,volleyball
ImageBind,flickr30k,-0.26,-1.80,image,volleyball
ImageBind,flickr30k,3.71,-2.90,image,volleyball
ImageBind,flickr30k,3.05,0.72,image,volleyball
ImageBind,flickr30k,2.46,0.05,image,volleyball
ImageBind,flickr30k,0.17,-2.39,image,volleyball
ImageBind,flickr30k,-0.57,-2.02,image,volleyball
ImageBind,flickr30k,0.15,0.76,image,volleyball
ImageBind,flickr30k,3.68,0.74,image,volleyball
ImageBind,flickr30k,0.18,-1.41,image,volleyball
ImageBind,flickr30k,1.87,-2.40,image,volleyball
ImageBind,flickr30k,0.82,1.87,image,volleyball
ImageBind,flickr30k,1.82,-3.20,image,volleyball
ImageBind,flickr30k,2.41,-2.82,image,volleyball
ImageBind,flickr30k,1.94,-3.90,image,volleyball
ImageBind,flickr30k,2.68,2.73,image,volleyball
ImageBind,flickr30k,2.03,-4.41,image,volleyball
ImageBind,flickr30k,0.73,1.65,image,volleyball
ImageBind,flickr30k,3.05,-4.21,image,volleyball
ImageBind,flickr30k,-1.89,-0.01,image,volleyball
ImageBind,flickr30k,3.76,-2.96,image,volleyball
ImageBind,flickr30k,1.26,-1.88,image,volleyball
ImageBind,flickr30k,3.14,0.78,image,volleyball
ImageBind,flickr30k,-7.50,-11.10,image,volleyball
ImageBind,flickr30k,2.77,1.52,image,volleyball
ImageBind,flickr30k,1.00,-2.44,image,volleyball
ImageBind,flickr30k,3.30,-4.04,image,volleyball
