Model,Dataset,Pair Modality,Pair Type,Cosine Similarity
ImageBind,mscoco,Txt-Txt,Pos,0.48608845
ImageBind,mscoco,Txt-Txt,Pos,0.56629825
ImageBind,mscoco,Txt-Txt,Pos,0.38081062
ImageBind,mscoco,Txt-Txt,Pos,0.521842
ImageBind,mscoco,Txt-Txt,Pos,0.69555146
ImageBind,mscoco,Txt-Txt,Pos,0.50657403
ImageBind,mscoco,Txt-Txt,Pos,0.5651719
ImageBind,mscoco,Txt-Txt,Pos,0.5534712
ImageBind,mscoco,Txt-Txt,Pos,0.5065962
ImageBind,mscoco,Txt-Txt,Pos,0.33986858
ImageBind,mscoco,Txt-Txt,Pos,0.73231626
ImageBind,mscoco,Txt-Txt,Pos,0.5476267
ImageBind,mscoco,Txt-Txt,Pos,0.7338159
ImageBind,mscoco,Txt-Txt,Pos,0.3580228
ImageBind,mscoco,Txt-Txt,Pos,0.45305607
ImageBind,mscoco,Txt-Txt,Pos,0.51703215
ImageBind,mscoco,Txt-Txt,Pos,0.53475755
ImageBind,mscoco,Txt-Txt,Pos,0.5451828
ImageBind,mscoco,Txt-Txt,Pos,0.25908872
ImageBind,mscoco,Txt-Txt,Pos,0.43599465
ImageBind,mscoco,Txt-Txt,Pos,0.500105
ImageBind,mscoco,Txt-Txt,Pos,0.37959495
ImageBind,mscoco,Txt-Txt,Pos,0.33793244
ImageBind,mscoco,Txt-Txt,Pos,0.6016472
ImageBind,mscoco,Txt-Txt,Pos,0.5902253
ImageBind,mscoco,Txt-Txt,Pos,0.27344522
ImageBind,mscoco,Txt-Txt,Pos,0.60256135
ImageBind,mscoco,Txt-Txt,Pos,0.3493015
ImageBind,mscoco,Txt-Txt,Pos,0.68970174
ImageBind,mscoco,Txt-Txt,Pos,0.4856037
ImageBind,mscoco,Txt-Txt,Pos,0.2192301
ImageBind,mscoco,Txt-Txt,Pos,0.60333216
ImageBind,mscoco,Txt-Txt,Pos,0.5838112
ImageBind,mscoco,Txt-Txt,Pos,0.44351435
ImageBind,mscoco,Txt-Txt,Pos,0.44367722
ImageBind,mscoco,Txt-Txt,Pos,0.38129997
ImageBind,mscoco,Txt-Txt,Pos,0.23354726
ImageBind,mscoco,Txt-Txt,Pos,0.275841
ImageBind,mscoco,Txt-Txt,Pos,0.21285549
ImageBind,mscoco,Txt-Txt,Pos,0.121401675
ImageBind,mscoco,Txt-Txt,Pos,0.39494443
ImageBind,mscoco,Txt-Txt,Pos,0.4147821
ImageBind,mscoco,Txt-Txt,Pos,0.30214682
ImageBind,mscoco,Txt-Txt,Pos,0.5346578
ImageBind,mscoco,Txt-Txt,Pos,0.4103589
ImageBind,mscoco,Txt-Txt,Pos,0.49471223
ImageBind,mscoco,Txt-Txt,Pos,0.5174991
ImageBind,mscoco,Txt-Txt,Pos,0.51782656
ImageBind,mscoco,Txt-Txt,Pos,0.72940636
ImageBind,mscoco,Txt-Txt,Pos,0.69733113
ImageBind,mscoco,Txt-Txt,Pos,0.5122822
ImageBind,mscoco,Txt-Txt,Pos,0.15665637
ImageBind,mscoco,Txt-Txt,Pos,0.6763995
ImageBind,mscoco,Txt-Txt,Pos,0.37974644
ImageBind,mscoco,Txt-Txt,Pos,0.5516128
ImageBind,mscoco,Txt-Txt,Pos,0.49753803
ImageBind,mscoco,Txt-Txt,Pos,0.5586107
ImageBind,mscoco,Txt-Txt,Pos,0.46040875
ImageBind,mscoco,Txt-Txt,Pos,0.6949501
ImageBind,mscoco,Txt-Txt,Pos,0.560099
ImageBind,mscoco,Txt-Txt,Pos,0.2323597
ImageBind,mscoco,Txt-Txt,Pos,0.53898776
ImageBind,mscoco,Txt-Txt,Pos,0.35389203
ImageBind,mscoco,Txt-Txt,Pos,0.77939737
ImageBind,mscoco,Txt-Txt,Pos,0.7193399
ImageBind,mscoco,Txt-Txt,Pos,0.50284183
ImageBind,mscoco,Txt-Txt,Pos,0.34658825
ImageBind,mscoco,Txt-Txt,Pos,0.27810553
ImageBind,mscoco,Txt-Txt,Pos,0.38029763
ImageBind,mscoco,Txt-Txt,Pos,0.6100986
ImageBind,mscoco,Txt-Txt,Pos,0.4378633
ImageBind,mscoco,Txt-Txt,Pos,0.37600914
ImageBind,mscoco,Txt-Txt,Pos,0.17587225
ImageBind,mscoco,Txt-Txt,Pos,0.5532791
ImageBind,mscoco,Txt-Txt,Pos,0.48267016
ImageBind,mscoco,Txt-Txt,Pos,0.84411544
ImageBind,mscoco,Txt-Txt,Pos,0.2344801
ImageBind,mscoco,Txt-Txt,Pos,0.39973208
ImageBind,mscoco,Txt-Txt,Pos,0.39187753
ImageBind,mscoco,Txt-Txt,Pos,0.14034581
ImageBind,mscoco,Txt-Txt,Pos,0.28617653
ImageBind,mscoco,Txt-Txt,Pos,0.5240968
ImageBind,mscoco,Txt-Txt,Pos,0.60283786
ImageBind,mscoco,Txt-Txt,Pos,0.72148216
ImageBind,mscoco,Txt-Txt,Pos,0.61009514
ImageBind,mscoco,Txt-Txt,Pos,0.46947718
ImageBind,mscoco,Txt-Txt,Pos,0.18716624
ImageBind,mscoco,Txt-Txt,Pos,0.318573
ImageBind,mscoco,Txt-Txt,Pos,0.25859433
ImageBind,mscoco,Txt-Txt,Pos,0.53404725
ImageBind,mscoco,Txt-Txt,Pos,0.55663663
ImageBind,mscoco,Txt-Txt,Pos,0.47902808
ImageBind,mscoco,Txt-Txt,Pos,0.4997819
ImageBind,mscoco,Txt-Txt,Pos,0.46090776
ImageBind,mscoco,Txt-Txt,Pos,0.7333674
ImageBind,mscoco,Txt-Txt,Pos,0.76370883
ImageBind,mscoco,Txt-Txt,Pos,0.30557582
ImageBind,mscoco,Txt-Txt,Pos,0.37903634
ImageBind,mscoco,Txt-Txt,Pos,0.53505504
ImageBind,mscoco,Txt-Txt,Pos,0.6012659
ImageBind,mscoco,Txt-Txt,Pos,0.6223268
ImageBind,mscoco,Txt-Txt,Pos,0.5092402
ImageBind,mscoco,Txt-Txt,Pos,0.67605275
ImageBind,mscoco,Txt-Txt,Pos,0.7293058
ImageBind,mscoco,Txt-Txt,Pos,0.6148917
ImageBind,mscoco,Txt-Txt,Pos,0.5160278
ImageBind,mscoco,Txt-Txt,Pos,0.37911972
ImageBind,mscoco,Txt-Txt,Pos,0.49614948
ImageBind,mscoco,Txt-Txt,Pos,0.6465057
ImageBind,mscoco,Txt-Txt,Pos,0.21522978
ImageBind,mscoco,Txt-Txt,Pos,0.2907304
ImageBind,mscoco,Txt-Txt,Pos,0.6421526
ImageBind,mscoco,Txt-Txt,Pos,0.5207686
ImageBind,mscoco,Txt-Txt,Pos,0.33848223
ImageBind,mscoco,Txt-Txt,Pos,0.37860516
ImageBind,mscoco,Txt-Txt,Pos,0.38822737
ImageBind,mscoco,Txt-Txt,Pos,0.57226217
ImageBind,mscoco,Txt-Txt,Pos,0.4330835
ImageBind,mscoco,Txt-Txt,Pos,0.5205251
ImageBind,mscoco,Txt-Txt,Pos,0.2932581
ImageBind,mscoco,Txt-Txt,Pos,0.30641454
ImageBind,mscoco,Txt-Txt,Pos,0.5468955
ImageBind,mscoco,Txt-Txt,Pos,0.5131128
ImageBind,mscoco,Txt-Txt,Pos,0.5693078
ImageBind,mscoco,Txt-Txt,Pos,0.39836583
ImageBind,mscoco,Txt-Txt,Pos,0.46993744
ImageBind,mscoco,Txt-Txt,Pos,0.17877805
ImageBind,mscoco,Txt-Txt,Pos,0.4238254
ImageBind,mscoco,Txt-Txt,Pos,0.75911486
ImageBind,mscoco,Txt-Txt,Pos,0.71968365
ImageBind,mscoco,Txt-Txt,Pos,0.29018533
ImageBind,mscoco,Txt-Txt,Pos,0.31778848
ImageBind,mscoco,Txt-Txt,Pos,0.85026884
ImageBind,mscoco,Txt-Txt,Pos,0.38781202
ImageBind,mscoco,Txt-Txt,Pos,0.29166338
ImageBind,mscoco,Txt-Txt,Pos,0.6403181
ImageBind,mscoco,Txt-Txt,Pos,0.24233702
ImageBind,mscoco,Txt-Txt,Pos,0.603876
ImageBind,mscoco,Txt-Txt,Pos,0.50439143
ImageBind,mscoco,Txt-Txt,Pos,0.38209534
ImageBind,mscoco,Txt-Txt,Pos,0.2066559
ImageBind,mscoco,Txt-Txt,Pos,0.63917106
ImageBind,mscoco,Txt-Txt,Pos,0.7100754
ImageBind,mscoco,Txt-Txt,Pos,0.3645263
ImageBind,mscoco,Txt-Txt,Pos,0.5975276
ImageBind,mscoco,Txt-Txt,Pos,0.3305693
ImageBind,mscoco,Txt-Txt,Pos,0.19778323
ImageBind,mscoco,Txt-Txt,Pos,0.5189318
ImageBind,mscoco,Txt-Txt,Pos,0.37279323
ImageBind,mscoco,Txt-Txt,Pos,0.16034308
ImageBind,mscoco,Txt-Txt,Pos,0.34536865
ImageBind,mscoco,Txt-Txt,Pos,0.4669352
ImageBind,mscoco,Txt-Txt,Pos,0.62813544
ImageBind,mscoco,Txt-Txt,Pos,0.7871931
ImageBind,mscoco,Txt-Txt,Pos,0.6101203
ImageBind,mscoco,Txt-Txt,Pos,0.22550854
ImageBind,mscoco,Txt-Txt,Pos,0.53944033
ImageBind,mscoco,Txt-Txt,Pos,0.19784483
ImageBind,mscoco,Txt-Txt,Pos,0.78913915
ImageBind,mscoco,Txt-Txt,Pos,0.45590284
ImageBind,mscoco,Txt-Txt,Pos,0.3315103
ImageBind,mscoco,Txt-Txt,Pos,0.4613713
ImageBind,mscoco,Txt-Txt,Pos,0.3916962
ImageBind,mscoco,Txt-Txt,Pos,0.31664166
ImageBind,mscoco,Txt-Txt,Pos,0.46599376
ImageBind,mscoco,Txt-Txt,Pos,0.36708787
ImageBind,mscoco,Txt-Txt,Pos,0.41704303
ImageBind,mscoco,Txt-Txt,Pos,0.23694076
ImageBind,mscoco,Txt-Txt,Pos,0.19770604
ImageBind,mscoco,Txt-Txt,Pos,0.18585008
ImageBind,mscoco,Txt-Txt,Pos,0.5506433
ImageBind,mscoco,Txt-Txt,Pos,0.42754573
ImageBind,mscoco,Txt-Txt,Pos,0.31340128
ImageBind,mscoco,Txt-Txt,Pos,0.470345
ImageBind,mscoco,Txt-Txt,Pos,0.45609927
ImageBind,mscoco,Txt-Txt,Pos,0.63266474
ImageBind,mscoco,Txt-Txt,Pos,0.5313551
ImageBind,mscoco,Txt-Txt,Pos,0.3461613
ImageBind,mscoco,Txt-Txt,Pos,0.26327074
ImageBind,mscoco,Txt-Txt,Pos,0.20629519
ImageBind,mscoco,Txt-Txt,Pos,0.4253232
ImageBind,mscoco,Txt-Txt,Pos,0.4402694
ImageBind,mscoco,Txt-Txt,Pos,0.5149054
ImageBind,mscoco,Txt-Txt,Pos,0.34441632
ImageBind,mscoco,Txt-Txt,Pos,0.23875356
ImageBind,mscoco,Txt-Txt,Pos,0.17368239
ImageBind,mscoco,Txt-Txt,Pos,0.4248352
ImageBind,mscoco,Txt-Txt,Pos,0.4345169
ImageBind,mscoco,Txt-Txt,Pos,0.7136383
ImageBind,mscoco,Txt-Txt,Pos,0.16281691
ImageBind,mscoco,Txt-Txt,Pos,0.2969026
ImageBind,mscoco,Txt-Txt,Pos,0.3246868
ImageBind,mscoco,Txt-Txt,Pos,0.20258065
ImageBind,mscoco,Txt-Txt,Pos,0.41397506
ImageBind,mscoco,Txt-Txt,Pos,0.32611167
ImageBind,mscoco,Txt-Txt,Pos,0.7164362
ImageBind,mscoco,Txt-Txt,Pos,0.39781564
ImageBind,mscoco,Txt-Txt,Pos,0.4251862
ImageBind,mscoco,Txt-Txt,Pos,0.14798832
ImageBind,mscoco,Txt-Txt,Pos,0.42277485
ImageBind,mscoco,Txt-Txt,Pos,0.45769313
ImageBind,mscoco,Txt-Txt,Pos,0.25834203
ImageBind,mscoco,Txt-Txt,Pos,0.33677262
ImageBind,mscoco,Txt-Txt,Pos,0.58407676
ImageBind,mscoco,Txt-Txt,Pos,0.41609544
ImageBind,mscoco,Txt-Txt,Pos,0.34300965
ImageBind,mscoco,Txt-Txt,Pos,0.46740735
ImageBind,mscoco,Txt-Txt,Pos,0.33260992
ImageBind,mscoco,Txt-Txt,Pos,0.47181964
ImageBind,mscoco,Txt-Txt,Pos,0.50934803
ImageBind,mscoco,Txt-Txt,Pos,0.18593626
ImageBind,mscoco,Txt-Txt,Pos,0.31556502
ImageBind,mscoco,Txt-Txt,Pos,0.20008744
ImageBind,mscoco,Txt-Txt,Pos,0.4129256
ImageBind,mscoco,Txt-Txt,Pos,0.52978855
ImageBind,mscoco,Txt-Txt,Pos,0.39807138
ImageBind,mscoco,Txt-Txt,Pos,0.13481374
ImageBind,mscoco,Txt-Txt,Pos,0.58982444
ImageBind,mscoco,Txt-Txt,Pos,0.42391217
ImageBind,mscoco,Txt-Txt,Pos,0.6755072
ImageBind,mscoco,Txt-Txt,Pos,0.29901823
ImageBind,mscoco,Txt-Txt,Pos,0.43537027
ImageBind,mscoco,Txt-Txt,Pos,0.715373
ImageBind,mscoco,Txt-Txt,Pos,0.38144735
ImageBind,mscoco,Txt-Txt,Pos,0.24902116
ImageBind,mscoco,Txt-Txt,Pos,0.34272078
ImageBind,mscoco,Txt-Txt,Pos,0.08837158
ImageBind,mscoco,Txt-Txt,Pos,0.3333229
ImageBind,mscoco,Txt-Txt,Pos,0.28519672
ImageBind,mscoco,Txt-Txt,Pos,0.34241614
ImageBind,mscoco,Txt-Txt,Pos,0.29165113
ImageBind,mscoco,Txt-Txt,Pos,0.42087784
ImageBind,mscoco,Txt-Txt,Pos,0.6774893
ImageBind,mscoco,Txt-Txt,Pos,0.18686783
ImageBind,mscoco,Txt-Txt,Pos,0.5144181
ImageBind,mscoco,Txt-Txt,Pos,0.21085896
ImageBind,mscoco,Txt-Txt,Pos,0.41714686
ImageBind,mscoco,Txt-Txt,Pos,0.47254726
ImageBind,mscoco,Txt-Txt,Pos,0.32750216
ImageBind,mscoco,Txt-Txt,Pos,0.47993523
ImageBind,mscoco,Txt-Txt,Pos,0.44278708
ImageBind,mscoco,Txt-Txt,Pos,0.1157069
ImageBind,mscoco,Txt-Txt,Pos,0.3031426
ImageBind,mscoco,Txt-Txt,Pos,0.62710464
ImageBind,mscoco,Txt-Txt,Pos,0.38161325
ImageBind,mscoco,Txt-Txt,Pos,0.5225338
ImageBind,mscoco,Txt-Txt,Pos,0.34724504
ImageBind,mscoco,Txt-Txt,Pos,0.6752391
ImageBind,mscoco,Txt-Txt,Pos,0.33655867
ImageBind,mscoco,Txt-Txt,Pos,0.6729605
ImageBind,mscoco,Txt-Txt,Pos,0.4819415
ImageBind,mscoco,Txt-Txt,Pos,0.55373716
