Model,Dataset,x,y,modality,category
ImageBind,mscoco,-26.63,-3.49,image,Acinonyx jubatus
ImageBind,mscoco,-26.89,2.48,image,Acinonyx jubatus
ImageBind,mscoco,-26.97,-0.76,image,Acinonyx jubatus
ImageBind,mscoco,-25.69,-3.53,image,Acinonyx jubatus
ImageBind,mscoco,-24.46,0.38,image,Acinonyx jubatus
ImageBind,mscoco,-25.17,-1.47,image,Acinonyx jubatus
ImageBind,mscoco,-25.44,-3.29,image,Acinonyx jubatus
ImageBind,mscoco,-26.06,-3.38,image,Acinonyx jubatus
ImageBind,mscoco,-25.68,0.05,image,Acinonyx jubatus
ImageBind,mscoco,-28.48,-0.41,image,Acinonyx jubatus
ImageBind,mscoco,-26.25,0.74,image,Acinonyx jubatus
ImageBind,mscoco,-27.82,-0.78,image,Acinonyx jubatus
ImageBind,mscoco,-26.41,2.54,image,Acinonyx jubatus
ImageBind,mscoco,-24.24,-1.15,image,Acinonyx jubatus
ImageBind,mscoco,-26.68,0.70,image,Acinonyx jubatus
ImageBind,mscoco,-25.58,0.94,image,Acinonyx jubatus
ImageBind,mscoco,-26.69,-3.03,image,Acinonyx jubatus
ImageBind,mscoco,-27.28,0.51,image,Acinonyx jubatus
ImageBind,mscoco,-25.30,-4.01,image,Acinonyx jubatus
ImageBind,mscoco,-26.97,-2.47,image,Acinonyx jubatus
ImageBind,mscoco,-27.75,-3.25,image,Acinonyx jubatus
ImageBind,mscoco,-25.49,-4.87,image,Acinonyx jubatus
ImageBind,mscoco,-27.35,-0.51,image,Acinonyx jubatus
ImageBind,mscoco,-26.14,-0.72,image,Acinonyx jubatus
ImageBind,mscoco,-26.64,1.27,image,Acinonyx jubatus
ImageBind,mscoco,-26.18,1.03,image,Acinonyx jubatus
ImageBind,mscoco,-26.68,-4.78,image,Acinonyx jubatus
ImageBind,mscoco,-25.86,-2.61,image,Acinonyx jubatus
ImageBind,mscoco,-26.92,-0.47,image,Acinonyx jubatus
ImageBind,mscoco,-26.91,-2.58,image,Acinonyx jubatus
ImageBind,mscoco,-26.39,-3.27,image,Acinonyx jubatus
ImageBind,mscoco,-26.20,-4.18,image,Acinonyx jubatus
ImageBind,mscoco,-25.81,-2.70,image,Acinonyx jubatus
ImageBind,mscoco,-24.91,-3.68,image,Acinonyx jubatus
ImageBind,mscoco,-27.57,1.21,image,Acinonyx jubatus
ImageBind,mscoco,-25.03,-0.39,image,Acinonyx jubatus
ImageBind,mscoco,-25.91,-0.24,image,Acinonyx jubatus
ImageBind,mscoco,-27.00,-3.11,image,Acinonyx jubatus
ImageBind,mscoco,-26.94,1.56,image,Acinonyx jubatus
ImageBind,mscoco,-24.86,-2.31,image,Acinonyx jubatus
ImageBind,mscoco,-25.95,0.69,image,Acinonyx jubatus
ImageBind,mscoco,-24.94,-3.22,image,Acinonyx jubatus
ImageBind,mscoco,-27.04,-0.03,image,Acinonyx jubatus
ImageBind,mscoco,-25.46,1.08,image,Acinonyx jubatus
ImageBind,mscoco,-26.24,-0.25,image,Acinonyx jubatus
ImageBind,mscoco,-25.57,1.42,image,Acinonyx jubatus
ImageBind,mscoco,-27.91,0.98,image,Acinonyx jubatus
ImageBind,mscoco,-25.48,1.90,image,Acinonyx jubatus
ImageBind,mscoco,-26.41,0.37,image,Acinonyx jubatus
ImageBind,mscoco,-26.68,1.34,image,Acinonyx jubatus
ImageBind,mscoco,0.50,-19.55,image,eatery
ImageBind,mscoco,-3.54,-22.67,image,eatery
ImageBind,mscoco,-1.55,-19.10,image,eatery
ImageBind,mscoco,-2.70,-21.95,image,eatery
ImageBind,mscoco,-4.69,-22.04,image,eatery
ImageBind,mscoco,-1.58,-23.70,image,eatery
ImageBind,mscoco,-0.05,-23.83,image,eatery
ImageBind,mscoco,-1.25,-22.49,image,eatery
ImageBind,mscoco,-4.64,-23.69,image,eatery
ImageBind,mscoco,0.18,-19.78,image,eatery
ImageBind,mscoco,-2.29,-22.10,image,eatery
ImageBind,mscoco,-0.86,-23.24,image,eatery
ImageBind,mscoco,-1.09,-21.61,image,eatery
ImageBind,mscoco,-3.73,-22.54,image,eatery
ImageBind,mscoco,-3.26,-23.12,image,eatery
ImageBind,mscoco,-2.54,-23.17,image,eatery
ImageBind,mscoco,-0.29,-22.74,image,eatery
ImageBind,mscoco,-0.14,-20.76,image,eatery
ImageBind,mscoco,-0.09,-19.26,image,eatery
ImageBind,mscoco,-5.17,-22.63,image,eatery
ImageBind,mscoco,-1.66,-23.78,image,eatery
ImageBind,mscoco,1.47,-20.43,image,eatery
ImageBind,mscoco,-3.47,-23.25,image,eatery
ImageBind,mscoco,-2.05,-20.11,image,eatery
ImageBind,mscoco,3.83,-21.10,image,eatery
ImageBind,mscoco,-1.52,-19.36,image,eatery
ImageBind,mscoco,-4.35,-22.97,image,eatery
ImageBind,mscoco,0.62,-20.05,image,eatery
ImageBind,mscoco,0.17,-21.42,image,eatery
ImageBind,mscoco,-0.84,-22.82,image,eatery
ImageBind,mscoco,0.00,-20.29,image,eatery
ImageBind,mscoco,-1.48,-23.22,image,eatery
ImageBind,mscoco,-4.75,-21.88,image,eatery
ImageBind,mscoco,-0.89,-20.59,image,eatery
ImageBind,mscoco,-0.88,-20.27,image,eatery
ImageBind,mscoco,3.00,-21.26,image,eatery
ImageBind,mscoco,-2.37,-22.03,image,eatery
ImageBind,mscoco,1.36,-21.31,image,eatery
ImageBind,mscoco,-4.00,-22.07,image,eatery
ImageBind,mscoco,-0.70,-24.07,image,eatery
ImageBind,mscoco,-2.38,-24.87,image,eatery
ImageBind,mscoco,-2.29,-24.77,image,eatery
ImageBind,mscoco,0.03,-23.13,image,eatery
ImageBind,mscoco,1.24,-22.99,image,eatery
ImageBind,mscoco,0.98,-21.84,image,eatery
ImageBind,mscoco,0.03,-22.26,image,eatery
ImageBind,mscoco,-3.34,-21.45,image,eatery
ImageBind,mscoco,1.35,-20.57,image,eatery
ImageBind,mscoco,0.58,-24.43,image,eatery
ImageBind,mscoco,-0.38,-23.30,image,eatery
ImageBind,mscoco,2.36,2.47,image,monocycle
ImageBind,mscoco,1.97,3.58,image,monocycle
ImageBind,mscoco,1.71,5.08,image,monocycle
ImageBind,mscoco,2.65,3.68,image,monocycle
ImageBind,mscoco,-0.41,4.15,image,monocycle
ImageBind,mscoco,-0.80,2.23,image,monocycle
ImageBind,mscoco,1.60,3.42,image,monocycle
ImageBind,mscoco,1.03,5.58,image,monocycle
ImageBind,mscoco,2.07,5.49,image,monocycle
ImageBind,mscoco,3.08,4.73,image,monocycle
ImageBind,mscoco,-3.04,5.70,image,monocycle
ImageBind,mscoco,-1.44,6.21,image,monocycle
ImageBind,mscoco,-2.47,8.00,image,monocycle
ImageBind,mscoco,1.18,4.03,image,monocycle
ImageBind,mscoco,-2.81,7.11,image,monocycle
ImageBind,mscoco,0.63,6.67,image,monocycle
ImageBind,mscoco,0.14,5.18,image,monocycle
ImageBind,mscoco,-1.01,5.32,image,monocycle
ImageBind,mscoco,3.12,3.88,image,monocycle
ImageBind,mscoco,0.23,4.89,image,monocycle
ImageBind,mscoco,0.58,2.12,image,monocycle
ImageBind,mscoco,1.59,4.56,image,monocycle
ImageBind,mscoco,-0.85,3.45,image,monocycle
ImageBind,mscoco,1.54,4.22,image,monocycle
ImageBind,mscoco,0.82,4.13,image,monocycle
ImageBind,mscoco,0.98,5.19,image,monocycle
ImageBind,mscoco,1.73,3.06,image,monocycle
ImageBind,mscoco,-4.20,6.26,image,monocycle
ImageBind,mscoco,1.64,4.24,image,monocycle
ImageBind,mscoco,3.08,4.52,image,monocycle
ImageBind,mscoco,2.75,7.15,image,monocycle
