tested dataset,model name,Txt-Txt,Img-Img,Img-Txt
mscoco,CLIP_ViT-B32,0.04,0.04,0.85
flickr30k,CLIP_RN50,0.07,0.06,0.88
flickr30k,ALIGN,0.05,0.06,0.99
flickr30k,ImageBind,0.08,0.06,0.73
mscoco,ImageBind,0.05,0.05,0.71
mscoco,ALIGN,0.03,0.04,0.97
mscoco,CyCLIP,0.02,0.02,1.0
flickr30k,CyCLIP,0.03,0.03,1.0
mscoco,FLAVA,0.03,0.05,0.82
flickr30k,FLAVA,0.07,0.08,0.78
flickr30k,CLIP_ViT-B32,0.07,0.06,0.85
flickr30k,ALBEF,0.02,0.07,1.08
amz-products,ImageBind,0.34,0.32,0.75
amz-products,CLIP_ViT-B32,0.26,0.24,0.93
mscoco,CLIP_ViT-B32,0.04,0.04,0.85
flickr30k,CLIP_ViT-B32,0.07,0.06,0.85
mscoco,CLIP_ViT-B32,0.04,0.04,0.85
flickr30k,CLIP_ViT-B32,0.07,0.06,0.85
mscoco,CLIP_ViT-B32,0.04,0.04,0.85
mscoco,CLIP_ViT-B32,0.04,0.04,0.85
mscoco,CLIP_ViT-B32,0.04,0.04,0.85
flickr30k,CLIP_ViT-B32,0.07,0.06,0.85
mscoco,CLIP_RN50,0.04,0.04,0.87
flickr30k,CLIP_RN50,0.07,0.06,0.88
mscoco,ALIGN,0.03,0.04,0.97
flickr30k,ALIGN,0.05,0.06,0.99
mscoco,FLAVA,0.03,0.05,0.82
flickr30k,FLAVA,0.07,0.08,0.78
mscoco,CyCLIP,0.02,0.02,1.0
flickr30k,CyCLIP,0.03,0.03,1.0
mscoco,ImageBind,0.05,0.05,0.71
flickr30k,ImageBind,0.08,0.06,0.73
